,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,book,accompanied,exhibition,accompany,book exhibition,16
1,book,accompanies,exhibition,accompany,book exhibition,16
2,book,accompanied,exhibition,accompany,book exhibition,16
3,book,accompanies,exhibition,accompany,book exhibition,16
4,book,accompanies,exhibition,accompany,book exhibition,16
5,book,accompanied,exhibition,accompany,book exhibition,16
6,book,accompanies,exhibition,accompany,book exhibition,16
7,book,accompanied,exhibition,accompany,book exhibition,16
8,book,accompanied,exhibition,accompany,book exhibition,16
9,book,accompanied,exhibition,accompany,book exhibition,16
10,book,accompanied,exhibition,accompany,book exhibition,16
11,book,accompanied,exhibition,accompany,book exhibition,16
12,book,accompanied,exhibition,accompany,book exhibition,16
13,book,accompanied,exhibition,accompany,book exhibition,16
14,book,accompanies,exhibition,accompany,book exhibition,16
15,book,accompanied,exhibition,accompany,book exhibition,16
16,video,accompanied,release,accompany,video release,14
17,video,accompanied,release,accompany,video release,14
18,video,accompanied,release,accompany,video release,14
19,video,accompanied,release,accompany,video release,14
20,video,accompanied,release,accompany,video release,14
21,video,accompanied,release,accompany,video release,14
22,video,accompanied,release,accompany,video release,14
23,video,accompanied,release,accompany,video release,14
24,video,accompanied,release,accompany,video release,14
25,video,accompanied,release,accompany,video release,14
26,video,accompanied,release,accompany,video release,14
27,video,accompanied,release,accompany,video release,14
28,video,accompanied,release,accompany,video release,14
29,video,accompanied,release,accompany,video release,14
30,ships,accompanied,king,accompany,ships king,10
31,ships,accompanied,king,accompany,ships king,10
32,book,accompanied,series,accompany,book series,10
33,ships,accompanied,king,accompany,ships king,10
34,ships,accompanied,king,accompany,ships king,10
35,conductor,accompanied,songs,accompany,conductor songs,10
36,conductor,accompanied,songs,accompany,conductor songs,10
37,conductor,accompanied,songs,accompany,conductor songs,10
38,conductor,accompanied,songs,accompany,conductor songs,10
39,conductor,accompanied,songs,accompany,conductor songs,10
40,conductor,accompanied,songs,accompany,conductor songs,10
41,ships,accompanied,king,accompany,ships king,10
42,book,accompanied,series,accompany,book series,10
43,book,accompanied,series,accompany,book series,10
44,conductor,accompanied,songs,accompany,conductor songs,10
45,conductor,accompanied,songs,accompany,conductor songs,10
46,ships,accompanied,king,accompany,ships king,10
47,book,accompanied,series,accompany,book series,10
48,book,accompanied,series,accompany,book series,10
49,book,accompanied,series,accompany,book series,10
50,ships,accompanied,king,accompany,ships king,10
51,ships,accompanied,king,accompany,ships king,10
52,book,accompanied,series,accompany,book series,10
53,ships,accompanied,king,accompany,ships king,10
54,ships,accompanied,king,accompany,ships king,10
55,book,accompanied,series,accompany,book series,10
56,book,accompanies,series,accompany,book series,10
57,book,accompanies,series,accompany,book series,10
58,conductor,accompanied,songs,accompany,conductor songs,10
59,conductor,accompanied,songs,accompany,conductor songs,10
60,guests,accompanied,hosts,accompany,guests hosts,9
61,guests,accompanied,hosts,accompany,guests hosts,9
62,guests,accompanied,hosts,accompany,guests hosts,9
63,guests,accompanied,hosts,accompany,guests hosts,9
64,guests,accompanied,hosts,accompany,guests hosts,9
65,guests,accompanied,hosts,accompany,guests hosts,9
66,guests,accompanied,hosts,accompany,guests hosts,9
67,guests,accompanied,hosts,accompany,guests hosts,9
68,guests,accompanied,hosts,accompany,guests hosts,9
69,wives,accompanied,husbands,accompany,wives husbands,7
70,rains,accompanied,storm,accompany,rains storm,7
71,rains,accompanied,storm,accompany,rains storm,7
72,wives,accompanied,husbands,accompany,wives husbands,7
73,wives,accompanied,husbands,accompany,wives husbands,7
74,rains,accompanied,storm,accompany,rains storm,7
75,rains,accompanied,storm,accompany,rains storm,7
76,wives,accompanied,husbands,accompany,wives husbands,7
77,wives,accompanied,husbands,accompany,wives husbands,7
78,rains,accompanied,storm,accompany,rains storm,7
79,wives,accompanied,husbands,accompany,wives husbands,7
