,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,name,appears,naming,appear,name naming,14
1,name,appears,naming,appear,name naming,14
2,version,appeared,song,appear,version song,14
3,version,appears,song,appear,version song,14
4,name,appears,naming,appear,name naming,14
5,version,appeared,song,appear,version song,14
6,version,appeared,song,appear,version song,14
7,name,appears,naming,appear,name naming,14
8,version,appeared,song,appear,version song,14
9,version,appears,song,appear,version song,14
10,version,appears,song,appear,version song,14
11,version,appeared,song,appear,version song,14
12,version,appeared,song,appear,version song,14
13,name,appears,naming,appear,name naming,14
14,version,appears,song,appear,version song,14
15,version,appeared,song,appear,version song,14
16,version,appeared,song,appear,version song,14
17,name,appears,naming,appear,name naming,14
18,name,appears,naming,appear,name naming,14
19,version,appeared,song,appear,version song,14
20,name,appears,naming,appear,name naming,14
21,name,appears,naming,appear,name naming,14
22,name,appears,naming,appear,name naming,14
23,version,appeared,song,appear,version song,14
24,name,appears,naming,appear,name naming,14
25,name,appears,naming,appear,name naming,14
26,name,appears,naming,appear,name naming,14
27,name,appears,naming,appear,name naming,14
28,band,appeared,song,appear,band song,13
29,band,appeared,song,appear,band song,13
30,band,appeared,song,appear,band song,13
31,band,appeared,song,appear,band song,13
32,edition,appeared,edition,appear,edition edition,13
33,edition,appeared,edition,appear,edition edition,13
34,edition,appeared,edition,appear,edition edition,13
35,edition,appeared,edition,appear,edition edition,13
36,edition,appeared,edition,appear,edition edition,13
37,edition,appeared,edition,appear,edition edition,13
38,band,appeared,song,appear,band song,13
39,edition,appeared,edition,appear,edition edition,13
40,edition,appeared,edition,appear,edition edition,13
41,edition,appeared,edition,appear,edition edition,13
42,band,appeared,song,appear,band song,13
43,band,appeared,song,appear,band song,13
44,edition,appeared,edition,appear,edition edition,13
45,band,appeared,song,appear,band song,13
46,edition,appeared,edition,appear,edition edition,13
47,band,appeared,song,appear,band song,13
48,edition,appeared,edition,appear,edition edition,13
49,edition,appeared,edition,appear,edition edition,13
50,band,appeared,song,appear,band song,13
51,band,appeared,song,appear,band song,13
52,band,appeared,song,appear,band song,13
53,band,appeared,song,appear,band song,13
54,version,appears,version,appear,version version,10
55,song,appeared,song,appear,song song,10
56,version,appeared,version,appear,version version,10
57,song,appears,song,appear,song song,10
58,song,appeared,song,appear,song song,10
59,song,appeared,song,appear,song song,10
