,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,male,approaches,female,approach,male female,43
1,male,approaches,female,approach,male female,43
2,male,approaches,female,approach,male female,43
3,male,approaches,female,approach,male female,43
4,male,approaches,female,approach,male female,43
5,male,approaches,female,approach,male female,43
6,male,approaching,female,approach,male female,43
7,male,approaches,female,approach,male female,43
8,male,approaches,female,approach,male female,43
9,male,approaches,female,approach,male female,43
10,male,approaches,female,approach,male female,43
11,male,approaches,female,approach,male female,43
12,male,approaches,female,approach,male female,43
13,male,approaches,female,approach,male female,43
14,male,approaches,female,approach,male female,43
15,male,approaches,female,approach,male female,43
16,male,approaches,female,approach,male female,43
17,male,approaches,female,approach,male female,43
18,male,approaches,female,approach,male female,43
19,male,approaches,female,approach,male female,43
20,male,approaches,female,approach,male female,43
21,male,approaches,female,approach,male female,43
22,male,approaches,female,approach,male female,43
23,male,approaches,female,approach,male female,43
24,male,approaches,female,approach,male female,43
25,male,approaches,female,approach,male female,43
26,male,approaches,female,approach,male female,43
27,male,approaches,female,approach,male female,43
28,male,approaches,female,approach,male female,43
29,male,approaches,female,approach,male female,43
30,male,approaches,female,approach,male female,43
31,male,approaches,female,approach,male female,43
32,male,approaches,female,approach,male female,43
33,male,approaches,female,approach,male female,43
34,male,approaches,female,approach,male female,43
35,male,approaches,female,approach,male female,43
36,male,approaches,female,approach,male female,43
37,male,approaching,female,approach,male female,43
38,male,approaches,female,approach,male female,43
39,male,approaches,female,approach,male female,43
40,male,approaches,female,approach,male female,43
41,male,approaches,female,approach,male female,43
42,male,approaches,female,approach,male female,43
43,number,approaches,infinity,approach,number infinity,16
44,forces,approached,city,approach,forces city,16
45,forces,approached,city,approach,forces city,16
46,forces,approached,city,approach,forces city,16
47,number,approaches,infinity,approach,number infinity,16
48,number,approaches,infinity,approach,number infinity,16
49,number,approaches,infinity,approach,number infinity,16
50,forces,approaching,city,approach,forces city,16
51,forces,approaching,city,approach,forces city,16
52,forces,approached,city,approach,forces city,16
53,forces,approached,city,approach,forces city,16
54,number,approaches,infinity,approach,number infinity,16
55,number,approaches,infinity,approach,number infinity,16
56,forces,approached,city,approach,forces city,16
57,number,approaches,infinity,approach,number infinity,16
58,forces,approached,city,approach,forces city,16
59,number,approaches,infinity,approach,number infinity,16
60,number,approaches,infinity,approach,number infinity,16
61,forces,approached,city,approach,forces city,16
62,number,approaches,infinity,approach,number infinity,16
63,forces,approached,city,approach,forces city,16
64,forces,approached,city,approach,forces city,16
65,number,approaches,infinity,approach,number infinity,16
66,number,approaches,infinity,approach,number infinity,16
67,forces,approached,city,approach,forces city,16
68,number,approaches,infinity,approach,number infinity,16
69,number,approaches,infinity,approach,number infinity,16
70,number,approaches,infinity,approach,number infinity,16
71,forces,approached,city,approach,forces city,16
72,number,approaches,infinity,approach,number infinity,16
73,forces,approached,city,approach,forces city,16
74,forces,approach,city,approach,forces city,16
75,progress,approaching,furlong,approach,progress furlong,14
76,progress,approaching,furlong,approach,progress furlong,14
77,progress,approaching,furlong,approach,progress furlong,14
78,progress,approaching,furlong,approach,progress furlong,14
79,progress,approaching,furlong,approach,progress furlong,14
80,progress,approaching,furlong,approach,progress furlong,14
81,missile,approaches,target,approach,missile target,14
82,missile,approached,target,approach,missile target,14
83,progress,approaching,furlong,approach,progress furlong,14
84,progress,approaching,furlong,approach,progress furlong,14
85,missile,approaches,target,approach,missile target,14
86,missile,approaches,target,approach,missile target,14
87,progress,approaching,furlong,approach,progress furlong,14
88,missile,approaches,target,approach,missile target,14
89,missile,approaches,target,approach,missile target,14
90,progress,approaching,furlong,approach,progress furlong,14
91,missile,approached,target,approach,missile target,14
92,progress,approaching,furlong,approach,progress furlong,14
93,missile,approached,target,approach,missile target,14
94,missile,approached,target,approach,missile target,14
95,missile,approaches,target,approach,missile target,14
96,missile,approached,target,approach,missile target,14
97,progress,approaching,furlong,approach,progress furlong,14
98,progress,approaching,furlong,approach,progress furlong,14
99,missile,approaches,target,approach,missile target,14
100,missile,approaches,target,approach,missile target,14
101,missile,approaches,target,approach,missile target,14
102,progress,approaching,furlong,approach,progress furlong,14
103,distribution,approaches,distribution,approach,distribution distribution,12
104,distribution,approaches,distribution,approach,distribution distribution,12
105,train,approaches,station,approach,train station,12
106,train,approaches,station,approach,train station,12
107,train,approached,station,approach,train station,12
108,distribution,approaches,distribution,approach,distribution distribution,12
109,distribution,approaches,distribution,approach,distribution distribution,12
110,train,approached,station,approach,train station,12
111,distribution,approaches,distribution,approach,distribution distribution,12
112,distribution,approaches,distribution,approach,distribution distribution,12
113,train,approaches,station,approach,train station,12
114,distribution,approaches,distribution,approach,distribution distribution,12
115,distribution,approaches,distribution,approach,distribution distribution,12
116,train,approaching,station,approach,train station,12
117,train,approaches,station,approach,train station,12
118,distribution,approaches,distribution,approach,distribution distribution,12
119,distribution,approaches,distribution,approach,distribution distribution,12
120,train,approached,station,approach,train station,12
121,train,approached,station,approach,train station,12
122,distribution,approaches,distribution,approach,distribution distribution,12
123,train,approaches,station,approach,train station,12
124,train,approached,station,approach,train station,12
125,train,approaches,station,approach,train station,12
126,distribution,approaches,distribution,approach,distribution distribution,12
127,storm,approached,coast,approach,storm coast,11
128,storm,approached,coast,approach,storm coast,11
129,storm,approached,coast,approach,storm coast,11
130,temperature,approaches,zero,approach,temperature zero,11
131,storm,approached,coast,approach,storm coast,11
132,temperature,approaches,zero,approach,temperature zero,11
133,storm,approached,coast,approach,storm coast,11
134,temperature,approaches,zero,approach,temperature zero,11
135,temperature,approaches,zero,approach,temperature zero,11
136,storm,approached,coast,approach,storm coast,11
137,temperature,approaches,zero,approach,temperature zero,11
138,storm,approached,coast,approach,storm coast,11
139,storm,approached,coast,approach,storm coast,11
140,storm,approaches,coast,approach,storm coast,11
141,temperature,approaches,zero,approach,temperature zero,11
142,temperature,approaches,zero,approach,temperature zero,11
143,temperature,approaches,zero,approach,temperature zero,11
144,temperature,approached,zero,approach,temperature zero,11
145,temperature,approached,zero,approach,temperature zero,11
146,temperature,approaches,zero,approach,temperature zero,11
147,storm,approached,coast,approach,storm coast,11
148,storm,approached,coast,approach,storm coast,11
149,army,approach,city,approach,army city,10
150,army,approached,city,approach,army city,10
151,man,approached,woman,approach,man woman,10
152,aircraft,approaches,runway,approach,aircraft runway,10
153,man,approaches,woman,approach,man woman,10
154,man,approaches,woman,approach,man woman,10
155,army,approached,city,approach,army city,10
156,man,approaches,woman,approach,man woman,10
157,aircraft,approaching,runway,approach,aircraft runway,10
158,aircraft,approached,runway,approach,aircraft runway,10
159,aircraft,approaches,runway,approach,aircraft runway,10
160,man,approaches,woman,approach,man woman,10
161,army,approached,city,approach,army city,10
162,man,approaches,woman,approach,man woman,10
163,man,approached,woman,approach,man woman,10
164,aircraft,approaches,runway,approach,aircraft runway,10
165,army,approached,city,approach,army city,10
166,army,approached,city,approach,army city,10
167,army,approached,city,approach,army city,10
168,aircraft,approached,runway,approach,aircraft runway,10
169,army,approached,city,approach,army city,10
170,man,approaches,woman,approach,man woman,10
171,army,approached,city,approach,army city,10
172,man,approaches,woman,approach,man woman,10
173,man,approached,woman,approach,man woman,10
174,aircraft,approached,runway,approach,aircraft runway,10
175,aircraft,approached,runway,approach,aircraft runway,10
176,army,approached,city,approach,army city,10
177,aircraft,approached,runway,approach,aircraft runway,10
178,aircraft,approaches,runway,approach,aircraft runway,10
179,troops,approached,city,approach,troops city,9
180,war,approached,end,approach,war end,9
181,war,approached,end,approach,war end,9
182,speed,approaches,speed,approach,speed speed,9
183,speed,approaches,speed,approach,speed speed,9
184,troops,approached,city,approach,troops city,9
185,troops,approached,city,approach,troops city,9
186,aircraft,approached,target,approach,aircraft target,9
187,aircraft,approaches,target,approach,aircraft target,9
188,aircraft,approached,target,approach,aircraft target,9
189,aircraft,approached,target,approach,aircraft target,9
190,progress,approaching,turn,approach,progress turn,9
191,speed,approaches,speed,approach,speed speed,9
192,aircraft,approached,airport,approach,aircraft airport,9
193,progress,approaching,turn,approach,progress turn,9
194,war,approached,end,approach,war end,9
195,war,approached,end,approach,war end,9
196,progress,approaching,turn,approach,progress turn,9
197,progress,approaching,turn,approach,progress turn,9
198,progress,approaching,turn,approach,progress turn,9
199,troops,approached,city,approach,troops city,9
200,troops,approach,city,approach,troops city,9
201,war,approached,end,approach,war end,9
202,progress,approaching,turn,approach,progress turn,9
203,aircraft,approached,airport,approach,aircraft airport,9
204,progress,approaching,turn,approach,progress turn,9
205,aircraft,approach,airport,approach,aircraft airport,9
206,troops,approached,city,approach,troops city,9
207,aircraft,approached,airport,approach,aircraft airport,9
208,troops,approached,city,approach,troops city,9
209,speed,approaches,speed,approach,speed speed,9
210,aircraft,approached,target,approach,aircraft target,9
211,speed,approaches,speed,approach,speed speed,9
212,progress,approaching,turn,approach,progress turn,9
213,aircraft,approached,target,approach,aircraft target,9
214,aircraft,approached,airport,approach,aircraft airport,9
215,aircraft,approaching,airport,approach,aircraft airport,9
216,speed,approaches,speed,approach,speed speed,9
217,war,approached,end,approach,war end,9
218,aircraft,approached,target,approach,aircraft target,9
219,aircraft,approach,airport,approach,aircraft airport,9
220,troops,approached,city,approach,troops city,9
221,speed,approaches,speed,approach,speed speed,9
222,war,approached,end,approach,war end,9
223,aircraft,approached,target,approach,aircraft target,9
224,aircraft,approached,target,approach,aircraft target,9
225,speed,approaches,speed,approach,speed speed,9
226,war,approached,end,approach,war end,9
227,progress,approaching,turn,approach,progress turn,9
228,aircraft,approached,airport,approach,aircraft airport,9
229,war,approached,end,approach,war end,9
230,aircraft,approached,airport,approach,aircraft airport,9
231,speed,approaches,speed,approach,speed speed,9
232,troops,approached,city,approach,troops city,9
233,entropy,approaches,value,approach,entropy value,8
234,males,approach,females,approach,males females,8
235,males,approach,females,approach,males females,8
236,males,approach,females,approach,males females,8
237,time,approaches,infinity,approach,time infinity,8
238,velocity,approaches,speed,approach,velocity speed,8
239,velocity,approaches,speed,approach,velocity speed,8
240,males,approach,females,approach,males females,8
241,entropy,approaches,value,approach,entropy value,8
242,time,approaches,infinity,approach,time infinity,8
243,velocity,approaches,speed,approach,velocity speed,8
244,males,approach,females,approach,males females,8
245,males,approach,females,approach,males females,8
246,entropy,approaches,value,approach,entropy value,8
247,velocity,approaches,speed,approach,velocity speed,8
248,time,approaches,infinity,approach,time infinity,8
249,time,approaches,infinity,approach,time infinity,8
250,velocity,approaches,speed,approach,velocity speed,8
