,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,program,assisted,students,assist,program students,12
1,program,assists,students,assist,program students,12
2,program,assists,students,assist,program students,12
3,program,assists,students,assist,program students,12
4,program,assists,students,assist,program students,12
5,program,assists,students,assist,program students,12
6,program,assists,students,assist,program students,12
7,program,assists,students,assist,program students,12
8,program,assists,students,assist,program students,12
9,program,assists,students,assist,program students,12
10,program,assists,students,assist,program students,12
11,program,assists,students,assist,program students,12
12,son,assisted,father,assist,son father,11
13,son,assisted,father,assist,son father,11
14,son,assists,father,assist,son father,11
15,son,assisted,father,assist,son father,11
16,son,assisted,father,assist,son father,11
17,son,assisted,father,assist,son father,11
18,son,assisted,father,assist,son father,11
19,son,assisted,father,assist,son father,11
20,son,assisted,father,assist,son father,11
21,son,assisted,father,assist,son father,11
22,son,assisted,father,assist,son father,11
23,students,assisting,teachers,assist,students teachers,6
24,students,assist,teachers,assist,students teachers,6
25,students,assist,teachers,assist,students teachers,6
26,students,assist,teachers,assist,students teachers,6
27,students,assist,teachers,assist,students teachers,6
28,students,assisted,teachers,assist,students teachers,6
29,mother,assisted,husband,assist,mother husband,5
30,citizens,assist,police,assist,citizens police,5
31,mother,assists,husband,assist,mother husband,5
32,mother,assisted,husband,assist,mother husband,5
33,citizens,assist,police,assist,citizens police,5
34,citizens,assist,police,assist,citizens police,5
35,citizens,assist,police,assist,citizens police,5
36,citizens,assist,police,assist,citizens police,5
37,mother,assisted,husband,assist,mother husband,5
38,mother,assisted,husband,assist,mother husband,5
39,government,assist,victims,assist,government victims,4
40,government,assisted,victims,assist,government victims,4
41,unit,assisted,advance,assist,unit advance,4
42,unit,assisted,advance,assist,unit advance,4
43,unit,assisted,advance,assist,unit advance,4
44,government,assist,victims,assist,government victims,4
45,government,assisted,victims,assist,government victims,4
46,unit,assisted,advance,assist,unit advance,4
47,men,assisted,locals,assist,men locals,3
48,traffickers,assist,operations,assist,traffickers operations,3
49,secretariat,assists,council,assist,secretariat council,3
50,secretariat,assists,council,assist,secretariat council,3
51,measure,assisted,suicide,assist,measure suicide,3
52,conditions,assisted,bowlers,assist,conditions bowlers,3
53,program,assists,households,assist,program households,3
54,officers,assisted,king,assist,officers king,3
55,daughter,assisted,father,assist,daughter father,3
56,measure,assisted,suicide,assist,measure suicide,3
57,foundation,assists,organizations,assist,foundation organizations,3
58,power,assisted,steering,assist,power steering,3
59,delegates,assisted,conference,assist,delegates conference,3
60,delegates,assisted,conference,assist,delegates conference,3
61,field,assisted,compaction,assist,field compaction,3
62,one,assisted,another,assist,one another,3
63,organization,assisted,people,assist,organization people,3
64,foundation,assists,organizations,assist,foundation organizations,3
65,program,assisted,households,assist,program households,3
66,government,assisted,people,assist,government people,3
67,squadron,assisted,assault,assist,squadron assault,3
68,objective,assisted,priority,assist,objective priority,3
69,foundation,assists,organizations,assist,foundation organizations,3
70,squadron,assisted,assault,assist,squadron assault,3
71,drive,assisted,passage,assist,drive passage,3
72,power,assisted,steering,assist,power steering,3
73,families,assisted,slaves,assist,families slaves,3
74,objective,assisted,priority,assist,objective priority,3
75,families,assisted,slaves,assist,families slaves,3
76,secretariat,assists,council,assist,secretariat council,3
77,field,assisted,compaction,assist,field compaction,3
78,men,assisted,locals,assist,men locals,3
79,measure,assisted,suicide,assist,measure suicide,3
80,powers,assist,faithful,assist,powers faithful,3
81,field,assisted,compaction,assist,field compaction,3
82,powers,assist,faithful,assist,powers faithful,3
83,one,assisted,another,assist,one another,3
84,government,assists,people,assist,government people,3
85,ship,assisted,disabled,assist,ship disabled,3
86,daughter,assisted,father,assist,daughter father,3
87,power,assisted,steering,assist,power steering,3
88,delegates,assisted,conference,assist,delegates conference,3
89,officers,assisted,king,assist,officers king,3
90,traffickers,assist,operations,assist,traffickers operations,3
91,organization,assists,people,assist,organization people,3
92,officers,assisted,king,assist,officers king,3
93,drive,assisted,passage,assist,drive passage,3
94,objective,assisted,priority,assist,objective priority,3
95,organization,assists,people,assist,organization people,3
96,ship,assisted,disabled,assist,ship disabled,3
97,minister,assists,president,assist,minister president,3
98,ship,assisted,disabled,assist,ship disabled,3
99,men,assisted,locals,assist,men locals,3
100,families,assisted,slaves,assist,families slaves,3
101,traffickers,assist,operations,assist,traffickers operations,3
102,government,assisted,people,assist,government people,3
103,minister,assists,president,assist,minister president,3
104,conditions,assisted,bowlers,assist,conditions bowlers,3
105,one,assists,another,assist,one another,3
106,drive,assisted,passage,assist,drive passage,3
107,squadron,assisted,assault,assist,squadron assault,3
108,minister,assists,president,assist,minister president,3
109,conditions,assisted,bowlers,assist,conditions bowlers,3
110,powers,assist,faithful,assist,powers faithful,3
111,program,assisted,households,assist,program households,3
112,daughter,assists,father,assist,daughter father,3
113,forces,assisted,forces,assist,forces forces,2
114,information,assisted,researchers,assist,information researchers,2
115,lighthouse,assists,ships,assist,lighthouse ships,2
116,teacher,assists,student,assist,teacher student,2
117,organization,assists,victims,assist,organization victims,2
118,lighthouse,assists,ships,assist,lighthouse ships,2
119,advisers,assisted,commandos,assist,advisers commandos,2
120,parents,assisted,school,assist,parents school,2
121,group,assisted,government,assist,group government,2
122,ship,assisted,cruiser,assist,ship cruiser,2
123,precipitation,assisted,firefighters,assist,precipitation firefighters,2
124,precipitation,assisted,firefighters,assist,precipitation firefighters,2
125,festival,assisted,volunteers,assist,festival volunteers,2
126,deacons,assisted,minister,assist,deacons minister,2
127,females,assist,mother,assist,females mother,2
128,larva,assists,process,assist,larva process,2
129,partner,assists,female,assist,partner female,2
130,bombers,assisted,capture,assist,bombers capture,2
131,act,assist,offender,assist,act offender,2
132,volunteers,assisted,archaeologists,assist,volunteers archaeologists,2
133,officers,assist,officers,assist,officers officers,2
134,women,assisted,women,assist,women women,2
135,program,assists,people,assist,program people,2
136,grant,assists,students,assist,grant students,2
137,participants,assisted,program,assist,participants program,2
138,members,assisted,survivors,assist,members survivors,2
139,noble,assists,sovereign,assist,noble sovereign,2
140,organization,assists,women,assist,organization women,2
141,hospital,assists,patients,assist,hospital patients,2
142,rebels,assisted,government,assist,rebels government,2
143,population,assisted,defenders,assist,population defenders,2
144,mentors,assisted,teams,assist,mentors teams,2
145,reconnaissance,assisted,attack,assist,reconnaissance attack,2
146,work,assisting,development,assist,work development,2
147,teachers,assist,students,assist,teachers students,2
148,highwayman,assisted,locals,assist,highwayman locals,2
149,population,assisted,defenders,assist,population defenders,2
150,offence,assist,commission,assist,offence commission,2
151,work,assisted,development,assist,work development,2
152,amount,assisted,values,assist,amount values,2
153,advisers,assisted,influx,assist,advisers influx,2
154,processes,assist,escape,assist,processes escape,2
155,career,assist,record,assist,career record,2
156,geologists,assisted,miners,assist,geologists miners,2
157,mentors,assisted,teams,assist,mentors teams,2
158,program,assisted,people,assist,program people,2
159,group,assists,authors,assist,group authors,2
160,organization,assists,women,assist,organization women,2
161,couples,assisted,insemination,assist,couples insemination,2
162,ability,assisted,rise,assist,ability rise,2
163,services,assisting,military,assist,services military,2
164,reconnaissance,assisted,attack,assist,reconnaissance attack,2
165,group,assisted,authors,assist,group authors,2
166,computer,assisted,dispatch,assist,computer dispatch,2
167,ship,assisted,cruiser,assist,ship cruiser,2
168,number,assist,board,assist,number board,2
169,number,assist,board,assist,number board,2
170,act,assist,offender,assist,act offender,2
171,organization,assists,victims,assist,organization victims,2
172,transfer,assist,people,assist,transfer people,2
173,services,assisting,military,assist,services military,2
174,offence,assist,commission,assist,offence commission,2
175,festival,assisted,volunteers,assist,festival volunteers,2
176,robot,assisted,approach,assist,robot approach,2
177,robot,assisted,approach,assist,robot approach,2
178,player,assist,player,assist,player player,2
179,office,assists,businesses,assist,office businesses,2
180,team,assists,police,assist,team police,2
181,amount,assisted,values,assist,amount values,2
182,technicians,assist,veterinarians,assist,technicians veterinarians,2
183,personnel,assisted,search,assist,personnel search,2
184,larva,assists,process,assist,larva process,2
185,cavalrymen,assisted,officers,assist,cavalrymen officers,2
186,homes,assisted,citizens,assist,homes citizens,2
187,firm,assists,companies,assist,firm companies,2
188,geologists,assisted,miners,assist,geologists miners,2
189,surge,assisted,economy,assist,surge economy,2
190,highwayman,assisted,locals,assist,highwayman locals,2
191,economy,assisted,programmes,assist,economy programmes,2
192,hundreds,assisted,evacuees,assist,hundreds evacuees,2
193,ministers,assist,ministers,assist,ministers ministers,2
194,law,assisted,reproduction,assist,law reproduction,2
195,law,assisted,reproduction,assist,law reproduction,2
196,daughter,assisted,mother,assist,daughter mother,2
197,daughter,assists,mother,assist,daughter mother,2
198,noble,assists,sovereign,assist,noble sovereign,2
199,teacher,assists,student,assist,teacher student,2
200,half,assists,writer,assist,half writer,2
201,locals,assisted,troops,assist,locals troops,2
202,ministers,assist,ministers,assist,ministers ministers,2
203,both,assisted,staff,assist,both staff,2
204,ability,assisted,rise,assist,ability rise,2
205,shade,assist,dispersal,assist,shade dispersal,2
206,legislation,assisted,suicide,assist,legislation suicide,2
207,team,assisted,police,assist,team police,2
208,bombers,assisted,capture,assist,bombers capture,2
209,lighthouse,assisted,navigation,assist,lighthouse navigation,2
210,fund,assists,people,assist,fund people,2
211,sons,assisted,father,assist,sons father,2
212,members,assisted,survivors,assist,members survivors,2
213,legislation,assisted,suicide,assist,legislation suicide,2
214,transfer,assist,people,assist,transfer people,2
215,couples,assisted,insemination,assist,couples insemination,2
216,cavalrymen,assisted,officers,assist,cavalrymen officers,2
217,locals,assisted,troops,assist,locals troops,2
218,homes,assisted,citizens,assist,homes citizens,2
219,project,assisted,children,assist,project children,2
220,program,assists,families,assist,program families,2
221,sons,assisted,father,assist,sons father,2
222,government,assist,communities,assist,government communities,2
223,police,assisting,breach,assist,police breach,2
224,both,assisting,staff,assist,both staff,2
225,tuberculosis,assisted,talent,assist,tuberculosis talent,2
226,career,assists,record,assist,career record,2
227,females,assist,mother,assist,females mother,2
228,consumers,assist,one,assist,consumers one,2
229,personnel,assisted,search,assist,personnel search,2
230,partner,assists,female,assist,partner female,2
231,teachers,assist,students,assist,teachers students,2
232,board,assists,school,assist,board school,2
233,women,assisted,women,assist,women women,2
234,humidity,assisted,bowlers,assist,humidity bowlers,2
235,islanders,assisted,forces,assist,islanders forces,2
236,advisers,assisted,commandos,assist,advisers commandos,2
237,teenager,assisted,another,assist,teenager another,2
238,tuberculosis,assisted,talent,assist,tuberculosis talent,2
239,group,assisted,advance,assist,group advance,2
240,environment,assists,activities,assist,environment activities,2
241,environment,assists,activities,assist,environment activities,2
242,group,assisted,advance,assist,group advance,2
243,group,assists,government,assist,group government,2
244,humidity,assisted,bowlers,assist,humidity bowlers,2
245,rain,assisted,firefighters,assist,rain firefighters,2
246,processes,assist,escape,assist,processes escape,2
247,fund,assists,people,assist,fund people,2
248,umpire,assists,referee,assist,umpire referee,2
