,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,votes,backed,act,back,votes act,50
1,votes,backed,act,back,votes act,50
2,votes,backed,act,back,votes act,50
3,votes,backed,act,back,votes act,50
4,votes,backed,act,back,votes act,50
5,votes,backed,act,back,votes act,50
6,votes,backed,act,back,votes act,50
7,votes,backed,act,back,votes act,50
8,votes,backed,act,back,votes act,50
9,votes,backed,act,back,votes act,50
10,votes,backed,act,back,votes act,50
11,votes,backed,act,back,votes act,50
12,votes,backed,act,back,votes act,50
13,votes,backed,act,back,votes act,50
14,votes,backed,act,back,votes act,50
15,votes,backed,act,back,votes act,50
16,votes,backed,act,back,votes act,50
17,votes,backed,act,back,votes act,50
18,votes,backed,act,back,votes act,50
19,votes,backed,act,back,votes act,50
20,votes,backed,act,back,votes act,50
21,votes,backed,act,back,votes act,50
22,votes,backed,act,back,votes act,50
23,votes,backed,act,back,votes act,50
24,votes,backed,act,back,votes act,50
25,votes,backed,act,back,votes act,50
26,votes,backed,act,back,votes act,50
27,votes,backed,act,back,votes act,50
28,votes,backed,act,back,votes act,50
29,votes,backed,act,back,votes act,50
30,votes,backed,act,back,votes act,50
31,votes,backed,act,back,votes act,50
32,votes,backed,act,back,votes act,50
33,votes,backed,act,back,votes act,50
34,votes,backed,act,back,votes act,50
35,votes,backed,act,back,votes act,50
36,votes,backed,act,back,votes act,50
37,votes,backed,act,back,votes act,50
38,votes,backed,act,back,votes act,50
39,votes,backed,act,back,votes act,50
40,votes,backed,act,back,votes act,50
41,votes,backed,act,back,votes act,50
42,votes,backed,act,back,votes act,50
43,votes,backed,act,back,votes act,50
44,votes,backed,act,back,votes act,50
45,votes,backed,act,back,votes act,50
46,votes,backed,act,back,votes act,50
47,votes,backed,act,back,votes act,50
48,votes,backed,act,back,votes act,50
49,votes,backed,act,back,votes act,50
50,vote,backed,act,back,vote act,20
51,vote,backed,act,back,vote act,20
52,vote,backed,act,back,vote act,20
53,vote,backed,act,back,vote act,20
54,vote,backed,act,back,vote act,20
55,vote,backed,act,back,vote act,20
56,vote,backed,act,back,vote act,20
57,vote,backed,act,back,vote act,20
58,vote,backed,act,back,vote act,20
59,vote,backed,act,back,vote act,20
60,vote,backed,act,back,vote act,20
61,vote,backed,act,back,vote act,20
62,vote,backed,act,back,vote act,20
63,vote,backed,act,back,vote act,20
64,vote,backed,act,back,vote act,20
65,vote,backed,act,back,vote act,20
66,vote,backed,act,back,vote act,20
67,vote,backed,act,back,vote act,20
68,vote,backed,act,back,vote act,20
69,vote,backed,act,back,vote act,20
70,government,backed,group,back,government group,18
71,government,backed,group,back,government group,18
72,government,backed,group,back,government group,18
73,government,backed,group,back,government group,18
74,government,backed,group,back,government group,18
75,government,backed,group,back,government group,18
