,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,player,battling,enemies,battle,player enemies,11
1,player,battles,enemies,battle,player enemies,11
2,player,battles,enemies,battle,player enemies,11
3,player,battles,enemies,battle,player enemies,11
4,player,battles,enemies,battle,player enemies,11
5,player,battles,enemies,battle,player enemies,11
6,player,battling,enemies,battle,player enemies,11
7,player,battles,enemies,battle,player enemies,11
8,player,battles,enemies,battle,player enemies,11
9,player,battles,enemies,battle,player enemies,11
10,player,battles,enemies,battle,player enemies,11
11,firefighters,battled,blaze,battle,firefighters blaze,9
12,firefighters,battled,blaze,battle,firefighters blaze,9
13,firefighters,battled,blaze,battle,firefighters blaze,9
14,firefighters,battled,blaze,battle,firefighters blaze,9
15,firefighters,battled,blaze,battle,firefighters blaze,9
16,firefighters,battle,blaze,battle,firefighters blaze,9
17,firefighters,battled,blaze,battle,firefighters blaze,9
18,firefighters,battled,blaze,battle,firefighters blaze,9
19,firefighters,battled,blaze,battle,firefighters blaze,9
20,children,battling,cancer,battle,children cancer,8
21,children,battling,cancer,battle,children cancer,8
22,children,battling,cancer,battle,children cancer,8
23,children,battling,cancer,battle,children cancer,8
24,children,battling,cancer,battle,children cancer,8
25,children,battling,cancer,battle,children cancer,8
26,children,battling,cancer,battle,children cancer,8
27,children,battling,cancer,battle,children cancer,8
28,club,battled,relegation,battle,club relegation,7
29,club,battled,relegation,battle,club relegation,7
30,firefighters,battled,fire,battle,firefighters fire,7
31,firefighters,battled,fire,battle,firefighters fire,7
32,club,battled,relegation,battle,club relegation,7
33,club,battled,relegation,battle,club relegation,7
34,firefighters,battled,fire,battle,firefighters fire,7
35,firefighters,battled,fire,battle,firefighters fire,7
36,firefighters,battled,fire,battle,firefighters fire,7
37,club,battled,relegation,battle,club relegation,7
38,firefighters,battled,fire,battle,firefighters fire,7
39,club,battled,relegation,battle,club relegation,7
40,firefighters,battled,fire,battle,firefighters fire,7
41,club,battled,relegation,battle,club relegation,7
42,pilots,battling,invaders,battle,pilots invaders,5
43,players,battle,way,battle,players way,5
44,society,battled,society,battle,society society,5
45,society,battled,society,battle,society society,5
46,pilots,battling,invaders,battle,pilots invaders,5
47,society,battled,society,battle,society society,5
48,pilots,battling,invaders,battle,pilots invaders,5
49,pilots,battling,invaders,battle,pilots invaders,5
50,players,battle,way,battle,players way,5
51,pilots,battling,invaders,battle,pilots invaders,5
52,players,battle,way,battle,players way,5
53,society,battled,society,battle,society society,5
54,players,battling,way,battle,players way,5
55,players,battle,way,battle,players way,5
56,society,battled,society,battle,society society,5
57,player,battles,villains,battle,player villains,4
58,player,battles,characters,battle,player characters,4
59,player,battles,boss,battle,player boss,4
60,members,battled,illnesses,battle,members illnesses,4
61,player,battle,characters,battle,player characters,4
62,player,battles,boss,battle,player boss,4
63,two,battled,stretch,battle,two stretch,4
64,forces,battled,troops,battle,forces troops,4
65,members,battled,illnesses,battle,members illnesses,4
66,forces,battled,troops,battle,forces troops,4
67,player,battles,boss,battle,player boss,4
68,player,battles,boss,battle,player boss,4
69,player,battles,characters,battle,player characters,4
70,members,battled,illnesses,battle,members illnesses,4
71,forces,battled,troops,battle,forces troops,4
72,player,battles,characters,battle,player characters,4
73,two,battled,stretch,battle,two stretch,4
74,team,battled,relegation,battle,team relegation,4
75,player,battles,villains,battle,player villains,4
