,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,students,were,school,be,students school,131
1,students,were,school,be,students school,131
2,students,were,school,be,students school,131
3,students,were,school,be,students school,131
4,students,were,school,be,students school,131
5,students,were,school,be,students school,131
6,students,were,school,be,students school,131
7,students,were,school,be,students school,131
8,students,were,school,be,students school,131
9,students,is,school,be,students school,131
10,students,were,school,be,students school,131
11,students,were,school,be,students school,131
12,students,were,school,be,students school,131
13,students,were,school,be,students school,131
14,students,were,school,be,students school,131
15,students,were,school,be,students school,131
16,students,were,school,be,students school,131
17,students,were,school,be,students school,131
18,students,were,school,be,students school,131
19,students,were,school,be,students school,131
20,students,were,school,be,students school,131
21,students,were,school,be,students school,131
22,students,were,school,be,students school,131
23,students,were,school,be,students school,131
24,students,were,school,be,students school,131
25,students,were,school,be,students school,131
26,students,were,school,be,students school,131
27,students,were,school,be,students school,131
28,students,were,school,be,students school,131
29,students,were,school,be,students school,131
30,students,were,school,be,students school,131
31,students,were,school,be,students school,131
32,students,were,school,be,students school,131
33,students,were,school,be,students school,131
34,students,were,school,be,students school,131
35,students,were,school,be,students school,131
36,students,were,school,be,students school,131
37,students,were,school,be,students school,131
38,students,were,school,be,students school,131
39,students,were,school,be,students school,131
40,students,were,school,be,students school,131
41,students,were,school,be,students school,131
42,students,were,school,be,students school,131
43,students,were,school,be,students school,131
44,students,were,school,be,students school,131
45,students,were,school,be,students school,131
46,students,were,school,be,students school,131
47,students,were,school,be,students school,131
48,students,were,school,be,students school,131
49,students,were,school,be,students school,131
50,students,were,school,be,students school,131
51,students,were,school,be,students school,131
52,students,were,school,be,students school,131
53,students,were,school,be,students school,131
54,students,were,school,be,students school,131
55,students,were,school,be,students school,131
56,students,were,school,be,students school,131
57,students,were,school,be,students school,131
58,students,were,school,be,students school,131
59,students,were,school,be,students school,131
60,students,were,school,be,students school,131
61,students,were,school,be,students school,131
62,students,were,school,be,students school,131
63,students,were,school,be,students school,131
64,students,were,school,be,students school,131
65,students,were,school,be,students school,131
66,students,were,school,be,students school,131
67,students,were,school,be,students school,131
68,students,were,school,be,students school,131
69,students,were,school,be,students school,131
70,students,were,school,be,students school,131
71,students,were,school,be,students school,131
72,students,were,school,be,students school,131
73,students,were,school,be,students school,131
74,students,were,school,be,students school,131
