,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,vessel,bow,thrusters,bow,vessel thrusters,6
1,vessel,bow,thrusters,bow,vessel thrusters,6
2,vessel,bow,thrusters,bow,vessel thrusters,6
3,vessel,bow,thrusters,bow,vessel thrusters,6
4,vessel,bow,thrusters,bow,vessel thrusters,6
5,vessel,bow,thrusters,bow,vessel thrusters,6
6,patient,bows,head,bow,patient head,3
7,patient,bows,head,bow,patient head,3
8,patient,bows,head,bow,patient head,3
9,harmonics,bowing,string,bow,harmonics string,2
10,all,bow,heads,bow,all heads,2
11,men,bow,ties,bow,men ties,2
12,harmonics,bowing,string,bow,harmonics string,2
13,viaduct,bows,eastwards,bow,viaduct eastwards,2
14,all,bowed,heads,bow,all heads,2
15,priest,bows,head,bow,priest head,2
16,plays,bowed,guitar,bow,plays guitar,2
17,fantail,bow,brooch,bow,fantail brooch,2
18,fantail,bow,brooch,bow,fantail brooch,2
19,viaduct,bows,eastwards,bow,viaduct eastwards,2
20,plays,bowed,guitar,bow,plays guitar,2
21,family,bowed,instruments,bow,family instruments,2
22,crowds,bowed,heads,bow,crowds heads,2
23,crowds,bowed,heads,bow,crowds heads,2
24,figure,bowed,head,bow,figure head,2
25,people,bowed,heads,bow,people heads,2
26,horse,bows,head,bow,horse head,2
27,men,bowed,heads,bow,men heads,2
28,people,bow,heads,bow,people heads,2
29,wheel,bow,strings,bow,wheel strings,2
30,men,bow,ties,bow,men ties,2
31,men,bowed,heads,bow,men heads,2
32,fingers,bowed,inwards,bow,fingers inwards,2
33,ship,bow,thruster,bow,ship thruster,2
34,ship,bow,thruster,bow,ship thruster,2
35,priest,bows,head,bow,priest head,2
36,family,bowed,instruments,bow,family instruments,2
37,fingers,bowed,inwards,bow,fingers inwards,2
38,figure,bowed,head,bow,figure head,2
39,horse,bowing,head,bow,horse head,2
40,wheel,bowed,strings,bow,wheel strings,2
41,caretaker,bow,windows,bow,caretaker windows,1
42,congregation,bows,foreheads,bow,congregation foreheads,1
43,back,bow,windows,bow,back windows,1
44,two,bow,windows,bow,two windows,1
45,dwarfs,bowed,heads,bow,dwarfs heads,1
46,monk,bows,head,bow,monk head,1
47,features,bowed,pairs,bow,features pairs,1
48,features,bowed,instruments,bow,features instruments,1
