,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,storm,brushed,coast,brush,storm coast,14
1,storm,brushed,coast,brush,storm coast,14
2,storm,brushed,coast,brush,storm coast,14
3,storm,brushed,coast,brush,storm coast,14
4,storm,brushed,coast,brush,storm coast,14
5,storm,brushed,coast,brush,storm coast,14
6,storm,brushed,coast,brush,storm coast,14
7,storm,brushes,coast,brush,storm coast,14
8,storm,brushed,coast,brush,storm coast,14
9,storm,brushed,coast,brush,storm coast,14
10,storm,brushed,coast,brush,storm coast,14
11,storm,brushed,coast,brush,storm coast,14
12,storm,brushed,coast,brush,storm coast,14
13,storm,brushed,coast,brush,storm coast,14
14,storm,brushes,coastline,brush,storm coastline,10
15,storm,brushes,coastline,brush,storm coastline,10
16,storm,brushes,coastline,brush,storm coastline,10
17,storm,brushes,coastline,brush,storm coastline,10
18,storm,brushes,coastline,brush,storm coastline,10
19,storm,brushes,coastline,brush,storm coastline,10
20,storm,brushes,coastline,brush,storm coastline,10
21,storm,brushes,coastline,brush,storm coastline,10
22,storm,brushed,coastline,brush,storm coastline,10
23,storm,brushes,coastline,brush,storm coastline,10
24,hurricane,brushed,coast,brush,hurricane coast,4
25,hurricane,brushed,coast,brush,hurricane coast,4
26,hurricane,brushed,coast,brush,hurricane coast,4
27,men,brushed,shoulders,brush,men shoulders,4
28,men,brushed,shoulders,brush,men shoulders,4
29,men,brushed,shoulders,brush,men shoulders,4
30,men,brushed,shoulders,brush,men shoulders,4
31,hurricane,brushed,coast,brush,hurricane coast,4
32,storm,brushed,tip,brush,storm tip,3
33,kids,brushing,teeth,brush,kids teeth,3
34,system,brushed,islands,brush,system islands,3
35,kids,brush,teeth,brush,kids teeth,3
36,pitch,brushed,ear,brush,pitch ear,3
37,storm,brushing,tip,brush,storm tip,3
38,pitch,brushed,ear,brush,pitch ear,3
39,kids,brush,teeth,brush,kids teeth,3
40,storm,brushed,tip,brush,storm tip,3
41,system,brushed,islands,brush,system islands,3
42,pitch,brushed,ear,brush,pitch ear,3
43,system,brushed,islands,brush,system islands,3
44,cyclone,brushed,coast,brush,cyclone coast,2
45,scouts,brushed,sign,brush,scouts sign,2
46,court,brushed,argument,brush,court argument,2
47,system,brushed,tip,brush,system tip,2
48,celebrities,brushed,attention,brush,celebrities attention,2
