,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,bans,bump,stocks,bump,bans stocks,3
1,bans,bump,stocks,bump,bans stocks,3
2,bans,bump,stocks,bump,bans stocks,3
3,women,bumped,headship,bump,women headship,2
4,car,bumps,car,bump,car car,2
5,women,bumped,headship,bump,women headship,2
6,car,bumps,car,bump,car car,2
7,singer,bumped,husbands,bump,singer husbands,1
8,thanks,bump,business,bump,thanks business,1
9,producers,bumped,episodes,bump,producers episodes,1
10,puck,bumped,closer,bump,puck closer,1
11,robbers,bump,bag,bump,robbers bag,1
12,net,bump,head,bump,net head,1
13,change,bumped,car,bump,change car,1
14,plotting,bumped,head,bump,plotting head,1
15,band,bumped,release,bump,band release,1
16,mountains,bump,head,bump,mountains head,1
17,solder,bump,versions,bump,solder versions,1
18,officials,bumped,purse,bump,officials purse,1
19,visitors,bumping,formations,bump,visitors formations,1
20,monkey,bumps,head,bump,monkey head,1
21,people,bump,phones,bump,people phones,1
22,patrons,bump,ride,bump,patrons ride,1
23,winner,bumped,number,bump,winner number,1
24,opening,bumps,rating,bump,opening rating,1
25,teams,bumped,cars,bump,teams cars,1
26,modifications,bumped,power,bump,modifications power,1
27,two,bump,rival,bump,two rival,1
28,one,bumped,shifter,bump,one shifter,1
29,dancers,bump,bodies,bump,dancers bodies,1
30,boats,bumped,outcrop,bump,boats outcrop,1
31,killer,bumping,residents,bump,killer residents,1
32,firm,bump,stocks,bump,firm stocks,1
33,seating,bumping,crowd,bump,seating crowd,1
34,mascot,bumped,head,bump,mascot head,1
35,cart,bumped,knee,bump,cart knee,1
36,city,bumped,rent,bump,city rent,1
37,thing,bumped,shoulders,bump,thing shoulders,1
38,horses,bumped,lead,bump,horses lead,1
39,bystander,bumped,arm,bump,bystander arm,1
40,women,bumped,places,bump,women places,1
41,wrestlers,bumped,fists,bump,wrestlers fists,1
42,shot,bumped,stone,bump,shot stone,1
43,rope,bumps,boat,bump,rope boat,1
44,fish,bumps,conglutinate,bump,fish conglutinate,1
45,users,bump,phones,bump,users phones,1
46,second,bumped,way,bump,second way,1
47,company,bumped,rating,bump,company rating,1
48,rudder,bumps,posterior,bump,rudder posterior,1
49,monkey,bumped,skunk,bump,monkey skunk,1
50,gangsta,bumping,witness,bump,gangsta witness,1
51,two,bump,heads,bump,two heads,1
52,cars,bumped,situation,bump,cars situation,1
53,bowler,bumped,ball,bump,bowler ball,1
54,horse,bumps,legs,bump,horse legs,1
55,something,bumping,noises,bump,something noises,1
56,shark,bumps,boat,bump,shark boat,1
57,users,bump,smartphone,bump,users smartphone,1
58,user,bumps,smartphone,bump,user smartphone,1
59,rooster,bumps,father,bump,rooster father,1
60,crews,bumping,net,bump,crews net,1
61,loss,bumps,team,bump,loss team,1
62,driver,bumps,shifter,bump,driver shifter,1
63,jet,bumped,wing,bump,jet wing,1
64,fist,bump,greeting,bump,fist greeting,1
65,people,bump,fists,bump,people fists,1
66,crafty,bump,snout,bump,crafty snout,1
67,kart,bumped,third,bump,kart third,1
68,push,bumped,talent,bump,push talent,1
69,employee,bumped,amount,bump,employee amount,1
70,player,bumps,horseshoe,bump,player horseshoe,1
71,opponent,bumps,horseshoe,bump,opponent horseshoe,1
72,player,bumps,shoe,bump,player shoe,1
73,boxers,bumped,heads,bump,boxers heads,1
74,opponent,bumps,stomach,bump,opponent stomach,1
75,sales,bump,title,bump,sales title,1
76,hijackers,bumped,flight,bump,hijackers flight,1
77,upgrade,bumped,power,bump,upgrade power,1
78,boats,bump,crew,bump,boats crew,1
79,driver,bumps,car,bump,driver car,1
80,boots,bumped,technician,bump,boots technician,1
81,references,bump,stuff,bump,references stuff,1
82,version,bumping,excitement,bump,version excitement,1
83,displacement,bumped,horsepower,bump,displacement horsepower,1
84,comments,bumping,threads,bump,comments threads,1
85,legislation,bumping,passengers,bump,legislation passengers,1
86,translucency,bump,mapping,bump,translucency mapping,1
87,male,bumping,male,bump,male male,1
88,vehicle,bumped,median,bump,vehicle median,1
89,players,bump,opponents,bump,players opponents,1
90,team,bumped,pick,bump,team pick,1
91,doctor,bumps,car,bump,doctor car,1
92,player,bumps,car,bump,player car,1
93,medics,bump,heads,bump,medics heads,1
94,head,bumped,ankles,bump,head ankles,1
95,passengers,bumped,flights,bump,passengers flights,1
96,wolf,bumps,head,bump,wolf head,1
97,porter,bumps,leg,bump,porter leg,1
98,years,bump,coincide,bump,years coincide,1
99,moment,bumped,fists,bump,moment fists,1
100,user,bump,maps,bump,user maps,1
101,tylos,bump,hat,bump,tylos hat,1
102,coyote,bump,head,bump,coyote head,1
103,transforming,bumping,stamina,bump,transforming stamina,1
104,finger,bumps,string,bump,finger string,1
105,dolphin,bumps,device,bump,dolphin device,1
106,day,bumping,way,bump,day way,1
107,drivers,bumped,way,bump,drivers way,1
108,habit,bumping,volunteers,bump,habit volunteers,1
109,lawsuits,bump,challenge,bump,lawsuits challenge,1
110,dancer,bumping,hip,bump,dancer hip,1
111,partners,bump,hips,bump,partners hips,1
112,team,bumped,season,bump,team season,1
113,revision,bumped,episode,bump,revision episode,1
114,worker,bumped,sword,bump,worker sword,1
115,contrast,bumped,band,bump,contrast band,1
116,course,bumped,registration,bump,course registration,1
117,car,bumps,bumper,bump,car bumper,1
118,boat,bumped,boat,bump,boat boat,1
119,player,bumped,wall,bump,player wall,1
120,two,bumped,cars,bump,two cars,1
