,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,water,cascading,hills,cascade,water hills,2
1,outage,cascaded,way,cascade,outage way,2
2,outage,cascaded,way,cascade,outage way,2
3,water,cascading,hills,cascade,water hills,2
4,hair,cascading,sleeve,cascade,hair sleeve,1
5,both,cascade,faces,cascade,both faces,1
6,chicha,cascaded,gullet,cascade,chicha gullet,1
7,fenster,cascades,distance,cascade,fenster distance,1
8,avalanche,cascaded,everything,cascade,avalanche everything,1
9,water,cascading,feet,cascade,water feet,1
10,hair,cascades,slope,cascade,hair slope,1
11,fountain,cascades,water,cascade,fountain water,1
12,creek,cascades,feet,cascade,creek feet,1
13,water,cascades,elegance,cascade,water elegance,1
14,line,cascading,something,cascade,line something,1
15,disruption,cascades,effect,cascade,disruption effect,1
16,brook,cascades,way,cascade,brook way,1
17,waterfall,cascades,wall,cascade,waterfall wall,1
18,reaction,cascades,response,cascade,reaction response,1
19,water,cascades,terraces,cascade,water terraces,1
20,waters,cascade,feet,cascade,waters feet,1
21,water,cascades,levels,cascade,water levels,1
22,number,cascade,range,cascade,number range,1
23,board,cascades,orbs,cascade,board orbs,1
24,introduction,cascaded,stock,cascade,introduction stock,1
25,falls,cascades,metres,cascade,falls metres,1
26,material,cascades,sides,cascade,material sides,1
27,singer,cascades,melisma,cascade,singer melisma,1
28,building,cascades,panels,cascade,building panels,1
29,river,cascades,glaciers,cascade,river glaciers,1
30,gods,cascaded,lovers,cascade,gods lovers,1
31,water,cascades,temperature,cascade,water temperature,1
