,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,aircraft,caught,fire,catch,aircraft fire,196
1,aircraft,caught,fire,catch,aircraft fire,196
2,aircraft,caught,fire,catch,aircraft fire,196
3,aircraft,caught,fire,catch,aircraft fire,196
4,aircraft,caught,fire,catch,aircraft fire,196
5,aircraft,caught,fire,catch,aircraft fire,196
6,aircraft,caught,fire,catch,aircraft fire,196
7,aircraft,catches,fire,catch,aircraft fire,196
8,aircraft,catches,fire,catch,aircraft fire,196
9,aircraft,caught,fire,catch,aircraft fire,196
10,aircraft,caught,fire,catch,aircraft fire,196
11,aircraft,caught,fire,catch,aircraft fire,196
12,aircraft,caught,fire,catch,aircraft fire,196
13,aircraft,caught,fire,catch,aircraft fire,196
14,aircraft,caught,fire,catch,aircraft fire,196
15,aircraft,caught,fire,catch,aircraft fire,196
16,aircraft,caught,fire,catch,aircraft fire,196
17,aircraft,catches,fire,catch,aircraft fire,196
18,aircraft,caught,fire,catch,aircraft fire,196
19,aircraft,caught,fire,catch,aircraft fire,196
20,aircraft,caught,fire,catch,aircraft fire,196
21,aircraft,caught,fire,catch,aircraft fire,196
22,aircraft,caught,fire,catch,aircraft fire,196
23,aircraft,caught,fire,catch,aircraft fire,196
24,aircraft,caught,fire,catch,aircraft fire,196
25,aircraft,caught,fire,catch,aircraft fire,196
26,aircraft,caught,fire,catch,aircraft fire,196
27,aircraft,caught,fire,catch,aircraft fire,196
28,aircraft,caught,fire,catch,aircraft fire,196
29,aircraft,catch,fire,catch,aircraft fire,196
30,aircraft,caught,fire,catch,aircraft fire,196
31,aircraft,caught,fire,catch,aircraft fire,196
32,aircraft,catch,fire,catch,aircraft fire,196
33,aircraft,caught,fire,catch,aircraft fire,196
34,aircraft,caught,fire,catch,aircraft fire,196
35,aircraft,caught,fire,catch,aircraft fire,196
36,aircraft,caught,fire,catch,aircraft fire,196
37,aircraft,caught,fire,catch,aircraft fire,196
38,aircraft,caught,fire,catch,aircraft fire,196
39,aircraft,catches,fire,catch,aircraft fire,196
40,aircraft,caught,fire,catch,aircraft fire,196
41,aircraft,caught,fire,catch,aircraft fire,196
42,aircraft,caught,fire,catch,aircraft fire,196
43,aircraft,caught,fire,catch,aircraft fire,196
44,aircraft,caught,fire,catch,aircraft fire,196
45,aircraft,caught,fire,catch,aircraft fire,196
46,aircraft,caught,fire,catch,aircraft fire,196
47,aircraft,caught,fire,catch,aircraft fire,196
48,aircraft,caught,fire,catch,aircraft fire,196
49,aircraft,caught,fire,catch,aircraft fire,196
50,aircraft,caught,fire,catch,aircraft fire,196
51,aircraft,caught,fire,catch,aircraft fire,196
52,aircraft,caught,fire,catch,aircraft fire,196
53,aircraft,caught,fire,catch,aircraft fire,196
54,aircraft,caught,fire,catch,aircraft fire,196
55,aircraft,caught,fire,catch,aircraft fire,196
56,aircraft,caught,fire,catch,aircraft fire,196
57,aircraft,caught,fire,catch,aircraft fire,196
58,aircraft,caught,fire,catch,aircraft fire,196
59,aircraft,caught,fire,catch,aircraft fire,196
60,aircraft,caught,fire,catch,aircraft fire,196
61,aircraft,caught,fire,catch,aircraft fire,196
62,aircraft,caught,fire,catch,aircraft fire,196
63,aircraft,caught,fire,catch,aircraft fire,196
64,aircraft,caught,fire,catch,aircraft fire,196
65,aircraft,caught,fire,catch,aircraft fire,196
66,aircraft,caught,fire,catch,aircraft fire,196
67,aircraft,caught,fire,catch,aircraft fire,196
68,aircraft,caught,fire,catch,aircraft fire,196
69,aircraft,caught,fire,catch,aircraft fire,196
70,aircraft,caught,fire,catch,aircraft fire,196
71,aircraft,caught,fire,catch,aircraft fire,196
72,aircraft,caught,fire,catch,aircraft fire,196
73,aircraft,caught,fire,catch,aircraft fire,196
74,aircraft,caught,fire,catch,aircraft fire,196
75,aircraft,caught,fire,catch,aircraft fire,196
76,aircraft,caught,fire,catch,aircraft fire,196
77,aircraft,caught,fire,catch,aircraft fire,196
78,aircraft,caught,fire,catch,aircraft fire,196
79,aircraft,caught,fire,catch,aircraft fire,196
80,aircraft,caught,fire,catch,aircraft fire,196
81,aircraft,caught,fire,catch,aircraft fire,196
82,aircraft,caught,fire,catch,aircraft fire,196
83,aircraft,caught,fire,catch,aircraft fire,196
84,aircraft,caught,fire,catch,aircraft fire,196
85,aircraft,caught,fire,catch,aircraft fire,196
86,aircraft,caught,fire,catch,aircraft fire,196
87,aircraft,caught,fire,catch,aircraft fire,196
88,aircraft,caught,fire,catch,aircraft fire,196
89,aircraft,caught,fire,catch,aircraft fire,196
90,aircraft,catch,fire,catch,aircraft fire,196
91,aircraft,caught,fire,catch,aircraft fire,196
92,aircraft,caught,fire,catch,aircraft fire,196
93,aircraft,caught,fire,catch,aircraft fire,196
94,aircraft,caught,fire,catch,aircraft fire,196
95,aircraft,caught,fire,catch,aircraft fire,196
96,aircraft,catches,fire,catch,aircraft fire,196
97,aircraft,catches,fire,catch,aircraft fire,196
98,aircraft,caught,fire,catch,aircraft fire,196
99,aircraft,caught,fire,catch,aircraft fire,196
100,aircraft,caught,fire,catch,aircraft fire,196
101,aircraft,caught,fire,catch,aircraft fire,196
102,aircraft,caught,fire,catch,aircraft fire,196
103,aircraft,caught,fire,catch,aircraft fire,196
104,aircraft,caught,fire,catch,aircraft fire,196
105,aircraft,caught,fire,catch,aircraft fire,196
106,aircraft,caught,fire,catch,aircraft fire,196
107,aircraft,caught,fire,catch,aircraft fire,196
108,aircraft,caught,fire,catch,aircraft fire,196
109,aircraft,caught,fire,catch,aircraft fire,196
110,aircraft,caught,fire,catch,aircraft fire,196
111,aircraft,caught,fire,catch,aircraft fire,196
112,aircraft,caught,fire,catch,aircraft fire,196
113,aircraft,caught,fire,catch,aircraft fire,196
114,aircraft,caught,fire,catch,aircraft fire,196
115,aircraft,caught,fire,catch,aircraft fire,196
116,aircraft,caught,fire,catch,aircraft fire,196
117,aircraft,caught,fire,catch,aircraft fire,196
118,aircraft,caught,fire,catch,aircraft fire,196
119,aircraft,caught,fire,catch,aircraft fire,196
120,aircraft,caught,fire,catch,aircraft fire,196
121,aircraft,caught,fire,catch,aircraft fire,196
122,aircraft,caught,fire,catch,aircraft fire,196
123,aircraft,caught,fire,catch,aircraft fire,196
124,aircraft,caught,fire,catch,aircraft fire,196
125,aircraft,caught,fire,catch,aircraft fire,196
126,aircraft,caught,fire,catch,aircraft fire,196
127,aircraft,caught,fire,catch,aircraft fire,196
128,aircraft,caught,fire,catch,aircraft fire,196
129,aircraft,caught,fire,catch,aircraft fire,196
130,aircraft,caught,fire,catch,aircraft fire,196
131,aircraft,catches,fire,catch,aircraft fire,196
132,aircraft,caught,fire,catch,aircraft fire,196
133,aircraft,caught,fire,catch,aircraft fire,196
134,aircraft,catch,fire,catch,aircraft fire,196
135,aircraft,caught,fire,catch,aircraft fire,196
136,aircraft,caught,fire,catch,aircraft fire,196
137,aircraft,caught,fire,catch,aircraft fire,196
138,aircraft,caught,fire,catch,aircraft fire,196
139,aircraft,caught,fire,catch,aircraft fire,196
140,aircraft,caught,fire,catch,aircraft fire,196
141,aircraft,caught,fire,catch,aircraft fire,196
142,aircraft,caught,fire,catch,aircraft fire,196
