,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,police,chained,doors,chain,police doors,4
1,police,chained,doors,chain,police doors,4
2,police,chained,doors,chain,police doors,4
3,police,chained,doors,chain,police doors,4
4,natives,chained,tree,chain,natives tree,2
5,natives,chained,tree,chain,natives tree,2
6,clergyman,chained,boys,chain,clergyman boys,1
7,supply,chain,part,chain,supply part,1
8,kids,chain,doors,chain,kids doors,1
9,kids,chain,bikes,chain,kids bikes,1
10,person,chained,cross,chain,person cross,1
11,publication,chaining,components,chain,publication components,1
12,daisy,chaining,amplifiers,chain,daisy amplifiers,1
13,individual,chaining,points,chain,individual points,1
14,vector,chaining,capabilities,chain,vector capabilities,1
15,pupils,chained,pupil,chain,pupils pupil,1
16,scientists,chain,boy,chain,scientists boy,1
17,construction,chained,houses,chain,construction houses,1
18,activists,chained,doors,chain,activists doors,1
19,bracelets,chained,male,chain,bracelets male,1
20,player,chaining,attacks,chain,player attacks,1
21,supporters,chained,lynxes,chain,supporters lynxes,1
22,diggers,chained,mates,chain,diggers mates,1
23,soldiers,chained,hands,chain,soldiers hands,1
24,king,chained,princess,chain,king princess,1
25,dogs,chained,situation,chain,dogs situation,1
26,man,chained,colonists,chain,man colonists,1
27,daisy,chaining,servers,chain,daisy servers,1
28,polymer,chained,molecules,chain,polymer molecules,1
29,workers,chained,dumpster,chain,workers dumpster,1
30,police,chained,feet,chain,police feet,1
31,grandmother,chains,granddaughter,chain,grandmother granddaughter,1
32,bull,chained,ring,chain,bull ring,1
33,goblins,chain,heroes,chain,goblins heroes,1
34,mural,chained,hands,chain,mural hands,1
35,males,chained,bracelets,chain,males bracelets,1
36,trooper,chained,two,chain,trooper two,1
37,jail,chained,gates,chain,jail gates,1
38,patients,chained,caretakers,chain,patients caretakers,1
39,daisy,chaining,peripherals,chain,daisy peripherals,1
40,team,chained,relegations,chain,team relegations,1
41,doors,chained,shut,chain,doors shut,1
42,constable,chained,prisoners,chain,constable prisoners,1
43,one,chained,slave,chain,one slave,1
44,gold,chained,leash,chain,gold leash,1
45,troopers,chained,man,chain,troopers man,1
46,method,chains,links,chain,method links,1
47,slender,chained,gecko,chain,slender gecko,1
48,trafficker,chained,prey,chain,trafficker prey,1
49,wheelchair,chained,room,chain,wheelchair room,1
50,players,chain,actions,chain,players actions,1
51,man,chained,arms,chain,man arms,1
52,player,chains,moves,chain,player moves,1
53,gold,chained,headdress,chain,gold headdress,1
54,attendants,chain,king,chain,attendants king,1
