,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,states,check,contests,check,states contests,5
1,states,check,contests,check,states contests,5
2,states,check,contests,check,states contests,5
3,states,check,contests,check,states contests,5
4,states,check,contests,check,states contests,5
5,inspectors,check,tickets,check,inspectors tickets,4
6,recoil,checked,wedges,check,recoil wedges,4
7,inspectors,check,tickets,check,inspectors tickets,4
8,recoil,checked,wedges,check,recoil wedges,4
9,inspectors,checking,tickets,check,inspectors tickets,4
10,recoil,checked,wedges,check,recoil wedges,4
11,recoil,checked,wedges,check,recoil wedges,4
12,inspectors,check,tickets,check,inspectors tickets,4
13,player,checks,opponent,check,player opponent,3
14,eunuchs,check,situation,check,eunuchs situation,3
15,eunuchs,check,situation,check,eunuchs situation,3
16,validation,checks,relation,check,validation relation,3
17,validation,checks,relation,check,validation relation,3
18,validation,checks,relation,check,validation relation,3
19,administration,checked,ambitions,check,administration ambitions,3
20,people,checked,watches,check,people watches,3
21,administration,checked,ambitions,check,administration ambitions,3
22,eunuchs,check,situation,check,eunuchs situation,3
23,crew,checked,tools,check,crew tools,3
24,player,checks,opponent,check,player opponent,3
25,player,checks,opponent,check,player opponent,3
26,photos,check,histories,check,photos histories,3
27,photos,check,histories,check,photos histories,3
28,party,checked,consists,check,party consists,3
29,crew,checked,tools,check,crew tools,3
30,priest,checks,wine,check,priest wine,3
31,party,checked,consists,check,party consists,3
32,people,check,watches,check,people watches,3
33,administration,checked,ambitions,check,administration ambitions,3
34,party,checked,consists,check,party consists,3
35,priest,checks,wine,check,priest wine,3
36,people,checked,watches,check,people watches,3
37,crew,checking,spacecraft,check,crew spacecraft,3
38,results,check,dams,check,results dams,3
39,photos,check,histories,check,photos histories,3
40,results,check,dams,check,results dams,3
41,results,check,dams,check,results dams,3
42,crew,checked,spacecraft,check,crew spacecraft,3
43,algorithm,checks,value,check,algorithm value,3
44,algorithm,checks,value,check,algorithm value,3
45,authorities,checked,list,check,authorities list,3
46,algorithm,checks,value,check,algorithm value,3
47,authorities,checked,list,check,authorities list,3
48,priest,checks,wine,check,priest wine,3
49,crew,checked,tools,check,crew tools,3
50,authorities,checked,list,check,authorities list,3
51,crew,checked,spacecraft,check,crew spacecraft,3
52,magazine,checked,facts,check,magazine facts,2
53,staff,check,sources,check,staff sources,2
54,player,checks,player,check,player player,2
55,player,checks,cards,check,player cards,2
56,ships,checked,fire,check,ships fire,2
57,magazine,checked,facts,check,magazine facts,2
58,crew,checked,helicopter,check,crew helicopter,2
59,teeth,checked,dentist,check,teeth dentist,2
60,library,checks,items,check,library items,2
61,ships,checked,fire,check,ships fire,2
62,program,check,property,check,program property,2
63,inspection,checks,condition,check,inspection condition,2
64,patrons,checked,items,check,patrons items,2
65,attacks,checked,cause,check,attacks cause,2
66,batter,checks,swing,check,batter swing,2
67,staff,check,sources,check,staff sources,2
68,two,checked,places,check,two places,2
69,arrival,checked,progress,check,arrival progress,2
70,player,checks,units,check,player units,2
71,volunteers,check,references,check,volunteers references,2
72,player,checks,player,check,player player,2
73,episode,checking,boxes,check,episode boxes,2
74,data,checked,team,check,data team,2
75,defeat,checked,expansion,check,defeat expansion,2
76,program,check,property,check,program property,2
77,conflicts,checked,ambitions,check,conflicts ambitions,2
78,patrons,checked,items,check,patrons items,2
79,attacks,checked,cause,check,attacks cause,2
80,man,checked,pulse,check,man pulse,2
81,teeth,checked,dentist,check,teeth dentist,2
82,player,checks,units,check,player units,2
83,auditors,check,one,check,auditors one,2
84,killer,checked,bonds,check,killer bonds,2
85,branches,checked,independence,check,branches independence,2
86,crew,checked,helicopter,check,crew helicopter,2
87,two,checked,places,check,two places,2
88,king,checked,desire,check,king desire,2
89,auditors,check,one,check,auditors one,2
90,body,checking,hits,check,body hits,2
91,transports,checked,luggage,check,transports luggage,2
92,volunteers,check,references,check,volunteers references,2
93,people,checked,windshields,check,people windshields,2
94,people,checked,windshields,check,people windshields,2
95,division,checked,advance,check,division advance,2
96,pawn,checks,king,check,pawn king,2
97,workers,check,obituaries,check,workers obituaries,2
98,branches,checked,independence,check,branches independence,2
99,individuals,checked,boxes,check,individuals boxes,2
100,enumerators,checked,form,check,enumerators form,2
101,batter,checks,swing,check,batter swing,2
102,operator,checks,database,check,operator database,2
103,operator,checks,database,check,operator database,2
104,developers,check,code,check,developers code,2
105,stops,check,soundness,check,stops soundness,2
106,developers,check,code,check,developers code,2
107,killer,checked,bonds,check,killer bonds,2
108,transports,checked,luggage,check,transports luggage,2
109,police,checked,identities,check,police identities,2
110,body,checking,hits,check,body hits,2
111,police,checked,classrooms,check,police classrooms,2
112,staff,check,rejections,check,staff rejections,2
113,staff,check,envelopes,check,staff envelopes,2
114,data,checked,team,check,data team,2
115,staff,check,rejections,check,staff rejections,2
116,staff,check,envelopes,check,staff envelopes,2
117,conflicts,checked,ambitions,check,conflicts ambitions,2
118,player,checks,cards,check,player cards,2
119,police,check,identities,check,police identities,2
120,pawn,checks,king,check,pawn king,2
121,measurers,check,equipment,check,measurers equipment,2
122,inspection,checks,condition,check,inspection condition,2
123,man,checking,pulse,check,man pulse,2
124,customers,check,card,check,customers card,2
125,measurers,check,equipment,check,measurers equipment,2
126,police,checked,classrooms,check,police classrooms,2
127,arrival,checked,progress,check,arrival progress,2
128,yogi,checks,mind,check,yogi mind,2
129,workers,check,obituaries,check,workers obituaries,2
130,library,checks,items,check,library items,2
131,division,checked,advance,check,division advance,2
132,defeat,checked,expansion,check,defeat expansion,2
133,king,checked,desire,check,king desire,2
134,customers,check,card,check,customers card,2
135,individuals,checked,boxes,check,individuals boxes,2
136,enumerators,checked,form,check,enumerators form,2
137,yogi,checks,mind,check,yogi mind,2
138,stops,check,soundness,check,stops soundness,2
139,episode,checking,boxes,check,episode boxes,2
140,commander,checked,statistics,check,commander statistics,1
141,connections,check,file,check,connections file,1
142,veterinarian,checked,farm,check,veterinarian farm,1
143,team,checks,level,check,team level,1
144,officer,checks,pulse,check,officer pulse,1
145,player,checks,messages,check,player messages,1
146,clients,check,validity,check,clients validity,1
147,latter,checked,matter,check,latter matter,1
148,men,checked,figures,check,men figures,1
149,cross,check,approvals,check,cross approvals,1
150,policeman,checking,watch,check,policeman watch,1
151,overalls,check,shirt,check,overalls shirt,1
152,heart,checked,woman,check,heart woman,1
153,floor,check,room,check,floor room,1
154,police,check,permits,check,police permits,1
155,rest,checked,area,check,rest area,1
156,difficulty,checked,tendencies,check,difficulty tendencies,1
157,captain,checked,weather,check,captain weather,1
158,officers,checking,airfields,check,officers airfields,1
159,emperor,checked,furnace,check,emperor furnace,1
160,magazine,check,article,check,magazine article,1
161,clients,check,status,check,clients status,1
162,police,checking,story,check,police story,1
163,morals,check,lust,check,morals lust,1
164,firmware,checks,validity,check,firmware validity,1
165,villagers,checked,controls,check,villagers controls,1
166,priests,checked,firewood,check,priests firewood,1
167,squadron,check,schoolyards,check,squadron schoolyards,1
168,bus,check,documents,check,bus documents,1
169,referee,checked,eye,check,referee eye,1
170,reward,checking,accounts,check,reward accounts,1
171,body,checking,player,check,body player,1
172,physicians,checked,water,check,physicians water,1
173,equation,checked,thickness,check,equation thickness,1
174,rulers,checked,tea,check,rulers tea,1
175,hand,checked,specialist,check,hand specialist,1
176,counterattacks,checked,attempts,check,counterattacks attempts,1
177,address,checking,services,check,address services,1
178,fans,check,version,check,fans version,1
179,doctor,checked,eye,check,doctor eye,1
