,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,player,choose,one,choose,player one,132
1,player,chooses,one,choose,player one,132
2,player,chooses,one,choose,player one,132
3,player,chooses,one,choose,player one,132
4,player,chooses,one,choose,player one,132
5,player,chooses,one,choose,player one,132
6,player,chooses,one,choose,player one,132
7,player,chooses,one,choose,player one,132
8,player,chooses,one,choose,player one,132
9,player,chose,one,choose,player one,132
10,player,choose,one,choose,player one,132
11,player,choose,one,choose,player one,132
12,player,chooses,one,choose,player one,132
13,player,chooses,one,choose,player one,132
14,player,chooses,one,choose,player one,132
15,player,chooses,one,choose,player one,132
16,player,chooses,one,choose,player one,132
17,player,chose,one,choose,player one,132
18,player,chooses,one,choose,player one,132
19,player,chose,one,choose,player one,132
20,player,chooses,one,choose,player one,132
21,player,chooses,one,choose,player one,132
22,player,chooses,one,choose,player one,132
23,player,chooses,one,choose,player one,132
24,player,chooses,one,choose,player one,132
25,player,choose,one,choose,player one,132
26,player,chooses,one,choose,player one,132
27,player,chooses,one,choose,player one,132
28,player,chooses,one,choose,player one,132
29,player,chooses,one,choose,player one,132
30,player,chooses,one,choose,player one,132
31,player,chooses,one,choose,player one,132
32,player,chooses,one,choose,player one,132
33,player,chooses,one,choose,player one,132
34,player,chose,one,choose,player one,132
35,player,chooses,one,choose,player one,132
36,player,chose,one,choose,player one,132
37,player,chooses,one,choose,player one,132
38,player,chooses,one,choose,player one,132
39,player,chooses,one,choose,player one,132
40,player,chooses,one,choose,player one,132
41,player,chooses,one,choose,player one,132
42,player,chooses,one,choose,player one,132
43,player,chooses,one,choose,player one,132
44,player,chooses,one,choose,player one,132
45,player,chose,one,choose,player one,132
46,player,chooses,one,choose,player one,132
47,player,chooses,one,choose,player one,132
48,player,chooses,one,choose,player one,132
49,player,chooses,one,choose,player one,132
50,player,chooses,one,choose,player one,132
51,player,chooses,one,choose,player one,132
52,player,chooses,one,choose,player one,132
53,player,chooses,one,choose,player one,132
54,player,chooses,one,choose,player one,132
55,player,chooses,one,choose,player one,132
56,player,choosing,one,choose,player one,132
57,player,choose,one,choose,player one,132
58,player,chooses,one,choose,player one,132
59,player,chooses,one,choose,player one,132
60,player,chooses,one,choose,player one,132
61,player,chooses,one,choose,player one,132
62,player,chooses,one,choose,player one,132
63,player,chooses,one,choose,player one,132
64,player,chooses,one,choose,player one,132
65,player,chooses,one,choose,player one,132
66,player,chose,one,choose,player one,132
67,player,chooses,one,choose,player one,132
68,player,chooses,one,choose,player one,132
69,player,chooses,one,choose,player one,132
70,player,chooses,one,choose,player one,132
71,player,chooses,one,choose,player one,132
72,player,chooses,one,choose,player one,132
73,player,chooses,one,choose,player one,132
74,player,chooses,one,choose,player one,132
75,player,chooses,one,choose,player one,132
76,player,chooses,one,choose,player one,132
77,player,chooses,one,choose,player one,132
78,player,chose,one,choose,player one,132
79,player,chooses,one,choose,player one,132
80,player,chooses,one,choose,player one,132
81,player,chooses,one,choose,player one,132
82,player,chooses,one,choose,player one,132
83,player,chooses,one,choose,player one,132
84,player,chooses,one,choose,player one,132
85,player,chooses,one,choose,player one,132
86,player,chooses,one,choose,player one,132
87,player,chooses,one,choose,player one,132
88,player,chooses,one,choose,player one,132
89,player,chooses,one,choose,player one,132
90,player,chooses,one,choose,player one,132
91,player,chooses,one,choose,player one,132
92,player,chooses,one,choose,player one,132
93,player,chooses,one,choose,player one,132
94,player,chooses,one,choose,player one,132
95,player,choosing,one,choose,player one,132
