,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fighters,clashed,heads,clash,fighters heads,4
1,fighters,clashing,heads,clash,fighters heads,4
2,fighters,clashed,heads,clash,fighters heads,4
3,fighters,clashed,heads,clash,fighters heads,4
4,armies,clashed,victory,clash,armies victory,3
5,men,clash,swords,clash,men swords,3
6,armies,clashed,reinforcements,clash,armies reinforcements,3
7,armies,clashed,victory,clash,armies victory,3
8,armies,clashed,reinforcements,clash,armies reinforcements,3
9,men,clash,swords,clash,men swords,3
10,armies,clashed,reinforcements,clash,armies reinforcements,3
11,armies,clashed,victory,clash,armies victory,3
12,men,clash,swords,clash,men swords,3
13,colours,clashing,colours,clash,colours colours,2
14,sides,clashed,army,clash,sides army,2
15,military,clashed,outskirts,clash,military outskirts,2
16,military,clashed,outskirts,clash,military outskirts,2
17,sides,clashed,army,clash,sides army,2
18,sides,clashed,troops,clash,sides troops,2
19,protesters,clashed,rounds,clash,protesters rounds,2
20,men,clashed,companies,clash,men companies,2
21,troops,clashed,most,clash,troops most,2
22,protesters,clashed,rounds,clash,protesters rounds,2
23,troops,clashed,most,clash,troops most,2
24,powers,clashed,plan,clash,powers plan,2
25,powers,clashed,plan,clash,powers plan,2
26,forces,clashed,strength,clash,forces strength,2
27,men,clashed,companies,clash,men companies,2
28,half,clashed,horn,clash,half horn,2
29,half,clashed,horn,clash,half horn,2
30,colours,clashing,colours,clash,colours colours,2
31,sides,clashed,troops,clash,sides troops,2
32,forces,clashed,strength,clash,forces strength,2
33,two,clashed,gaffe,clash,two gaffe,1
34,villages,clash,panchayat,clash,villages panchayat,1
35,ball,clashed,posts,clash,ball posts,1
36,friends,clash,side,clash,friends side,1
37,forces,clashed,ship,clash,forces ship,1
38,forces,clash,hand,clash,forces hand,1
39,hundreds,clashed,firecrackers,clash,hundreds firecrackers,1
40,protesters,clashed,ultimatum,clash,protesters ultimatum,1
41,conflicts,clash,ways,clash,conflicts ways,1
