,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,user,clicks,button,click,user button,14
1,user,clicks,button,click,user button,14
2,user,clicks,button,click,user button,14
3,user,clicks,button,click,user button,14
4,user,clicks,button,click,user button,14
5,user,clicks,button,click,user button,14
6,user,clicked,button,click,user button,14
7,user,clicks,button,click,user button,14
8,user,clicks,button,click,user button,14
9,user,clicks,button,click,user button,14
10,user,clicks,button,click,user button,14
11,user,clicks,button,click,user button,14
12,user,clicked,button,click,user button,14
13,user,clicked,button,click,user button,14
14,game,click,interface,click,game interface,11
15,game,click,interface,click,game interface,11
16,game,click,interface,click,game interface,11
17,game,click,interface,click,game interface,11
18,game,click,interface,click,game interface,11
19,game,click,interface,click,game interface,11
20,game,click,interface,click,game interface,11
21,game,click,interface,click,game interface,11
22,game,click,interface,click,game interface,11
23,game,click,interface,click,game interface,11
24,game,click,interface,click,game interface,11
25,user,clicks,link,click,user link,7
26,search,click,season,click,search season,7
27,user,clicked,link,click,user link,7
28,search,click,season,click,search season,7
29,search,click,season,click,search season,7
30,user,clicks,link,click,user link,7
31,user,clicks,link,click,user link,7
32,search,click,season,click,search season,7
33,search,click,season,click,search season,7
34,search,click,season,click,search season,7
35,user,clicks,link,click,user link,7
36,user,clicks,link,click,user link,7
37,user,clicks,link,click,user link,7
38,search,click,season,click,search season,7
39,player,clicks,mouse,click,player mouse,3
40,player,clicks,mouse,click,player mouse,3
41,player,clicks,mouse,click,player mouse,3
42,constituencies,click,icon,click,constituencies icon,3
43,player,click,interface,click,player interface,3
44,player,click,interface,click,player interface,3
45,constituencies,click,icon,click,constituencies icon,3
46,player,click,interface,click,player interface,3
47,constituencies,click,icon,click,constituencies icon,3
48,user,clicks,icon,click,user icon,2
49,mouse,click,occurs,click,mouse occurs,2
50,game,click,system,click,game system,2
51,player,clicks,buttons,click,player buttons,2
52,player,clicks,buttons,click,player buttons,2
53,user,clicks,hyperlink,click,user hyperlink,2
54,backfield,clicked,praise,click,backfield praise,2
55,game,click,system,click,game system,2
56,backfield,clicked,praise,click,backfield praise,2
57,user,clicks,hyperlink,click,user hyperlink,2
58,user,clicks,mouse,click,user mouse,2
59,user,clicked,icon,click,user icon,2
60,user,clicks,mouse,click,user mouse,2
61,mouse,click,occurs,click,mouse occurs,2
62,one,click,degrees,click,one degrees,1
63,mouse,click,handler,click,mouse handler,1
64,member,click,cause,click,member cause,1
65,lowest,click,count,click,lowest count,1
66,player,clicks,unit,click,player unit,1
67,user,click,segment,click,user segment,1
68,portion,clicking,editor,click,portion editor,1
69,volunteer,click,button,click,volunteer button,1
70,children,clicking,clicks,click,children clicks,1
71,player,clicks,cow,click,player cow,1
72,two,click,connection,click,two connection,1
73,aircraft,clicking,sounds,click,aircraft sounds,1
74,palatal,click,affricate,click,palatal affricate,1
75,uses,click,analytics,click,uses analytics,1
76,organ,click,link,click,organ link,1
77,stilettos,click,fragrance,click,stilettos fragrance,1
78,player,clicking,edges,click,player edges,1
79,nasal,click,nasal,click,nasal nasal,1
80,workers,click,links,click,workers links,1
81,photographer,clicks,picture,click,photographer picture,1
82,passport,click,note,click,passport note,1
83,game,click,commands,click,game commands,1
84,users,click,mouse,click,users mouse,1
85,recording,click,tracks,click,recording tracks,1
86,visitor,clicks,button,click,visitor button,1
87,user,clicks,something,click,user something,1
88,players,click,destinations,click,players destinations,1
89,offense,clicked,points,click,offense points,1
90,sides,clicked,collaborating,click,sides collaborating,1
91,one,clicks,mouse,click,one mouse,1
92,company,click,history,click,company history,1
93,user,clicks,delete,click,user delete,1
94,stimuli,clicks,microseconds,click,stimuli microseconds,1
95,membership,clicks,button,click,membership button,1
96,hard,click,fans,click,hard fans,1
97,relevant,click,data,click,relevant data,1
98,signal,click,indicator,click,signal indicator,1
99,user,click,feedback,click,user feedback,1
100,customers,click,product,click,customers product,1
101,none,click,song,click,none song,1
102,flautist,click,tongue,click,flautist tongue,1
103,synthesis,click,chemistry,click,synthesis chemistry,1
104,none,clicked,instruments,click,none instruments,1
