,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,police,combed,area,comb,police area,5
1,police,combed,area,comb,police area,5
2,miners,combed,mountains,comb,miners mountains,5
3,police,comb,area,comb,police area,5
4,police,comb,area,comb,police area,5
5,miners,combed,mountains,comb,miners mountains,5
6,miners,combed,mountains,comb,miners mountains,5
7,miners,combed,mountains,comb,miners mountains,5
8,police,combed,area,comb,police area,5
9,miners,combed,mountains,comb,miners mountains,5
10,woman,combing,hair,comb,woman hair,4
11,woman,combs,hair,comb,woman hair,4
12,woman,combing,hair,comb,woman hair,4
13,woman,combs,hair,comb,woman hair,4
14,mother,combs,hair,comb,mother hair,3
15,mother,combs,hair,comb,mother hair,3
16,mother,combed,hair,comb,mother hair,3
17,officers,combed,train,comb,officers train,2
18,volunteers,combed,town,comb,volunteers town,2
19,volunteers,combed,town,comb,volunteers town,2
20,troops,combed,area,comb,troops area,2
21,searchers,combed,area,comb,searchers area,2
22,officers,combed,train,comb,officers train,2
23,troops,combed,area,comb,troops area,2
24,settlers,combed,region,comb,settlers region,2
25,searchers,combed,area,comb,searchers area,2
26,side,combed,hair,comb,side hair,2
27,side,combed,hair,comb,side hair,2
28,settlers,combed,region,comb,settlers region,2
29,hair,combed,bandana,comb,hair bandana,1
30,companies,combed,areas,comb,companies areas,1
31,filmmakers,combed,archives,comb,filmmakers archives,1
32,hair,combed,suits,comb,hair suits,1
33,son,combs,hair,comb,son hair,1
34,workers,combed,surface,comb,workers surface,1
35,commandos,combed,areas,comb,commandos areas,1
36,forces,combed,area,comb,forces area,1
37,ground,combed,country,comb,ground country,1
38,one,comb,hair,comb,one hair,1
39,police,combed,areas,comb,police areas,1
40,experts,combed,streets,comb,experts streets,1
41,calamistrum,combs,silk,comb,calamistrum silk,1
42,haggles,combs,hair,comb,haggles hair,1
43,game,comb,streets,comb,game streets,1
44,hundreds,combed,terrain,comb,hundreds terrain,1
45,predecessors,combing,elements,comb,predecessors elements,1
46,ships,combed,islands,comb,ships islands,1
47,nomads,comb,hair,comb,nomads hair,1
48,families,combed,hair,comb,families hair,1
49,teams,combed,town,comb,teams town,1
50,schools,comb,hair,comb,schools hair,1
51,hair,combed,shoulder,comb,hair shoulder,1
52,troops,combed,woods,comb,troops woods,1
53,men,combed,beaches,comb,men beaches,1
54,soldiers,comb,beach,comb,soldiers beach,1
55,divers,combed,interior,comb,divers interior,1
56,army,combed,village,comb,army village,1
57,detachments,combed,terrain,comb,detachments terrain,1
58,searchers,combed,fields,comb,searchers fields,1
59,warships,combed,waters,comb,warships waters,1
60,hair,combed,feet,comb,hair feet,1
61,hair,combed,hair,comb,hair hair,1
62,pelt,combed,muskoxen,comb,pelt muskoxen,1
63,sycophants,comb,city,comb,sycophants city,1
64,locals,combed,beach,comb,locals beach,1
65,shepherd,combing,hair,comb,shepherd hair,1
66,straw,combed,hand,comb,straw hand,1
67,troops,combed,length,comb,troops length,1
68,warriors,combed,hair,comb,warriors hair,1
69,parties,combing,area,comb,parties area,1
70,wave,comb,countryside,comb,wave countryside,1
71,enemy,combed,four,comb,enemy four,1
72,teams,combed,area,comb,teams area,1
73,people,comb,hair,comb,people hair,1
74,washer,combs,hair,comb,washer hair,1
75,thickening,combed,upright,comb,thickening upright,1
76,crew,combed,ocean,comb,crew ocean,1
77,reporters,comb,hospitals,comb,reporters hospitals,1
78,souls,comb,hair,comb,souls hair,1
79,residents,combed,bodies,comb,residents bodies,1
80,work,combing,instrumentation,comb,work instrumentation,1
81,authorities,combed,site,comb,authorities site,1
82,reporters,combed,interviews,comb,reporters interviews,1
83,team,combed,bluffs,comb,team bluffs,1
84,officers,combed,village,comb,officers village,1
85,luxuriant,combed,beards,comb,luxuriant beards,1
86,soldiers,combed,area,comb,soldiers area,1
87,commandos,combed,streets,comb,commandos streets,1
88,doctors,combed,population,comb,doctors population,1
89,battalions,combed,area,comb,battalions area,1
90,sister,combed,hair,comb,sister hair,1
91,goddess,combing,hair,comb,goddess hair,1
92,person,combs,hair,comb,person hair,1
93,student,combed,hair,comb,student hair,1
94,searchlights,combed,dark,comb,searchlights dark,1
95,bear,combing,hair,comb,bear hair,1
96,hairdresser,combed,hair,comb,hairdresser hair,1
97,investigators,combed,files,comb,investigators files,1
