,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,creators,consulted,artist,consult,creators artist,8
1,creators,consulted,artist,consult,creators artist,8
2,creators,consulted,artist,consult,creators artist,8
3,creators,consulted,artist,consult,creators artist,8
4,creators,consulted,artist,consult,creators artist,8
5,creators,consulted,artist,consult,creators artist,8
6,creators,consulted,artist,consult,creators artist,8
7,creators,consulted,artist,consult,creators artist,8
8,none,consulted,clarifies,consult,none clarifies,5
9,none,consulted,clarifies,consult,none clarifies,5
10,none,consulted,clarifies,consult,none clarifies,5
11,none,consulted,clarifies,consult,none clarifies,5
12,none,consulted,clarifies,consult,none clarifies,5
13,team,consulted,historians,consult,team historians,3
14,patients,consult,doctors,consult,patients doctors,3
15,team,consulting,historians,consult,team historians,3
16,patients,consulting,doctors,consult,patients doctors,3
17,wives,consulted,mail,consult,wives mail,3
18,team,consulted,historians,consult,team historians,3
19,wives,consulted,mail,consult,wives mail,3
20,patients,consulted,doctors,consult,patients doctors,3
21,wives,consulted,mail,consult,wives mail,3
22,family,consults,doctor,consult,family doctor,2
23,none,consulted,mentions,consult,none mentions,2
24,people,consulted,custodian,consult,people custodian,2
25,members,consult,feedback,consult,members feedback,2
26,writers,consulted,book,consult,writers book,2
27,duty,consulting,records,consult,duty records,2
28,inhabitants,consulted,oracle,consult,inhabitants oracle,2
29,none,consulted,mentions,consult,none mentions,2
30,officers,consulted,superiors,consult,officers superiors,2
31,patients,consult,physician,consult,patients physician,2
32,king,consult,advisors,consult,king advisors,2
33,wife,consulted,neighbour,consult,wife neighbour,2
34,producers,consulted,experts,consult,producers experts,2
35,none,consulted,claims,consult,none claims,2
36,kòmò,consulted,sculptures,consult,kòmò sculptures,2
37,officers,consulted,superiors,consult,officers superiors,2
38,ruler,consulted,advisors,consult,ruler advisors,2
39,team,consulted,input,consult,team input,2
40,inhabitants,consulted,oracle,consult,inhabitants oracle,2
41,people,consulted,custodian,consult,people custodian,2
42,ruler,consulted,advisors,consult,ruler advisors,2
43,wife,consulted,neighbour,consult,wife neighbour,2
44,duty,consulting,records,consult,duty records,2
45,none,consulted,claims,consult,none claims,2
46,king,consult,advisors,consult,king advisors,2
47,kòmò,consulted,sculptures,consult,kòmò sculptures,2
48,zealot,consulted,court,consult,zealot court,2
49,zealot,consulted,court,consult,zealot court,2
50,team,consulted,staff,consult,team staff,2
51,team,consulted,units,consult,team units,2
52,king,consults,oracle,consult,king oracle,2
53,employee,consults,physician,consult,employee physician,2
54,employee,consults,physician,consult,employee physician,2
55,team,consulted,staff,consult,team staff,2
56,units,consulted,brigades,consult,units brigades,2
57,none,consulted,refers,consult,none refers,2
58,dealer,consults,player,consult,dealer player,2
59,team,consulted,units,consult,team units,2
60,father,consulted,oracle,consult,father oracle,2
61,units,consulted,brigades,consult,units brigades,2
62,king,consults,oracle,consult,king oracle,2
63,family,consulted,doctor,consult,family doctor,2
64,citizens,consulted,oracle,consult,citizens oracle,2
65,players,consult,table,consult,players table,2
66,none,consulted,refers,consult,none refers,2
67,dealer,consults,player,consult,dealer player,2
68,writers,consulted,book,consult,writers book,2
69,players,consult,table,consult,players table,2
70,citizens,consulted,oracle,consult,citizens oracle,2
71,father,consults,oracle,consult,father oracle,2
72,patients,consult,physician,consult,patients physician,2
73,members,consult,feedback,consult,members feedback,2
74,team,consulted,input,consult,team input,2
75,producers,consulted,experts,consult,producers experts,2
76,association,consulted,members,consult,association members,1
77,members,consult,committees,consult,members committees,1
78,victims,consulting,actors,consult,victims actors,1
79,company,consulted,opinion,consult,company opinion,1
80,readers,consult,works,consult,readers works,1
81,couple,consulted,friend,consult,couple friend,1
82,king,consults,assembly,consult,king assembly,1
83,address,consult,content,consult,address content,1
84,reader,consult,section,consult,reader section,1
85,clan,consults,chronicle,consult,clan chronicle,1
86,one,consult,physician,consult,one physician,1
87,ruler,consulted,oracle,consult,ruler oracle,1
88,policy,consulted,referees,consult,policy referees,1
89,farmers,consulting,practice,consult,farmers practice,1
90,restorers,consulted,designs,consult,restorers designs,1
91,persons,consult,physician,consult,persons physician,1
92,women,consulted,doctor,consult,women doctor,1
93,referee,consulted,linesman,consult,referee linesman,1
94,conservator,consult,consultation,consult,conservator consultation,1
95,numbers,consult,references,consult,numbers references,1
96,referee,consulted,captains,consult,referee captains,1
97,doctors,consult,counterparts,consult,doctors counterparts,1
98,members,consult,one,consult,members one,1
99,total,consulted,osteopaths,consult,total osteopaths,1
100,building,consulting,architect,consult,building architect,1
101,chronicles,consulted,inscriptions,consult,chronicles inscriptions,1
102,writers,consulting,lawyers,consult,writers lawyers,1
103,employer,consult,employee,consult,employer employee,1
104,characters,consulted,oracle,consult,characters oracle,1
105,total,consulted,commissioner,consult,total commissioner,1
106,researchers,consult,columns,consult,researchers columns,1
107,readers,consult,images,consult,readers images,1
108,algorithm,consults,tables,consult,algorithm tables,1
109,shop,consults,expert,consult,shop expert,1
110,doctors,consulted,specialists,consult,doctors specialists,1
111,wife,consulted,astrologers,consult,wife astrologers,1
112,parents,consulted,psychiatrist,consult,parents psychiatrist,1
113,parents,consulted,people,consult,parents people,1
114,writer,consults,detective,consult,writer detective,1
115,father,consulted,embassy,consult,father embassy,1
116,envoy,consulted,priestess,consult,envoy priestess,1
117,people,consult,spirit,consult,people spirit,1
118,organisation,consulted,residents,consult,organisation residents,1
119,speaker,consults,advice,consult,speaker advice,1
120,one,consulted,media,consult,one media,1
121,woman,consulted,priest,consult,woman priest,1
122,council,consulted,residents,consult,council residents,1
123,poet,consulted,commentaries,consult,poet commentaries,1
124,arguments,consulted,experts,consult,arguments experts,1
125,parents,consulted,grandfather,consult,parents grandfather,1
126,family,consult,tohunga,consult,family tohunga,1
127,family,consulted,kaumatua,consult,family kaumatua,1
128,mayor,consulted,government,consult,mayor government,1
129,ministries,consulted,plan,consult,ministries plan,1
130,board,consult,ratepayers,consult,board ratepayers,1
131,contributors,consulted,sources,consult,contributors sources,1
132,balconies,consulted,fins,consult,balconies fins,1
133,clients,consult,nodes,consult,clients nodes,1
134,people,consult,doctor,consult,people doctor,1
135,occupants,consult,officials,consult,occupants officials,1
136,work,consulted,texts,consult,work texts,1
137,contractor,consulted,plans,consult,contractor plans,1
138,developers,consulted,levels,consult,developers levels,1
139,development,consulted,oracle,consult,development oracle,1
140,mother,consults,tree,consult,mother tree,1
