,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,census,counted,people,count,census people,74
1,census,counted,people,count,census people,74
2,census,counted,people,count,census people,74
3,census,counted,people,count,census people,74
4,census,counted,people,count,census people,74
5,census,counted,people,count,census people,74
6,census,counted,people,count,census people,74
7,census,counted,people,count,census people,74
8,census,counted,people,count,census people,74
9,census,counted,people,count,census people,74
10,census,counted,people,count,census people,74
11,census,counted,people,count,census people,74
12,census,counted,people,count,census people,74
13,census,counted,people,count,census people,74
14,census,counted,people,count,census people,74
15,census,counted,people,count,census people,74
16,census,counted,people,count,census people,74
17,census,counted,people,count,census people,74
18,census,counted,people,count,census people,74
19,census,counted,people,count,census people,74
20,census,counted,people,count,census people,74
21,census,counted,people,count,census people,74
22,census,counted,people,count,census people,74
23,census,counted,people,count,census people,74
24,census,counted,people,count,census people,74
25,census,counted,people,count,census people,74
26,census,counted,people,count,census people,74
27,census,counted,people,count,census people,74
28,census,counted,people,count,census people,74
29,census,counted,people,count,census people,74
30,census,counting,people,count,census people,74
31,census,counted,people,count,census people,74
32,census,counts,people,count,census people,74
33,census,counted,people,count,census people,74
34,census,counted,people,count,census people,74
35,census,counted,people,count,census people,74
36,census,counted,people,count,census people,74
37,census,counted,people,count,census people,74
38,census,counted,people,count,census people,74
39,census,counted,people,count,census people,74
40,census,counted,people,count,census people,74
41,census,counted,people,count,census people,74
42,census,counted,people,count,census people,74
43,census,counted,people,count,census people,74
44,census,counted,people,count,census people,74
45,census,counted,people,count,census people,74
46,census,counted,people,count,census people,74
47,census,counted,people,count,census people,74
48,census,counted,people,count,census people,74
49,census,counted,people,count,census people,74
50,census,counted,people,count,census people,74
51,census,counted,people,count,census people,74
52,census,counted,people,count,census people,74
53,census,counted,people,count,census people,74
54,census,counted,people,count,census people,74
55,census,counted,people,count,census people,74
56,census,counted,people,count,census people,74
57,census,counted,people,count,census people,74
58,census,counted,people,count,census people,74
59,census,counted,people,count,census people,74
60,census,counted,people,count,census people,74
61,census,counted,people,count,census people,74
62,census,counted,people,count,census people,74
63,census,counted,people,count,census people,74
64,census,counted,people,count,census people,74
65,census,counts,people,count,census people,74
66,census,counted,people,count,census people,74
67,census,counted,people,count,census people,74
68,census,counted,people,count,census people,74
69,census,counts,people,count,census people,74
70,census,counted,people,count,census people,74
71,census,counted,people,count,census people,74
72,census,counted,people,count,census people,74
73,census,counted,people,count,census people,74
74,census,counted,population,count,census population,50
75,census,counted,population,count,census population,50
76,census,counted,population,count,census population,50
77,census,counted,population,count,census population,50
78,census,counted,population,count,census population,50
79,census,counted,population,count,census population,50
80,census,counted,population,count,census population,50
81,census,counted,population,count,census population,50
82,census,counted,population,count,census population,50
83,census,counted,population,count,census population,50
84,census,counted,population,count,census population,50
85,census,counted,population,count,census population,50
86,census,counted,population,count,census population,50
87,census,counting,population,count,census population,50
88,census,counted,population,count,census population,50
89,census,counted,population,count,census population,50
90,census,counted,population,count,census population,50
91,census,counted,population,count,census population,50
92,census,counted,population,count,census population,50
93,census,counted,population,count,census population,50
94,census,counted,population,count,census population,50
95,census,counted,population,count,census population,50
96,census,counted,population,count,census population,50
97,census,counted,population,count,census population,50
98,census,counted,population,count,census population,50
99,census,counted,population,count,census population,50
100,census,counted,population,count,census population,50
101,census,counted,population,count,census population,50
102,census,counted,population,count,census population,50
103,census,counted,population,count,census population,50
104,census,counted,population,count,census population,50
105,census,counted,population,count,census population,50
106,census,counted,population,count,census population,50
107,census,counted,population,count,census population,50
108,census,counted,population,count,census population,50
109,census,counted,population,count,census population,50
110,census,counted,population,count,census population,50
111,census,counted,population,count,census population,50
112,census,counted,population,count,census population,50
113,census,counted,population,count,census population,50
114,census,counted,population,count,census population,50
115,census,counted,population,count,census population,50
116,census,counted,population,count,census population,50
117,census,counted,population,count,census population,50
118,census,counted,population,count,census population,50
119,census,counted,population,count,census population,50
120,census,counted,population,count,census population,50
121,census,counted,population,count,census population,50
122,census,counted,population,count,census population,50
123,census,counted,population,count,census population,50
124,census,counted,residents,count,census residents,41
125,census,counted,residents,count,census residents,41
126,census,counted,residents,count,census residents,41
127,census,counted,residents,count,census residents,41
128,census,counted,residents,count,census residents,41
129,census,counted,residents,count,census residents,41
130,census,counted,residents,count,census residents,41
131,census,counted,residents,count,census residents,41
132,census,counted,residents,count,census residents,41
133,census,counted,residents,count,census residents,41
134,census,counted,residents,count,census residents,41
135,census,counted,residents,count,census residents,41
136,census,counted,residents,count,census residents,41
137,census,counted,residents,count,census residents,41
138,census,counted,residents,count,census residents,41
139,census,counted,residents,count,census residents,41
140,census,counted,residents,count,census residents,41
141,census,counted,residents,count,census residents,41
142,census,counted,residents,count,census residents,41
143,census,counted,residents,count,census residents,41
144,census,counted,residents,count,census residents,41
145,census,counted,residents,count,census residents,41
146,census,counted,residents,count,census residents,41
147,census,counted,residents,count,census residents,41
148,census,counted,residents,count,census residents,41
149,census,counted,residents,count,census residents,41
150,census,counted,residents,count,census residents,41
151,census,counted,residents,count,census residents,41
152,census,counted,residents,count,census residents,41
153,census,counted,residents,count,census residents,41
154,census,counted,residents,count,census residents,41
155,census,counted,residents,count,census residents,41
156,census,counted,residents,count,census residents,41
157,census,counted,residents,count,census residents,41
158,census,counted,residents,count,census residents,41
159,census,counted,residents,count,census residents,41
160,census,counted,residents,count,census residents,41
161,census,counted,residents,count,census residents,41
162,census,counted,residents,count,census residents,41
163,census,counted,residents,count,census residents,41
164,census,counted,residents,count,census residents,41
165,teams,counted,scores,count,teams scores,36
166,teams,counted,scores,count,teams scores,36
167,teams,counted,scores,count,teams scores,36
168,teams,counted,scores,count,teams scores,36
169,teams,counted,scores,count,teams scores,36
170,teams,counted,scores,count,teams scores,36
171,teams,counted,scores,count,teams scores,36
172,teams,counted,scores,count,teams scores,36
173,census,counted,inhabitants,count,census inhabitants,36
174,census,counted,inhabitants,count,census inhabitants,36
175,census,counted,inhabitants,count,census inhabitants,36
176,census,counted,inhabitants,count,census inhabitants,36
177,census,counted,inhabitants,count,census inhabitants,36
178,teams,counted,scores,count,teams scores,36
179,teams,counted,scores,count,teams scores,36
180,teams,counted,scores,count,teams scores,36
181,census,counted,inhabitants,count,census inhabitants,36
182,census,counted,inhabitants,count,census inhabitants,36
183,census,counted,inhabitants,count,census inhabitants,36
184,census,counted,inhabitants,count,census inhabitants,36
185,census,counted,inhabitants,count,census inhabitants,36
186,census,counts,inhabitants,count,census inhabitants,36
187,teams,counted,scores,count,teams scores,36
188,teams,counted,scores,count,teams scores,36
189,teams,counted,scores,count,teams scores,36
190,teams,counted,scores,count,teams scores,36
191,teams,counted,scores,count,teams scores,36
192,teams,counted,scores,count,teams scores,36
193,census,counted,inhabitants,count,census inhabitants,36
194,census,counted,inhabitants,count,census inhabitants,36
195,census,counted,inhabitants,count,census inhabitants,36
196,census,counted,inhabitants,count,census inhabitants,36
197,census,counted,inhabitants,count,census inhabitants,36
198,census,counted,inhabitants,count,census inhabitants,36
199,census,counted,inhabitants,count,census inhabitants,36
200,teams,counted,scores,count,teams scores,36
201,census,counted,inhabitants,count,census inhabitants,36
202,census,counted,inhabitants,count,census inhabitants,36
203,census,counted,inhabitants,count,census inhabitants,36
204,census,counted,inhabitants,count,census inhabitants,36
205,census,counted,inhabitants,count,census inhabitants,36
206,teams,counted,scores,count,teams scores,36
207,teams,counted,scores,count,teams scores,36
208,census,counted,inhabitants,count,census inhabitants,36
209,census,counted,inhabitants,count,census inhabitants,36
210,census,counted,inhabitants,count,census inhabitants,36
211,census,counted,inhabitants,count,census inhabitants,36
212,census,counted,inhabitants,count,census inhabitants,36
213,census,counted,inhabitants,count,census inhabitants,36
214,census,counted,inhabitants,count,census inhabitants,36
215,census,counts,inhabitants,count,census inhabitants,36
216,teams,counted,scores,count,teams scores,36
217,teams,counted,scores,count,teams scores,36
218,teams,counted,scores,count,teams scores,36
219,teams,counted,scores,count,teams scores,36
