,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,municipality,covers,area,cover,municipality area,5556
1,municipality,covers,area,cover,municipality area,5556
2,municipality,covers,area,cover,municipality area,5556
3,municipality,covers,area,cover,municipality area,5556
4,municipality,covers,area,cover,municipality area,5556
5,municipality,covers,area,cover,municipality area,5556
6,municipality,covers,area,cover,municipality area,5556
7,municipality,covers,area,cover,municipality area,5556
8,municipality,covers,area,cover,municipality area,5556
9,municipality,covers,area,cover,municipality area,5556
10,municipality,covers,area,cover,municipality area,5556
11,municipality,covers,area,cover,municipality area,5556
12,municipality,covers,area,cover,municipality area,5556
13,municipality,covers,area,cover,municipality area,5556
14,municipality,covers,area,cover,municipality area,5556
15,municipality,covers,area,cover,municipality area,5556
16,municipality,covers,area,cover,municipality area,5556
17,municipality,covers,area,cover,municipality area,5556
18,municipality,covers,area,cover,municipality area,5556
19,municipality,covers,area,cover,municipality area,5556
20,municipality,covers,area,cover,municipality area,5556
21,municipality,covers,area,cover,municipality area,5556
22,municipality,covers,area,cover,municipality area,5556
23,municipality,covers,area,cover,municipality area,5556
24,municipality,covers,area,cover,municipality area,5556
25,municipality,covered,area,cover,municipality area,5556
26,municipality,covers,area,cover,municipality area,5556
27,municipality,covers,area,cover,municipality area,5556
28,municipality,covers,area,cover,municipality area,5556
29,municipality,covers,area,cover,municipality area,5556
30,municipality,covers,area,cover,municipality area,5556
31,municipality,covers,area,cover,municipality area,5556
32,municipality,covers,area,cover,municipality area,5556
33,municipality,covers,area,cover,municipality area,5556
34,municipality,covers,area,cover,municipality area,5556
35,municipality,covers,area,cover,municipality area,5556
36,municipality,covers,area,cover,municipality area,5556
37,municipality,covers,area,cover,municipality area,5556
38,municipality,covers,area,cover,municipality area,5556
39,municipality,covers,area,cover,municipality area,5556
40,municipality,covers,area,cover,municipality area,5556
41,municipality,covers,area,cover,municipality area,5556
42,municipality,covers,area,cover,municipality area,5556
43,municipality,covers,area,cover,municipality area,5556
44,municipality,covers,area,cover,municipality area,5556
45,municipality,covers,area,cover,municipality area,5556
46,municipality,covers,area,cover,municipality area,5556
47,municipality,covers,area,cover,municipality area,5556
48,municipality,covers,area,cover,municipality area,5556
49,municipality,covers,area,cover,municipality area,5556
50,municipality,covers,area,cover,municipality area,5556
51,municipality,covers,area,cover,municipality area,5556
52,municipality,covers,area,cover,municipality area,5556
53,municipality,covers,area,cover,municipality area,5556
54,municipality,covers,area,cover,municipality area,5556
55,municipality,covers,area,cover,municipality area,5556
56,municipality,covers,area,cover,municipality area,5556
57,municipality,covers,area,cover,municipality area,5556
58,municipality,covers,area,cover,municipality area,5556
59,municipality,covers,area,cover,municipality area,5556
60,municipality,covers,area,cover,municipality area,5556
61,municipality,covers,area,cover,municipality area,5556
62,municipality,covers,area,cover,municipality area,5556
63,municipality,covers,area,cover,municipality area,5556
64,municipality,covers,area,cover,municipality area,5556
65,municipality,covers,area,cover,municipality area,5556
66,municipality,covers,area,cover,municipality area,5556
67,municipality,covers,area,cover,municipality area,5556
68,municipality,covers,area,cover,municipality area,5556
69,municipality,covers,area,cover,municipality area,5556
70,municipality,covers,area,cover,municipality area,5556
71,municipality,covers,area,cover,municipality area,5556
72,municipality,covers,area,cover,municipality area,5556
73,municipality,covers,area,cover,municipality area,5556
74,municipality,covers,area,cover,municipality area,5556
75,municipality,covers,area,cover,municipality area,5556
76,municipality,covers,area,cover,municipality area,5556
77,municipality,covers,area,cover,municipality area,5556
78,municipality,covers,area,cover,municipality area,5556
79,municipality,covers,area,cover,municipality area,5556
80,municipality,covers,area,cover,municipality area,5556
81,municipality,covers,area,cover,municipality area,5556
82,municipality,covers,area,cover,municipality area,5556
83,municipality,covers,area,cover,municipality area,5556
84,municipality,covers,area,cover,municipality area,5556
85,municipality,covers,area,cover,municipality area,5556
