,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,aircraft,crashed,fire,crash,aircraft fire,29
1,aircraft,crashed,fire,crash,aircraft fire,29
2,aircraft,crashed,fire,crash,aircraft fire,29
3,aircraft,crashed,fire,crash,aircraft fire,29
4,aircraft,crashed,fire,crash,aircraft fire,29
5,aircraft,crashed,fire,crash,aircraft fire,29
6,aircraft,crashed,fire,crash,aircraft fire,29
7,aircraft,crashed,fire,crash,aircraft fire,29
8,aircraft,crashed,fire,crash,aircraft fire,29
9,aircraft,crashed,fire,crash,aircraft fire,29
10,aircraft,crashed,fire,crash,aircraft fire,29
11,aircraft,crashed,fire,crash,aircraft fire,29
12,aircraft,crashed,fire,crash,aircraft fire,29
13,aircraft,crashed,fire,crash,aircraft fire,29
14,aircraft,crashed,fire,crash,aircraft fire,29
15,aircraft,crashed,fire,crash,aircraft fire,29
16,aircraft,crashed,fire,crash,aircraft fire,29
17,aircraft,crashed,fire,crash,aircraft fire,29
18,aircraft,crashed,fire,crash,aircraft fire,29
19,aircraft,crashed,fire,crash,aircraft fire,29
20,aircraft,crashed,fire,crash,aircraft fire,29
21,aircraft,crashed,fire,crash,aircraft fire,29
22,aircraft,crashed,fire,crash,aircraft fire,29
23,aircraft,crashed,fire,crash,aircraft fire,29
24,aircraft,crashed,fire,crash,aircraft fire,29
25,aircraft,crashed,fire,crash,aircraft fire,29
26,aircraft,crashed,fire,crash,aircraft fire,29
27,aircraft,crashed,fire,crash,aircraft fire,29
28,aircraft,crashed,fire,crash,aircraft fire,29
29,plane,crashed,route,crash,plane route,13
30,plane,crashed,route,crash,plane route,13
31,plane,crashed,route,crash,plane route,13
32,plane,crashes,route,crash,plane route,13
33,plane,crashed,route,crash,plane route,13
34,plane,crashed,route,crash,plane route,13
35,plane,crashes,route,crash,plane route,13
36,plane,crashed,route,crash,plane route,13
37,plane,crashed,route,crash,plane route,13
38,plane,crashed,route,crash,plane route,13
39,plane,crashed,route,crash,plane route,13
40,plane,crashed,route,crash,plane route,13
41,plane,crashed,route,crash,plane route,13
42,plane,crashed,fire,crash,plane fire,10
43,plane,crashed,fire,crash,plane fire,10
44,plane,crashed,fire,crash,plane fire,10
45,plane,crashed,fire,crash,plane fire,10
46,plane,crashed,fire,crash,plane fire,10
47,plane,crashed,fire,crash,plane fire,10
48,plane,crashes,fire,crash,plane fire,10
49,plane,crashed,fire,crash,plane fire,10
50,plane,crashed,fire,crash,plane fire,10
51,plane,crashed,fire,crash,plane fire,10
52,man,crashes,car,crash,man car,9
53,man,crashed,car,crash,man car,9
54,man,crashes,car,crash,man car,9
55,man,crashes,car,crash,man car,9
56,man,crashed,car,crash,man car,9
57,man,crashed,car,crash,man car,9
58,man,crashed,car,crash,man car,9
59,man,crashed,car,crash,man car,9
60,man,crashed,car,crash,man car,9
61,car,crashed,fire,crash,car fire,8
62,car,crashed,fire,crash,car fire,8
63,car,crashed,fire,crash,car fire,8
64,car,crashed,fire,crash,car fire,8
65,car,crashed,fire,crash,car fire,8
66,car,crashed,fire,crash,car fire,8
67,car,crashes,fire,crash,car fire,8
68,car,crashed,fire,crash,car fire,8
69,plane,crashed,nose,crash,plane nose,7
70,aircraft,crashed,short,crash,aircraft short,7
71,helicopter,crashed,route,crash,helicopter route,7
72,plane,crashed,nose,crash,plane nose,7
73,driver,crashes,game,crash,driver game,7
74,aircraft,crashed,short,crash,aircraft short,7
75,helicopter,crashed,route,crash,helicopter route,7
76,aircraft,crashed,short,crash,aircraft short,7
77,aircraft,crashed,short,crash,aircraft short,7
78,driver,crashes,game,crash,driver game,7
79,driver,crashes,game,crash,driver game,7
80,driver,crashes,game,crash,driver game,7
81,helicopter,crashed,route,crash,helicopter route,7
82,driver,crashes,game,crash,driver game,7
83,helicopter,crashes,route,crash,helicopter route,7
84,plane,crashed,nose,crash,plane nose,7
85,driver,crashes,game,crash,driver game,7
86,driver,crashes,game,crash,driver game,7
87,plane,crashed,nose,crash,plane nose,7
88,helicopter,crashed,route,crash,helicopter route,7
89,aircraft,crashed,short,crash,aircraft short,7
90,aircraft,crashed,short,crash,aircraft short,7
91,plane,crashed,nose,crash,plane nose,7
92,plane,crashed,nose,crash,plane nose,7
