,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,forces,crossed,border,cross,forces border,92
1,forces,crossed,border,cross,forces border,92
2,forces,crossed,border,cross,forces border,92
3,forces,crossed,border,cross,forces border,92
4,forces,crossed,border,cross,forces border,92
5,forces,crossed,border,cross,forces border,92
6,forces,crossed,border,cross,forces border,92
7,forces,crossed,border,cross,forces border,92
8,forces,crossed,border,cross,forces border,92
9,forces,crossing,border,cross,forces border,92
10,forces,crossing,border,cross,forces border,92
11,forces,crossed,border,cross,forces border,92
12,forces,crossed,border,cross,forces border,92
13,forces,crossed,border,cross,forces border,92
14,forces,cross,border,cross,forces border,92
15,forces,crossed,border,cross,forces border,92
16,forces,crossed,border,cross,forces border,92
17,forces,crossed,border,cross,forces border,92
18,forces,crossed,border,cross,forces border,92
19,forces,cross,border,cross,forces border,92
20,forces,cross,border,cross,forces border,92
21,forces,crossed,border,cross,forces border,92
22,forces,crossed,border,cross,forces border,92
23,forces,crossed,border,cross,forces border,92
24,forces,crossed,border,cross,forces border,92
25,forces,crossed,border,cross,forces border,92
26,forces,crossed,border,cross,forces border,92
27,forces,crossed,border,cross,forces border,92
28,forces,crossed,border,cross,forces border,92
29,forces,crossed,border,cross,forces border,92
30,forces,crossed,border,cross,forces border,92
31,forces,crossed,border,cross,forces border,92
32,forces,cross,border,cross,forces border,92
33,forces,crossed,border,cross,forces border,92
34,forces,crossed,border,cross,forces border,92
35,forces,cross,border,cross,forces border,92
36,forces,crossed,border,cross,forces border,92
37,forces,crossed,border,cross,forces border,92
38,forces,crossed,border,cross,forces border,92
39,forces,crossed,border,cross,forces border,92
40,forces,cross,border,cross,forces border,92
41,forces,crossed,border,cross,forces border,92
42,forces,crossed,border,cross,forces border,92
43,forces,cross,border,cross,forces border,92
44,forces,crossed,border,cross,forces border,92
45,forces,cross,border,cross,forces border,92
46,forces,crossed,border,cross,forces border,92
47,forces,crossed,border,cross,forces border,92
48,forces,crossed,border,cross,forces border,92
49,forces,crossed,border,cross,forces border,92
50,forces,cross,border,cross,forces border,92
51,forces,crossed,border,cross,forces border,92
52,forces,crossed,border,cross,forces border,92
53,forces,crossed,border,cross,forces border,92
54,forces,crossed,border,cross,forces border,92
55,forces,crossed,border,cross,forces border,92
56,forces,cross,border,cross,forces border,92
57,forces,crossed,border,cross,forces border,92
58,forces,crossed,border,cross,forces border,92
59,forces,crossed,border,cross,forces border,92
60,forces,crossed,border,cross,forces border,92
61,forces,crossed,border,cross,forces border,92
62,forces,crossed,border,cross,forces border,92
63,forces,crossed,border,cross,forces border,92
64,forces,crossed,border,cross,forces border,92
65,forces,crossed,border,cross,forces border,92
66,forces,crossed,border,cross,forces border,92
67,forces,crossed,border,cross,forces border,92
68,forces,crossed,border,cross,forces border,92
69,forces,crossed,border,cross,forces border,92
70,forces,cross,border,cross,forces border,92
71,forces,crossed,border,cross,forces border,92
72,forces,crossed,border,cross,forces border,92
73,forces,crossed,border,cross,forces border,92
74,forces,crossed,border,cross,forces border,92
75,forces,crossed,border,cross,forces border,92
76,forces,crossed,border,cross,forces border,92
77,forces,crossed,border,cross,forces border,92
78,forces,crossed,border,cross,forces border,92
79,forces,crossed,border,cross,forces border,92
80,forces,crossed,border,cross,forces border,92
81,forces,crossed,border,cross,forces border,92
82,forces,crossed,border,cross,forces border,92
83,forces,crossed,border,cross,forces border,92
84,forces,crossed,border,cross,forces border,92
85,forces,crossed,border,cross,forces border,92
86,forces,crossed,border,cross,forces border,92
87,forces,crossed,border,cross,forces border,92
88,forces,crossed,border,cross,forces border,92
89,forces,crossed,border,cross,forces border,92
90,forces,crossed,border,cross,forces border,92
91,forces,crossed,border,cross,forces border,92
92,troops,crossed,border,cross,troops border,89
93,troops,crossed,border,cross,troops border,89
94,troops,crossed,border,cross,troops border,89
95,troops,crossed,border,cross,troops border,89
96,troops,cross,border,cross,troops border,89
97,troops,crossed,border,cross,troops border,89
98,troops,crossed,border,cross,troops border,89
99,troops,crossed,border,cross,troops border,89
100,troops,cross,border,cross,troops border,89
101,troops,crossed,border,cross,troops border,89
102,troops,crossed,border,cross,troops border,89
103,troops,crossed,border,cross,troops border,89
104,troops,crossed,border,cross,troops border,89
105,troops,crossed,border,cross,troops border,89
106,troops,crossed,border,cross,troops border,89
107,troops,crossed,border,cross,troops border,89
108,troops,crossed,border,cross,troops border,89
109,troops,crossed,border,cross,troops border,89
110,troops,crossed,border,cross,troops border,89
111,troops,crossed,border,cross,troops border,89
112,troops,crossed,border,cross,troops border,89
113,troops,crossed,border,cross,troops border,89
114,troops,crossed,border,cross,troops border,89
115,troops,crossed,border,cross,troops border,89
116,troops,crossed,border,cross,troops border,89
117,troops,crossed,border,cross,troops border,89
118,troops,crossed,border,cross,troops border,89
119,troops,crossed,border,cross,troops border,89
120,troops,cross,border,cross,troops border,89
121,troops,crossed,border,cross,troops border,89
122,troops,crossed,border,cross,troops border,89
123,troops,crossed,border,cross,troops border,89
124,troops,crossed,border,cross,troops border,89
125,troops,crossed,border,cross,troops border,89
126,troops,crossed,border,cross,troops border,89
127,troops,crossed,border,cross,troops border,89
128,troops,crossed,border,cross,troops border,89
129,troops,crossed,border,cross,troops border,89
130,troops,crossed,border,cross,troops border,89
131,troops,crossed,border,cross,troops border,89
132,troops,crossing,border,cross,troops border,89
133,troops,crossed,border,cross,troops border,89
134,troops,crossed,border,cross,troops border,89
135,troops,crossed,border,cross,troops border,89
136,troops,cross,border,cross,troops border,89
137,troops,crossed,border,cross,troops border,89
138,troops,crossed,border,cross,troops border,89
139,troops,crossed,border,cross,troops border,89
140,troops,cross,border,cross,troops border,89
141,troops,crossed,border,cross,troops border,89
142,troops,crossed,border,cross,troops border,89
143,troops,crossed,border,cross,troops border,89
144,troops,crossed,border,cross,troops border,89
145,troops,crossed,border,cross,troops border,89
146,troops,crossed,border,cross,troops border,89
147,troops,crossed,border,cross,troops border,89
148,troops,crossed,border,cross,troops border,89
