,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,plant,dazzled,daylight,dazzle,plant daylight,1
1,music,dazzles,ear,dazzle,music ear,1
2,fear,dazzled,bystander,dazzle,fear bystander,1
3,gleam,dazzled,eyes,dazzle,gleam eyes,1
4,maiden,dazzled,rusticks,dazzle,maiden rusticks,1
5,works,dazzle,viewer,dazzle,works viewer,1
6,flames,dazzled,drivers,dazzle,flames drivers,1
7,charade,dazzles,pair,dazzle,charade pair,1
8,work,dazzled,locals,dazzle,work locals,1
9,girl,dazzled,fascination,dazzle,girl fascination,1
10,meteor,dazzles,eyes,dazzle,meteor eyes,1
11,minds,dazzled,sight,dazzle,minds sight,1
12,album,dazzle,listener,dazzle,album listener,1
13,stroll,dazzles,senses,dazzle,stroll senses,1
14,bodies,dazzle,eyes,dazzle,bodies eyes,1
15,reflections,dazzle,eye,dazzle,reflections eye,1
16,film,dazzles,emotions,dazzle,film emotions,1
17,songs,dazzle,public,dazzle,songs public,1
18,windows,dazzle,retina,dazzle,windows retina,1
19,design,dazzles,senses,dazzle,design senses,1
20,chorus,dazzling,synchronization,dazzle,chorus synchronization,1
21,result,dazzles,depiction,dazzle,result depiction,1
