,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,works,decorate,walls,decorate,works walls,4
1,image,decorates,cover,decorate,image cover,4
2,image,decorates,cover,decorate,image cover,4
3,works,decorate,walls,decorate,works walls,4
4,works,decorated,walls,decorate,works walls,4
5,works,decorate,walls,decorate,works walls,4
6,image,decorates,cover,decorate,image cover,4
7,image,decorates,cover,decorate,image cover,4
8,mosaics,decorated,walls,decorate,mosaics walls,3
9,mosaics,decorated,walls,decorate,mosaics walls,3
10,mosaics,decorate,walls,decorate,mosaics walls,3
11,player,decorate,room,decorate,player room,3
12,people,decorate,homes,decorate,people homes,3
13,people,decorated,tree,decorate,people tree,3
14,people,decorate,tree,decorate,people tree,3
15,murals,decorated,walls,decorate,murals walls,3
16,murals,decorate,walls,decorate,murals walls,3
17,player,decorate,room,decorate,player room,3
18,people,decorate,tree,decorate,people tree,3
19,player,decorate,room,decorate,player room,3
20,people,decorate,homes,decorate,people homes,3
21,murals,decorating,walls,decorate,murals walls,3
22,people,decorate,homes,decorate,people homes,3
23,windows,decorate,façade,decorate,windows façade,2
24,features,decorated,windows,decorate,features windows,2
25,features,decorated,windows,decorate,features windows,2
26,painters,decorated,walls,decorate,painters walls,2
27,people,decorate,bodies,decorate,people bodies,2
28,women,decorate,walls,decorate,women walls,2
29,groups,decorate,eggs,decorate,groups eggs,2
30,homeowners,decorate,exterior,decorate,homeowners exterior,2
31,company,decorated,room,decorate,company room,2
32,statues,decorate,area,decorate,statues area,2
33,governments,decorated,officers,decorate,governments officers,2
34,star,decorated,breast,decorate,star breast,2
35,owners,decorate,house,decorate,owners house,2
36,rulers,decorated,mosque,decorate,rulers mosque,2
37,grander,decorated,elements,decorate,grander elements,2
38,homeowners,decorate,exterior,decorate,homeowners exterior,2
39,groups,decorate,eggs,decorate,groups eggs,2
40,rulers,decorated,mosque,decorate,rulers mosque,2
41,species,decorate,nests,decorate,species nests,2
42,glass,decorates,windows,decorate,glass windows,2
43,species,decorate,nests,decorate,species nests,2
44,governments,decorated,officers,decorate,governments officers,2
45,people,decorate,streets,decorate,people streets,2
46,people,decorated,bodies,decorate,people bodies,2
47,families,decorate,homes,decorate,families homes,2
48,star,decorated,breast,decorate,star breast,2
49,grander,decorated,elements,decorate,grander elements,2
50,son,decorated,body,decorate,son body,2
51,sectors,decorated,stones,decorate,sectors stones,2
52,members,decorated,outsides,decorate,members outsides,2
53,company,decorate,room,decorate,company room,2
54,son,decorated,body,decorate,son body,2
55,bust,decorates,yard,decorate,bust yard,2
56,mural,decorated,stairwell,decorate,mural stairwell,2
57,frescoes,decorated,walls,decorate,frescoes walls,2
58,symbol,decorates,shield,decorate,symbol shield,2
59,arms,decorate,walls,decorate,arms walls,2
60,arms,decorated,walls,decorate,arms walls,2
61,arches,decorated,orders,decorate,arches orders,2
62,arches,decorated,orders,decorate,arches orders,2
63,painting,decorates,section,decorate,painting section,2
64,families,decorated,homes,decorate,families homes,2
65,votaries,decorate,altar,decorate,votaries altar,2
66,mural,decorated,wall,decorate,mural wall,2
67,borders,decorated,sleeves,decorate,borders sleeves,2
68,people,decorate,houses,decorate,people houses,2
69,bust,decorates,yard,decorate,bust yard,2
70,tiles,decorate,interior,decorate,tiles interior,2
71,women,decorate,house,decorate,women house,2
72,tiles,decorate,interior,decorate,tiles interior,2
73,frescoes,decorate,walls,decorate,frescoes walls,2
74,borders,decorated,sleeves,decorate,borders sleeves,2
75,commander,decorated,crews,decorate,commander crews,2
76,cross,decorated,anverse,decorate,cross anverse,2
77,owners,decorate,house,decorate,owners house,2
78,cross,decorated,anverse,decorate,cross anverse,2
79,glass,decorated,windows,decorate,glass windows,2
80,cannons,decorate,ramparts,decorate,cannons ramparts,2
81,sculpture,decorates,entrance,decorate,sculpture entrance,2
82,folks,decorate,frontage,decorate,folks frontage,2
83,folks,decorate,frontage,decorate,folks frontage,2
84,sculpture,decorates,entrance,decorate,sculpture entrance,2
85,people,decorated,houses,decorate,people houses,2
86,rhino,decorated,artists,decorate,rhino artists,2
87,women,decorate,walls,decorate,women walls,2
88,mural,decorates,wall,decorate,mural wall,2
89,mural,decorated,stairwell,decorate,mural stairwell,2
90,sectors,decorated,stones,decorate,sectors stones,2
91,members,decorated,outsides,decorate,members outsides,2
92,windows,decorate,façade,decorate,windows façade,2
93,residents,decorated,cars,decorate,residents cars,2
94,statues,decorate,area,decorate,statues area,2
95,rhino,decorated,artists,decorate,rhino artists,2
96,painting,decorates,section,decorate,painting section,2
97,commander,decorated,crews,decorate,commander crews,2
98,symbol,decorates,shield,decorate,symbol shield,2
99,people,decorated,streets,decorate,people streets,2
100,person,decorates,page,decorate,person page,2
101,person,decorates,page,decorate,person page,2
102,painters,decorated,walls,decorate,painters walls,2
103,architect,decorated,frieze,decorate,architect frieze,2
104,alliances,decorated,altar,decorate,alliances altar,2
105,women,decorate,house,decorate,women house,2
106,alliances,decorated,altar,decorate,alliances altar,2
107,residents,decorated,cars,decorate,residents cars,2
108,votaries,decorate,altar,decorate,votaries altar,2
109,images,decorate,part,decorate,images part,2
110,architect,decorated,frieze,decorate,architect frieze,2
111,cannons,decorate,ramparts,decorate,cannons ramparts,2
112,images,decorate,part,decorate,images part,2
113,congregation,decorated,interior,decorate,congregation interior,1
114,cathedral,decorated,monks,decorate,cathedral monks,1
115,drivers,decorate,cars,decorate,drivers cars,1
116,vigil,decorated,tree,decorate,vigil tree,1
117,eggs,decorated,painting,decorate,eggs painting,1
118,people,decorate,funeral,decorate,people funeral,1
119,pellets,decorates,spacing,decorate,pellets spacing,1
120,gallery,decorated,gallery,decorate,gallery gallery,1
121,marksmen,decorate,uniforms,decorate,marksmen uniforms,1
122,teams,decorated,structure,decorate,teams structure,1
123,letters,decorated,motives,decorate,letters motives,1
124,painters,decorated,interior,decorate,painters interior,1
125,objects,decorated,skulls,decorate,objects skulls,1
126,clusters,decorate,frame,decorate,clusters frame,1
127,medallions,decorate,frame,decorate,medallions frame,1
128,sides,decorated,pattern,decorate,sides pattern,1
129,monument,decorate,cenotaph,decorate,monument cenotaph,1
130,art,decorated,number,decorate,art number,1
131,pottery,decorated,pottery,decorate,pottery pottery,1
132,lions,decorate,building,decorate,lions building,1
133,window,decorates,end,decorate,window end,1
134,pair,decorate,floor,decorate,pair floor,1
135,man,decorate,cake,decorate,man cake,1
136,image,decorates,vertex,decorate,image vertex,1
137,species,decorate,webs,decorate,species webs,1
138,series,decorated,room,decorate,series room,1
139,gifts,decorated,trees,decorate,gifts trees,1
140,image,decorates,nameplate,decorate,image nameplate,1
141,artist,decorated,church,decorate,artist church,1
142,backs,decorate,room,decorate,backs room,1
143,participants,decorate,piece,decorate,participants piece,1
144,mandala,decorated,design,decorate,mandala design,1
145,row,decorating,edge,decorate,row edge,1
146,bags,decorated,wearer,decorate,bags wearer,1
147,patrons,decorated,tram,decorate,patrons tram,1
148,coat,decorated,parts,decorate,coat parts,1
149,facade,decorated,platforms,decorate,facade platforms,1
150,sculptures,decorate,facade,decorate,sculptures facade,1
151,coat,decorates,entranceway,decorate,coat entranceway,1
152,glassmakers,decorated,glassware,decorate,glassmakers glassware,1
153,officers,decorated,troops,decorate,officers troops,1
154,caryatids,decorate,pulpit,decorate,caryatids pulpit,1
155,tribe,decorate,women,decorate,tribe women,1
156,people,decorated,cave,decorate,people cave,1
157,firm,decorated,churches,decorate,firm churches,1
158,paintings,decorate,ceilings,decorate,paintings ceilings,1
159,friend,decorates,song,decorate,friend song,1
160,borders,decorated,windows,decorate,borders windows,1
161,flowers,decorating,hair,decorate,flowers hair,1
162,rooms,decorated,pottery,decorate,rooms pottery,1
163,career,decorating,pieces,decorate,career pieces,1
164,coterie,decorated,apse,decorate,coterie apse,1
165,birds,decorate,nest,decorate,birds nest,1
166,mural,decorated,headquarters,decorate,mural headquarters,1
167,chromatophores,decorate,region,decorate,chromatophores region,1
168,fans,decorate,scenes,decorate,fans scenes,1
169,publication,decorated,pots,decorate,publication pots,1
170,arms,decorate,lectern,decorate,arms lectern,1
171,murals,decorated,ceilings,decorate,murals ceilings,1
172,friezes,decorate,walls,decorate,friezes walls,1
173,rest,decorated,staves,decorate,rest staves,1
174,women,decorate,ceramics,decorate,women ceramics,1
