,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,second,dives,opponent,dive,second opponent,9
1,second,dives,opponent,dive,second opponent,9
2,second,dives,opponent,dive,second opponent,9
3,second,dives,opponent,dive,second opponent,9
4,second,dives,opponent,dive,second opponent,9
5,second,dives,opponent,dive,second opponent,9
6,second,dives,opponent,dive,second opponent,9
7,second,dives,opponent,dive,second opponent,9
8,second,dives,opponent,dive,second opponent,9
9,half,dived,airfield,dive,half airfield,2
10,nose,dived,plane,dive,nose plane,2
11,half,dived,airfield,dive,half airfield,2
12,train,dives,drop,dive,train drop,2
13,birds,dive,underwater,dive,birds underwater,2
14,scuba,dive,hours,dive,scuba hours,2
15,wrestler,dives,cutter,dive,wrestler cutter,2
16,wrestler,dives,cutter,dive,wrestler cutter,2
17,pilot,dived,advance,dive,pilot advance,2
18,pilot,dived,advance,dive,pilot advance,2
19,submarine,dived,fire,dive,submarine fire,2
20,player,dive,underwater,dive,player underwater,2
21,scuba,dive,hours,dive,scuba hours,2
22,submarine,dived,fire,dive,submarine fire,2
23,submarine,dived,torpedo,dive,submarine torpedo,2
24,birds,dive,underwater,dive,birds underwater,2
25,sub,dived,airship,dive,sub airship,2
26,submarine,dived,torpedo,dive,submarine torpedo,2
27,train,dives,drop,dive,train drop,2
28,aircraft,dived,drum,dive,aircraft drum,2
29,sub,dived,airship,dive,sub airship,2
30,player,dive,underwater,dive,player underwater,2
31,aircraft,dived,drum,dive,aircraft drum,2
32,nose,dived,plane,dive,nose plane,2
33,gulls,dive,bomb,dive,gulls bomb,1
34,airplanes,dove,bombs,dive,airplanes bombs,1
35,plot,dives,losses,dive,plot losses,1
36,group,dived,firebombs,dive,group firebombs,1
37,band,diving,cartoonish,dive,band cartoonish,1
38,target,dives,search,dive,target search,1
39,kamikaze,dived,raider,dive,kamikaze raider,1
40,heaven,dove,constellation,dive,heaven constellation,1
41,turtle,dove,pigeon,dive,turtle pigeon,1
42,problem,dives,spirit,dive,problem spirit,1
43,murres,dive,fish,dive,murres fish,1
44,goalkeeper,dived,chance,dive,goalkeeper chance,1
45,targeting,dived,submarines,dive,targeting submarines,1
46,aliens,diving,capsule,dive,aliens capsule,1
47,submarine,dived,means,dive,submarine means,1
48,train,dives,element,dive,train element,1
49,machine,dived,nose,dive,machine nose,1
50,members,dive,time,dive,members time,1
51,scuba,dives,people,dive,scuba people,1
52,aircraft,dived,injuries,dive,aircraft injuries,1
53,pilots,dived,aircraft,dive,pilots aircraft,1
54,cat,dives,head,dive,cat head,1
55,players,dive,feature,dive,players feature,1
56,sailors,dove,sack,dive,sailors sack,1
57,people,dive,team,dive,people team,1
58,vehicle,dives,ramp,dive,vehicle ramp,1
59,men,dived,sailors,dive,men sailors,1
60,surface,dives,food,dive,surface food,1
61,emerald,dove,lizard,dive,emerald lizard,1
62,ailerons,dives,portion,dive,ailerons portion,1
63,songwriting,dives,head,dive,songwriting head,1
64,player,diving,skyscraper,dive,player skyscraper,1
65,officer,dived,hit,dive,officer hit,1
66,serpent,dove,underwater,dive,serpent underwater,1
67,ten,dived,wrecks,dive,ten wrecks,1
68,penguins,dive,songs,dive,penguins songs,1
69,patrol,dived,formation,dive,patrol formation,1
70,two,dived,one,dive,two one,1
71,players,dive,underwater,dive,players underwater,1
72,thousands,dive,celebration,dive,thousands celebration,1
73,submarine,dived,damage,dive,submarine damage,1
74,player,dives,submarine,dive,player submarine,1
75,team,dived,vessel,dive,team vessel,1
76,trough,dived,southwards,dive,trough southwards,1
77,animal,dove,hair,dive,animal hair,1
78,aircraft,dived,speed,dive,aircraft speed,1
79,audience,dives,representation,dive,audience representation,1
80,capture,dive,behaviour,dive,capture behaviour,1
81,soup,dove,breast,dive,soup breast,1
82,links,dove,birds,dive,links birds,1
83,aircraft,dived,feet,dive,aircraft feet,1
84,father,dives,house,dive,father house,1
85,plane,dives,approach,dive,plane approach,1
86,scuba,diving,sole,dive,scuba sole,1
87,members,dived,artefacts,dive,members artefacts,1
88,immatures,dived,times,dive,immatures times,1
89,sub,dived,course,dive,sub course,1
90,submarine,dived,chase,dive,submarine chase,1
91,half,dives,half,dive,half half,1
92,chicks,dive,underwater,dive,chicks underwater,1
93,child,dove,arm,dive,child arm,1
94,bands,dove,fondness,dive,bands fondness,1
95,fruit,dove,plants,dive,fruit plants,1
96,ring,dove,drongo,dive,ring drongo,1
97,participants,dive,feet,dive,participants feet,1
98,phoenix,dived,eyes,dive,phoenix eyes,1
99,crash,dived,barrages,dive,crash barrages,1
100,severity,dive,computers,dive,severity computers,1
101,aircraft,dove,occupants,dive,aircraft occupants,1
102,pilot,dove,plane,dive,pilot plane,1
103,whoever,dives,site,dive,whoever site,1
104,autonomy,dives,autonomy,dive,autonomy autonomy,1
105,plane,dove,bombs,dive,plane bombs,1
106,forms,dives,lives,dive,forms lives,1
107,viewer,dives,image,dive,viewer image,1
108,careerists,dive,hands,dive,careerists hands,1
109,pilot,dived,control,dive,pilot control,1
110,competitor,dives,underwater,dive,competitor underwater,1
111,scuba,dived,game,dive,scuba game,1
112,robots,dive,fathoms,dive,robots fathoms,1
113,change,dives,fade,dive,change fade,1
114,fruit,dove,pigeon,dive,fruit pigeon,1
115,plane,dove,water,dive,plane water,1
116,turtle,dove,sunbird,dive,turtle sunbird,1
117,coaster,dives,drop,dive,coaster drop,1
118,scuba,dives,dives,dive,scuba dives,1
119,crew,dives,airliner,dive,crew airliner,1
120,vehicle,dove,left,dive,vehicle left,1
121,bird,dives,earth,dive,bird earth,1
122,ground,dove,lives,dive,ground lives,1
123,fish,dive,male,dive,fish male,1
124,formation,dives,aquifer,dive,formation aquifer,1
125,hoods,dove,grey,dive,hoods grey,1
126,birds,diving,intruder,dive,birds intruder,1
127,cameraman,dived,divers,dive,cameraman divers,1
128,rock,dove,rising,dive,rock rising,1
129,plane,dove,bomb,dive,plane bomb,1
130,bomb,dives,fuse,dive,bomb fuse,1
131,former,dove,ships,dive,former ships,1
132,moves,dives,layer,dive,moves layer,1
133,submarine,dived,explosions,dive,submarine explosions,1
134,nectar,dives,flowers,dive,nectar flowers,1
135,pilot,dives,fighter,dive,pilot fighter,1
136,children,dive,underwater,dive,children underwater,1
137,wrestler,dives,bulldog,dive,wrestler bulldog,1
138,bomber,dived,bomb,dive,bomber bomb,1
139,everyone,dove,guts,dive,everyone guts,1
140,pope,dives,experiences,dive,pope experiences,1
141,aircraft,dived,landing,dive,aircraft landing,1
142,captain,dived,boat,dive,captain boat,1
143,trimix,diving,dive,dive,trimix dive,1
144,rock,dove,number,dive,rock number,1
145,warship,dived,pattern,dive,warship pattern,1
146,pilots,dived,impairments,dive,pilots impairments,1
147,plane,dove,feet,dive,plane feet,1
148,scuba,dived,belt,dive,scuba belt,1
149,coaster,dives,rest,dive,coaster rest,1
150,meal,dove,meat,dive,meal meat,1
151,ships,dived,underwater,dive,ships underwater,1
152,shore,dives,variety,dive,shore variety,1
153,divers,dive,wrecks,dive,divers wrecks,1
154,plane,dived,speed,dive,plane speed,1
155,plane,dove,gunfire,dive,plane gunfire,1
156,hawk,dove,version,dive,hawk version,1
157,submarine,dove,approach,dive,submarine approach,1
158,officer,dived,boat,dive,officer boat,1
159,one,dove,plane,dive,one plane,1
160,longer,dives,minutes,dive,longer minutes,1
161,keeper,dives,way,dive,keeper way,1
162,emerald,dove,pigeon,dive,emerald pigeon,1
163,plane,dove,fire,dive,plane fire,1
164,adoption,dove,removal,dive,adoption removal,1
165,submarine,dove,volley,dive,submarine volley,1
166,kamikaze,dove,guns,dive,kamikaze guns,1
167,collared,dove,threat,dive,collared threat,1
