,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,depression,drifted,northeastward,drift,depression northeastward,5
1,depression,drifted,northeastward,drift,depression northeastward,5
2,depression,drifted,northeastward,drift,depression northeastward,5
3,depression,drifted,northeastward,drift,depression northeastward,5
4,depression,drifted,northeastward,drift,depression northeastward,5
5,storm,drifted,northeastward,drift,storm northeastward,4
6,storm,drifted,northeastward,drift,storm northeastward,4
7,storm,drifted,northeastward,drift,storm northeastward,4
8,storm,drifted,northeastward,drift,storm northeastward,4
9,system,drifted,westwards,drift,system westwards,4
10,system,drifted,westwards,drift,system westwards,4
11,system,drifted,westwards,drift,system westwards,4
12,system,drifted,westwards,drift,system westwards,4
13,system,drifted,southwestward,drift,system southwestward,3
14,system,drifted,southwestward,drift,system southwestward,3
15,system,drifted,southwestward,drift,system southwestward,3
16,winds,drifted,ship,drift,winds ship,3
17,depression,drifted,southeastward,drift,depression southeastward,3
18,system,drifted,northwards,drift,system northwards,3
19,depression,drifted,southeastward,drift,depression southeastward,3
20,depression,drifted,southeastward,drift,depression southeastward,3
21,depression,drifted,southwestward,drift,depression southwestward,3
22,winds,drifted,ship,drift,winds ship,3
23,system,drifted,northwards,drift,system northwards,3
24,system,drifted,northwards,drift,system northwards,3
25,depression,drifted,southwestward,drift,depression southwestward,3
26,winds,drifted,ship,drift,winds ship,3
27,depression,drifted,southwestward,drift,depression southwestward,3
28,vessel,drifted,islands,drift,vessel islands,2
29,ships,drifted,downriver,drift,ships downriver,2
30,aroma,drifts,one,drift,aroma one,2
31,boat,drifted,downriver,drift,boat downriver,2
32,blizzards,drift,southward,drift,blizzards southward,2
33,ships,drifted,downriver,drift,ships downriver,2
34,delay,drifting,smoke,drift,delay smoke,2
35,remnants,drifted,southeastward,drift,remnants southeastward,2
36,aroma,drifts,one,drift,aroma one,2
37,system,drifted,southeastward,drift,system southeastward,2
38,gas,drifted,southwest,drift,gas southwest,2
39,gas,drifted,southwest,drift,gas southwest,2
40,system,drifted,northeastward,drift,system northeastward,2
41,system,drifted,southeastward,drift,system southeastward,2
42,system,drifted,southeastwards,drift,system southeastwards,2
43,system,drifted,northeastward,drift,system northeastward,2
44,blizzards,drift,southward,drift,blizzards southward,2
45,depression,drifted,advisories,drift,depression advisories,2
46,boat,drifted,downriver,drift,boat downriver,2
47,system,drifted,development,drift,system development,2
48,system,drifted,southeastwards,drift,system southeastwards,2
49,depression,drifted,advisories,drift,depression advisories,2
50,storm,drifted,landfall,drift,storm landfall,2
51,storm,drifted,landfall,drift,storm landfall,2
52,vessel,drifted,islands,drift,vessel islands,2
53,storm,drifted,southwestward,drift,storm southwestward,2
54,delay,drifting,smoke,drift,delay smoke,2
55,members,drifted,offices,drift,members offices,2
56,storm,drifted,southwestward,drift,storm southwestward,2
57,low,drifted,west,drift,low west,2
58,battalion,drifted,yards,drift,battalion yards,2
59,members,drifted,offices,drift,members offices,2
60,player,drifting,car,drift,player car,2
61,battalion,drifted,yards,drift,battalion yards,2
62,player,drifts,car,drift,player car,2
63,low,drifted,west,drift,low west,2
64,system,drifted,development,drift,system development,2
65,remnants,drifted,southeastward,drift,remnants southeastward,2
66,warships,drifting,downriver,drift,warships downriver,1
67,vessel,drifted,southwest,drift,vessel southwest,1
68,vessel,drifted,fortnight,drift,vessel fortnight,1
69,band,drifted,band,drift,band band,1
70,ship,drifted,astern,drift,ship astern,1
71,paper,drifted,attention,drift,paper attention,1
72,hurricane,drifted,northeastward,drift,hurricane northeastward,1
73,followers,drifted,leadership,drift,followers leadership,1
74,magazine,drifted,members,drift,magazine members,1
75,effort,drifted,opportunity,drift,effort opportunity,1
76,ice,drifting,stream,drift,ice stream,1
77,men,drifted,moment,drift,men moment,1
78,star,drifts,rift,drift,star rift,1
79,lifeboat,drifted,line,drift,lifeboat line,1
80,aircraft,drifted,left,drift,aircraft left,1
81,snow,drifts,high,drift,snow high,1
82,songs,drifting,progressions,drift,songs progressions,1
83,winds,drifting,snow,drift,winds snow,1
84,storm,drifted,southeastward,drift,storm southeastward,1
85,snow,drifts,wind,drift,snow wind,1
86,vessel,drifted,archipelago,drift,vessel archipelago,1
87,faction,drifted,nationalism,drift,faction nationalism,1
88,mouth,drifted,shut,drift,mouth shut,1
89,base,drifted,room,drift,base room,1
90,mourners,drift,party,drift,mourners party,1
91,driver,drift,car,drift,driver car,1
92,ships,drifted,east,drift,ships east,1
93,area,drifted,southeastward,drift,area southeastward,1
94,two,drifted,possibility,drift,two possibility,1
95,latter,drifted,rudder,drift,latter rudder,1
96,beast,drifts,boy,drift,beast boy,1
97,icebergs,drifted,ice,drift,icebergs ice,1
98,ship,drifted,ship,drift,ship ship,1
99,volunteers,drifted,interest,drift,volunteers interest,1
100,system,drifted,depression,drift,system depression,1
101,steamer,drifted,downstream,drift,steamer downstream,1
102,circulation,drifted,day,drift,circulation day,1
103,people,drift,river,drift,people river,1
104,maps,drifted,target,drift,maps target,1
105,clipper,drifted,anchor,drift,clipper anchor,1
106,low,drifted,intensity,drift,low intensity,1
107,police,drifted,people,drift,police people,1
108,system,drifted,northwestwards,drift,system northwestwards,1
109,third,drifted,free,drift,third free,1
110,wave,drifted,westwards,drift,wave westwards,1
111,hulk,drifted,hours,drift,hulk hours,1
112,cyclone,drifted,southwest,drift,cyclone southwest,1
113,system,drifted,west,drift,system west,1
114,party,drifted,left,drift,party left,1
115,wind,drifted,ball,drift,wind ball,1
116,counts,drifted,support,drift,counts support,1
117,monitor,drifted,shells,drift,monitor shells,1
118,plate,drifted,northwards,drift,plate northwards,1
119,ship,drifted,broadside,drift,ship broadside,1
120,men,drifted,ways,drift,men ways,1
121,clouds,drift,rain,drift,clouds rain,1
122,plate,drifted,distance,drift,plate distance,1
123,nations,drifted,attempt,drift,nations attempt,1
124,calendar,drifts,true,drift,calendar true,1
125,measurements,drift,way,drift,measurements way,1
126,ball,drifted,shot,drift,ball shot,1
127,focus,drifted,transition,drift,focus transition,1
128,smoke,drifted,skywards,drift,smoke skywards,1
129,population,drifted,popularity,drift,population popularity,1
130,continent,drifted,changes,drift,continent changes,1
131,bait,drift,downstream,drift,bait downstream,1
132,pests,drift,crops,drift,pests crops,1
133,ship,drifted,bow,drift,ship bow,1
134,ship,drifted,course,drift,ship course,1
135,wreck,drifted,northwards,drift,wreck northwards,1
136,men,drifted,miles,drift,men miles,1
137,scudding,drifts,rainy,drift,scudding rainy,1
138,siblings,drift,increase,drift,siblings increase,1
139,publication,drifted,distribution,drift,publication distribution,1
140,city,drifts,residents,drift,city residents,1
141,music,drifted,furthest,drift,music furthest,1
142,coat,drifted,logo,drift,coat logo,1
143,members,drifted,groups,drift,members groups,1
144,terranes,drifted,thousands,drift,terranes thousands,1
145,low,drifted,northeastwards,drift,low northeastwards,1
146,fever,drifted,brain,drift,fever brain,1
147,creature,drifts,colonists,drift,creature colonists,1
148,remnants,drifted,characteristics,drift,remnants characteristics,1
149,vocals,drifting,weightless,drift,vocals weightless,1
150,king,drifted,clan,drift,king clan,1
151,song,drifts,frontwoman,drift,song frontwoman,1
152,discussions,drifted,fruit,drift,discussions fruit,1
153,group,drifted,narrative,drift,group narrative,1
154,low,drifted,northward,drift,low northward,1
155,vessel,drifted,contact,drift,vessel contact,1
156,remnant,drifted,southwestward,drift,remnant southwestward,1
157,divers,drift,site,drift,divers site,1
158,vehicle,drifted,tree,drift,vehicle tree,1
159,azimuth,drifts,azimuth,drift,azimuth azimuth,1
160,besiegers,drifted,discouraged,drift,besiegers discouraged,1
161,effort,drifted,crowd,drift,effort crowd,1
162,activity,drifted,resurgence,drift,activity resurgence,1
163,low,drifted,landfall,drift,low landfall,1
164,voice,drifting,pitch,drift,voice pitch,1
165,horse,drifted,lanes,drift,horse lanes,1
166,assistant,drifted,power,drift,assistant power,1
167,thoughts,drifted,interest,drift,thoughts interest,1
168,trough,drifted,southwards,drift,trough southwards,1
169,leg,drifting,moorings,drift,leg moorings,1
170,attention,drifted,coverage,drift,attention coverage,1
171,most,drift,westwards,drift,most westwards,1
172,kick,drifted,right,drift,kick right,1
173,processes,drift,term,drift,processes term,1
174,plate,drifted,north,drift,plate north,1
175,company,drifting,events,drift,company events,1
176,oil,drifted,spill,drift,oil spill,1
177,attention,drifts,partying,drift,attention partying,1
178,plot,drifts,obvious,drift,plot obvious,1
179,mind,drifted,writing,drift,mind writing,1
180,system,drifted,northwest,drift,system northwest,1
181,broadcasts,drifted,anchor,drift,broadcasts anchor,1
182,leaders,drifting,four,drift,leaders four,1
183,barges,drifted,downstream,drift,barges downstream,1
184,bank,drifts,visibility,drift,bank visibility,1
185,currents,drifted,car,drift,currents car,1
186,arrangement,drifts,warmth,drift,arrangement warmth,1
187,approach,drifted,offline,drift,approach offline,1
188,seed,drifts,root,drift,seed root,1
189,actions,drift,thoughts,drift,actions thoughts,1
190,cars,drifted,wheels,drift,cars wheels,1
191,leaders,drifted,countries,drift,leaders countries,1
192,ship,drifted,population,drift,ship population,1
193,sisters,drift,bond,drift,sisters bond,1
194,ship,drifted,downriver,drift,ship downriver,1
195,ferry,drifted,ferry,drift,ferry ferry,1
196,ship,drifted,refugees,drift,ship refugees,1
197,ship,drifted,downstream,drift,ship downstream,1
198,outlaws,drifted,place,drift,outlaws place,1
199,engagement,drifted,sight,drift,engagement sight,1
200,most,drifted,efforts,drift,most efforts,1
201,topics,drifted,community,drift,topics community,1
202,myriads,drift,plankton,drift,myriads plankton,1
203,crew,drifted,aircraft,drift,crew aircraft,1
204,water,drifted,depth,drift,water depth,1
205,priests,drifted,categories,drift,priests categories,1
206,ship,drifted,damage,drift,ship damage,1
207,vessels,drift,stream,drift,vessels stream,1
208,remnant,drifted,east,drift,remnant east,1
209,panokseon,drifted,everyone,drift,panokseon everyone,1
210,vessel,drifted,miles,drift,vessel miles,1
211,productions,drifted,productions,drift,productions productions,1
212,cyclone,drifted,north,drift,cyclone north,1
213,storm,drifted,loops,drift,storm loops,1
214,storm,drifted,northwards,drift,storm northwards,1
215,ship,drifted,further,drift,ship further,1
216,ship,drifted,westwards,drift,ship westwards,1
217,vortex,drifted,southward,drift,vortex southward,1
218,depression,drifted,landfall,drift,depression landfall,1
219,craft,drifted,pirates,drift,craft pirates,1
220,conversation,drifts,song,drift,conversation song,1
221,iceberg,drifted,westwards,drift,iceberg westwards,1
222,continent,drifted,northwards,drift,continent northwards,1
223,wreck,drifted,fire,drift,wreck fire,1
224,persons,drifted,water,drift,persons water,1
225,cutter,drifted,inshore,drift,cutter inshore,1
226,cyclone,drifted,west,drift,cyclone west,1
227,circulation,drifted,intensification,drift,circulation intensification,1
228,vortex,drifted,southwestward,drift,vortex southwestward,1
229,gas,drifted,troops,drift,gas troops,1
