,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,film,emerged,success,emerge,film success,27
1,film,emerged,success,emerge,film success,27
2,film,emerged,success,emerge,film success,27
3,film,emerged,success,emerge,film success,27
4,film,emerged,success,emerge,film success,27
5,film,emerged,success,emerge,film success,27
6,film,emerged,success,emerge,film success,27
7,film,emerged,success,emerge,film success,27
8,film,emerged,success,emerge,film success,27
9,film,emerged,success,emerge,film success,27
10,film,emerged,success,emerge,film success,27
11,film,emerged,success,emerge,film success,27
12,film,emerged,success,emerge,film success,27
13,film,emerged,success,emerge,film success,27
14,film,emerged,success,emerge,film success,27
15,film,emerged,success,emerge,film success,27
16,film,emerged,success,emerge,film success,27
17,film,emerged,success,emerge,film success,27
18,film,emerged,success,emerge,film success,27
19,film,emerged,success,emerge,film success,27
20,film,emerged,success,emerge,film success,27
21,film,emerged,success,emerge,film success,27
22,film,emerged,success,emerge,film success,27
23,film,emerged,success,emerge,film success,27
24,film,emerged,success,emerge,film success,27
25,film,emerged,success,emerge,film success,27
26,film,emerged,success,emerge,film success,27
27,winner,emerges,flip,emerge,winner flip,13
28,winner,emerges,flip,emerge,winner flip,13
29,winner,emerges,flip,emerge,winner flip,13
30,winner,emerges,flip,emerge,winner flip,13
31,winner,emerges,flip,emerge,winner flip,13
32,winner,emerges,flip,emerge,winner flip,13
33,winner,emerges,flip,emerge,winner flip,13
34,winner,emerges,flip,emerge,winner flip,13
35,winner,emerges,flip,emerge,winner flip,13
36,winner,emerges,flip,emerge,winner flip,13
37,winner,emerges,flip,emerge,winner flip,13
38,winner,emerges,flip,emerge,winner flip,13
39,winner,emerges,flip,emerge,winner flip,13
40,hyphae,emerge,parallel,emerge,hyphae parallel,9
41,hyphae,emerge,parallel,emerge,hyphae parallel,9
42,hyphae,emerge,parallel,emerge,hyphae parallel,9
43,hyphae,emerge,parallel,emerge,hyphae parallel,9
44,hyphae,emerge,parallel,emerge,hyphae parallel,9
45,hyphae,emerge,parallel,emerge,hyphae parallel,9
46,hyphae,emerge,parallel,emerge,hyphae parallel,9
47,hyphae,emerge,parallel,emerge,hyphae parallel,9
48,hyphae,emerge,parallel,emerge,hyphae parallel,9
49,team,emerge,winners,emerge,team winners,6
50,team,emerged,winners,emerge,team winners,6
51,team,emerge,winners,emerge,team winners,6
52,team,emerge,winners,emerge,team winners,6
53,team,emerge,winners,emerge,team winners,6
54,team,emerge,winners,emerge,team winners,6
55,film,emerged,reviews,emerge,film reviews,5
56,storm,emerged,landfall,emerge,storm landfall,5
57,film,emerged,reviews,emerge,film reviews,5
58,style,emerged,style,emerge,style style,5
59,storm,emerged,landfall,emerge,storm landfall,5
60,film,emerged,reviews,emerge,film reviews,5
61,storm,emerged,landfall,emerge,storm landfall,5
62,film,emerged,reviews,emerge,film reviews,5
63,style,emerged,style,emerge,style style,5
64,storm,emerged,landfall,emerge,storm landfall,5
65,style,emerged,style,emerge,style style,5
66,style,emerged,style,emerge,style style,5
67,style,emerged,style,emerge,style style,5
68,storm,emerged,landfall,emerge,storm landfall,5
69,film,emerged,reviews,emerge,film reviews,5
70,team,emerged,champions,emerge,team champions,4
71,team,emerged,champions,emerge,team champions,4
72,team,emerged,champions,emerge,team champions,4
73,team,emerged,champions,emerge,team champions,4
74,consensus,emerged,meeting,emerge,consensus meeting,3
75,army,emerged,force,emerge,army force,3
76,club,emerged,champions,emerge,club champions,3
77,legend,emerged,crusader,emerge,legend crusader,3
78,army,emerged,force,emerge,army force,3
79,legend,emerged,crusader,emerge,legend crusader,3
80,company,emerged,name,emerge,company name,3
81,school,emerged,top,emerge,school top,3
82,school,emerged,top,emerge,school top,3
83,school,emerged,top,emerge,school top,3
84,adults,emerge,place,emerge,adults place,3
85,adults,emerge,spring,emerge,adults spring,3
86,company,emerged,name,emerge,company name,3
87,club,emerged,champions,emerge,club champions,3
88,guerrillas,emerged,campaign,emerge,guerrillas campaign,3
89,guerrillas,emerged,campaign,emerge,guerrillas campaign,3
90,film,emerged,failure,emerge,film failure,3
91,rivalry,emerged,thanks,emerge,rivalry thanks,3
92,adults,emerge,place,emerge,adults place,3
93,guerrillas,emerged,campaign,emerge,guerrillas campaign,3
94,film,emerged,failure,emerge,film failure,3
95,details,emerged,poster,emerge,details poster,3
96,legend,emerged,crusader,emerge,legend crusader,3
97,company,emerged,name,emerge,company name,3
98,virus,emerging,host,emerge,virus host,3
99,consensus,emerged,meeting,emerge,consensus meeting,3
100,adults,emerge,place,emerge,adults place,3
101,details,emerged,poster,emerge,details poster,3
102,details,emerged,poster,emerge,details poster,3
103,consensus,emerged,meeting,emerge,consensus meeting,3
104,club,emerged,champions,emerge,club champions,3
105,film,emerged,failure,emerge,film failure,3
106,adults,emerge,spring,emerge,adults spring,3
107,rivalry,emerged,thanks,emerge,rivalry thanks,3
108,army,emerged,force,emerge,army force,3
109,virus,emerging,host,emerge,virus host,3
110,virus,emerging,host,emerge,virus host,3
111,adults,emerge,spring,emerge,adults spring,3
112,rivalry,emerged,thanks,emerge,rivalry thanks,3
113,hypocotyl,emerges,colour,emerge,hypocotyl colour,2
