,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,teams,enter,competition,enter,teams competition,431
1,teams,entered,competition,enter,teams competition,431
2,teams,entered,competition,enter,teams competition,431
3,teams,entered,competition,enter,teams competition,431
4,teams,entered,competition,enter,teams competition,431
5,teams,entered,competition,enter,teams competition,431
6,teams,entered,competition,enter,teams competition,431
7,teams,entered,competition,enter,teams competition,431
8,teams,entered,competition,enter,teams competition,431
9,teams,enter,competition,enter,teams competition,431
10,teams,entered,competition,enter,teams competition,431
11,teams,entered,competition,enter,teams competition,431
12,teams,entered,competition,enter,teams competition,431
13,teams,entered,competition,enter,teams competition,431
14,teams,entered,competition,enter,teams competition,431
15,teams,entered,competition,enter,teams competition,431
16,teams,entered,competition,enter,teams competition,431
17,teams,entered,competition,enter,teams competition,431
18,teams,entered,competition,enter,teams competition,431
19,teams,entered,competition,enter,teams competition,431
20,teams,entered,competition,enter,teams competition,431
21,teams,entered,competition,enter,teams competition,431
22,teams,entered,competition,enter,teams competition,431
23,teams,entered,competition,enter,teams competition,431
24,teams,entered,competition,enter,teams competition,431
25,teams,entered,competition,enter,teams competition,431
26,teams,entered,competition,enter,teams competition,431
27,teams,entered,competition,enter,teams competition,431
28,teams,entered,competition,enter,teams competition,431
29,teams,entered,competition,enter,teams competition,431
30,teams,entered,competition,enter,teams competition,431
31,teams,entered,competition,enter,teams competition,431
32,teams,entered,competition,enter,teams competition,431
33,teams,entered,competition,enter,teams competition,431
34,teams,entered,competition,enter,teams competition,431
35,teams,entered,competition,enter,teams competition,431
36,teams,entered,competition,enter,teams competition,431
37,teams,entered,competition,enter,teams competition,431
38,teams,entered,competition,enter,teams competition,431
39,teams,entered,competition,enter,teams competition,431
40,teams,entered,competition,enter,teams competition,431
41,teams,entered,competition,enter,teams competition,431
42,teams,entered,competition,enter,teams competition,431
43,teams,entered,competition,enter,teams competition,431
44,teams,entered,competition,enter,teams competition,431
45,teams,enter,competition,enter,teams competition,431
46,teams,enter,competition,enter,teams competition,431
47,teams,entered,competition,enter,teams competition,431
48,teams,enter,competition,enter,teams competition,431
49,teams,entered,competition,enter,teams competition,431
50,teams,entered,competition,enter,teams competition,431
51,teams,entered,competition,enter,teams competition,431
52,teams,entered,competition,enter,teams competition,431
53,teams,entered,competition,enter,teams competition,431
54,teams,entered,competition,enter,teams competition,431
55,teams,entered,competition,enter,teams competition,431
56,teams,entered,competition,enter,teams competition,431
57,teams,entered,competition,enter,teams competition,431
58,teams,entered,competition,enter,teams competition,431
59,teams,entered,competition,enter,teams competition,431
60,teams,entered,competition,enter,teams competition,431
61,teams,entered,competition,enter,teams competition,431
62,teams,entered,competition,enter,teams competition,431
63,teams,entered,competition,enter,teams competition,431
64,teams,entered,competition,enter,teams competition,431
65,teams,entered,competition,enter,teams competition,431
66,teams,entered,competition,enter,teams competition,431
67,teams,enter,competition,enter,teams competition,431
68,teams,entered,competition,enter,teams competition,431
69,teams,entered,competition,enter,teams competition,431
70,teams,enter,competition,enter,teams competition,431
71,teams,entered,competition,enter,teams competition,431
72,teams,entered,competition,enter,teams competition,431
73,teams,entered,competition,enter,teams competition,431
74,teams,entered,competition,enter,teams competition,431
75,teams,entered,competition,enter,teams competition,431
76,teams,entered,competition,enter,teams competition,431
77,teams,entering,competition,enter,teams competition,431
78,teams,entered,competition,enter,teams competition,431
79,teams,enter,competition,enter,teams competition,431
80,teams,entering,competition,enter,teams competition,431
81,teams,entered,competition,enter,teams competition,431
82,teams,entered,competition,enter,teams competition,431
83,teams,entered,competition,enter,teams competition,431
84,teams,entered,competition,enter,teams competition,431
85,teams,entered,competition,enter,teams competition,431
86,teams,entered,competition,enter,teams competition,431
87,teams,entered,competition,enter,teams competition,431
88,teams,entered,competition,enter,teams competition,431
89,teams,entered,competition,enter,teams competition,431
90,teams,entered,competition,enter,teams competition,431
91,teams,entered,competition,enter,teams competition,431
92,teams,entered,competition,enter,teams competition,431
93,teams,entered,competition,enter,teams competition,431
94,teams,entered,competition,enter,teams competition,431
95,teams,entered,competition,enter,teams competition,431
96,teams,entered,competition,enter,teams competition,431
97,teams,enter,competition,enter,teams competition,431
98,teams,entered,competition,enter,teams competition,431
99,teams,entered,competition,enter,teams competition,431
100,teams,entered,competition,enter,teams competition,431
101,teams,entered,competition,enter,teams competition,431
102,teams,entered,competition,enter,teams competition,431
103,teams,enter,competition,enter,teams competition,431
104,teams,entered,competition,enter,teams competition,431
105,teams,entered,competition,enter,teams competition,431
106,teams,enter,competition,enter,teams competition,431
107,teams,enter,competition,enter,teams competition,431
108,teams,entered,competition,enter,teams competition,431
109,teams,entered,competition,enter,teams competition,431
110,teams,enter,competition,enter,teams competition,431
111,teams,entered,competition,enter,teams competition,431
112,teams,entered,competition,enter,teams competition,431
113,teams,enter,competition,enter,teams competition,431
114,teams,enter,competition,enter,teams competition,431
115,teams,enter,competition,enter,teams competition,431
116,teams,entered,competition,enter,teams competition,431
117,teams,enter,competition,enter,teams competition,431
118,teams,enter,competition,enter,teams competition,431
119,teams,entered,competition,enter,teams competition,431
120,teams,enter,competition,enter,teams competition,431
121,teams,entered,competition,enter,teams competition,431
122,teams,entered,competition,enter,teams competition,431
123,teams,entered,competition,enter,teams competition,431
124,teams,entered,competition,enter,teams competition,431
125,teams,enter,competition,enter,teams competition,431
126,teams,enter,competition,enter,teams competition,431
127,teams,enter,competition,enter,teams competition,431
128,teams,enter,competition,enter,teams competition,431
129,teams,entered,competition,enter,teams competition,431
130,teams,enter,competition,enter,teams competition,431
131,teams,enter,competition,enter,teams competition,431
132,teams,entered,competition,enter,teams competition,431
133,teams,entered,competition,enter,teams competition,431
134,teams,entered,competition,enter,teams competition,431
135,teams,enter,competition,enter,teams competition,431
136,teams,entered,competition,enter,teams competition,431
137,teams,enter,competition,enter,teams competition,431
138,teams,enter,competition,enter,teams competition,431
139,teams,entered,competition,enter,teams competition,431
140,teams,enter,competition,enter,teams competition,431
141,teams,entered,competition,enter,teams competition,431
