,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,highway,exits,city,exit,highway city,20
1,highway,exits,city,exit,highway city,20
2,highway,exits,city,exit,highway city,20
3,highway,exits,city,exit,highway city,20
4,highway,exits,city,exit,highway city,20
5,highway,exits,city,exit,highway city,20
6,highway,exits,city,exit,highway city,20
7,highway,exits,city,exit,highway city,20
8,highway,exits,city,exit,highway city,20
9,highway,exits,city,exit,highway city,20
10,highway,exits,city,exit,highway city,20
11,highway,exits,city,exit,highway city,20
12,highway,exits,city,exit,highway city,20
13,highway,exits,city,exit,highway city,20
14,highway,exits,city,exit,highway city,20
15,highway,exits,city,exit,highway city,20
16,highway,exits,city,exit,highway city,20
17,highway,exits,city,exit,highway city,20
18,highway,exits,city,exit,highway city,20
19,highway,exits,city,exit,highway city,20
20,river,exits,lake,exit,river lake,19
21,river,exited,lake,exit,river lake,19
22,river,exits,lake,exit,river lake,19
23,river,exits,lake,exit,river lake,19
24,river,exits,lake,exit,river lake,19
25,river,exits,lake,exit,river lake,19
26,river,exits,lake,exit,river lake,19
27,river,exits,lake,exit,river lake,19
28,river,exits,lake,exit,river lake,19
29,river,exits,lake,exit,river lake,19
30,river,exits,lake,exit,river lake,19
31,river,exits,lake,exit,river lake,19
32,river,exits,lake,exit,river lake,19
33,river,exits,lake,exit,river lake,19
34,river,exits,lake,exit,river lake,19
35,river,exits,lake,exit,river lake,19
36,river,exits,lake,exit,river lake,19
37,river,exits,lake,exit,river lake,19
38,river,exits,lake,exit,river lake,19
39,wave,exited,coast,exit,wave coast,18
40,wave,exited,coast,exit,wave coast,18
41,wave,exited,coast,exit,wave coast,18
42,wave,exited,coast,exit,wave coast,18
43,wave,exited,coast,exit,wave coast,18
44,wave,exited,coast,exit,wave coast,18
45,wave,exited,coast,exit,wave coast,18
46,wave,exited,coast,exit,wave coast,18
47,wave,exited,coast,exit,wave coast,18
48,wave,exited,coast,exit,wave coast,18
49,wave,exited,coast,exit,wave coast,18
50,wave,exited,coast,exit,wave coast,18
51,wave,exited,coast,exit,wave coast,18
52,wave,exited,coast,exit,wave coast,18
53,wave,exited,coast,exit,wave coast,18
54,wave,exited,coast,exit,wave coast,18
55,wave,exited,coast,exit,wave coast,18
56,wave,exited,coast,exit,wave coast,18
57,losers,exit,championship,exit,losers championship,16
58,losers,exit,championship,exit,losers championship,16
59,losers,exit,championship,exit,losers championship,16
60,losers,exit,championship,exit,losers championship,16
61,losers,exit,championship,exit,losers championship,16
62,losers,exit,championship,exit,losers championship,16
63,losers,exit,championship,exit,losers championship,16
64,losers,exit,championship,exit,losers championship,16
65,losers,exit,championship,exit,losers championship,16
66,losers,exit,championship,exit,losers championship,16
67,losers,exit,championship,exit,losers championship,16
68,losers,exit,championship,exit,losers championship,16
69,losers,exit,championship,exit,losers championship,16
70,losers,exit,championship,exit,losers championship,16
71,losers,exit,championship,exit,losers championship,16
72,losers,exit,championship,exit,losers championship,16
73,club,exited,administration,exit,club administration,12
74,train,exited,station,exit,train station,12
75,club,exited,administration,exit,club administration,12
76,train,exits,station,exit,train station,12
77,club,exited,administration,exit,club administration,12
78,train,exits,station,exit,train station,12
79,train,exited,station,exit,train station,12
80,train,exits,station,exit,train station,12
81,train,exits,station,exit,train station,12
82,club,exited,administration,exit,club administration,12
83,train,exits,station,exit,train station,12
84,train,exits,station,exit,train station,12
85,train,exits,station,exit,train station,12
86,train,exits,station,exit,train station,12
87,train,exits,station,exit,train station,12
88,club,exited,administration,exit,club administration,12
89,club,exited,administration,exit,club administration,12
90,club,exited,administration,exit,club administration,12
91,club,exited,administration,exit,club administration,12
92,club,exited,administration,exit,club administration,12
93,club,exited,administration,exit,club administration,12
94,club,exited,administration,exit,club administration,12
95,train,exits,station,exit,train station,12
96,club,exited,administration,exit,club administration,12
97,train,exits,tunnel,exit,train tunnel,10
98,train,exits,tunnel,exit,train tunnel,10
99,train,exits,tunnel,exit,train tunnel,10
100,train,exits,tunnel,exit,train tunnel,10
101,train,exits,tunnel,exit,train tunnel,10
102,train,exits,tunnel,exit,train tunnel,10
103,train,exits,tunnel,exit,train tunnel,10
104,train,exits,tunnel,exit,train tunnel,10
105,train,exits,tunnel,exit,train tunnel,10
106,train,exits,tunnel,exit,train tunnel,10
107,team,exited,competition,exit,team competition,9
108,driver,exits,car,exit,driver car,9
109,team,exit,competition,exit,team competition,9
110,team,exited,competition,exit,team competition,9
111,driver,exited,car,exit,driver car,9
112,highway,exits,town,exit,highway town,9
113,driver,exits,car,exit,driver car,9
114,highway,exits,town,exit,highway town,9
115,team,exited,competition,exit,team competition,9
116,highway,exited,town,exit,highway town,9
117,driver,exits,car,exit,driver car,9
118,driver,exited,car,exit,driver car,9
119,band,exits,field,exit,band field,9
120,band,exits,field,exit,band field,9
121,highway,exits,town,exit,highway town,9
122,highway,exits,town,exit,highway town,9
123,driver,exit,car,exit,driver car,9
124,band,exits,field,exit,band field,9
125,team,exited,competition,exit,team competition,9
126,team,exited,competition,exit,team competition,9
127,team,exited,competition,exit,team competition,9
128,highway,exits,town,exit,highway town,9
129,driver,exited,car,exit,driver car,9
130,team,exited,competition,exit,team competition,9
131,driver,exited,car,exit,driver car,9
132,band,exits,field,exit,band field,9
133,highway,exits,town,exit,highway town,9
134,band,exits,field,exit,band field,9
135,driver,exited,car,exit,driver car,9
136,team,exited,competition,exit,team competition,9
137,highway,exits,town,exit,highway town,9
138,band,exits,field,exit,band field,9
139,band,exits,field,exit,band field,9
140,band,exits,field,exit,band field,9
141,highway,exits,town,exit,highway town,9
142,band,exits,field,exit,band field,9
143,company,exited,bankruptcy,exit,company bankruptcy,8
144,company,exited,bankruptcy,exit,company bankruptcy,8
145,company,exited,bankruptcy,exit,company bankruptcy,8
146,company,exited,bankruptcy,exit,company bankruptcy,8
147,company,exited,bankruptcy,exit,company bankruptcy,8
148,highway,exits,state,exit,highway state,8
149,highway,exits,state,exit,highway state,8
150,highway,exits,state,exit,highway state,8
151,company,exited,bankruptcy,exit,company bankruptcy,8
152,company,exited,bankruptcy,exit,company bankruptcy,8
153,highway,exits,state,exit,highway state,8
154,company,exited,bankruptcy,exit,company bankruptcy,8
155,highway,exits,state,exit,highway state,8
156,highway,exits,state,exit,highway state,8
157,highway,exits,state,exit,highway state,8
158,highway,exits,state,exit,highway state,8
159,tornado,exited,town,exit,tornado town,7
160,tornado,exited,town,exit,tornado town,7
161,tornado,exited,town,exit,tornado town,7
162,driver,exited,vehicle,exit,driver vehicle,7
163,river,exits,park,exit,river park,7
164,teams,exit,championship,exit,teams championship,7
165,side,exited,championship,exit,side championship,7
166,tornado,exited,town,exit,tornado town,7
167,river,exits,park,exit,river park,7
168,bullet,exited,back,exit,bullet back,7
169,song,exited,chart,exit,song chart,7
170,song,exited,chart,exit,song chart,7
171,team,exited,tournament,exit,team tournament,7
172,bullet,exits,barrel,exit,bullet barrel,7
173,team,exited,tournament,exit,team tournament,7
174,side,exited,championship,exit,side championship,7
175,river,exits,park,exit,river park,7
176,club,exited,competition,exit,club competition,7
177,club,exited,competition,exit,club competition,7
178,side,exited,championship,exit,side championship,7
179,bullet,exited,back,exit,bullet back,7
180,teams,exit,championship,exit,teams championship,7
181,river,exits,park,exit,river park,7
182,club,exited,competition,exit,club competition,7
183,side,exited,championship,exit,side championship,7
184,driver,exited,vehicle,exit,driver vehicle,7
185,bullet,exits,barrel,exit,bullet barrel,7
186,team,exited,tournament,exit,team tournament,7
187,team,exited,tournament,exit,team tournament,7
188,driver,exits,vehicle,exit,driver vehicle,7
189,driver,exited,vehicle,exit,driver vehicle,7
190,river,exits,park,exit,river park,7
191,tornado,exited,town,exit,tornado town,7
192,driver,exited,vehicle,exit,driver vehicle,7
193,club,exited,competition,exit,club competition,7
194,bullet,exiting,back,exit,bullet back,7
195,bullet,exited,back,exit,bullet back,7
196,bullet,exited,back,exit,bullet back,7
197,team,exited,tournament,exit,team tournament,7
198,driver,exits,vehicle,exit,driver vehicle,7
199,teams,exit,championship,exit,teams championship,7
200,river,exits,park,exit,river park,7
201,river,exits,park,exit,river park,7
202,team,exited,tournament,exit,team tournament,7
203,tornado,exited,town,exit,tornado town,7
204,club,exited,competition,exit,club competition,7
205,teams,exit,championship,exit,teams championship,7
206,teams,exit,championship,exit,teams championship,7
207,song,exited,chart,exit,song chart,7
208,club,exited,competition,exit,club competition,7
209,teams,exit,championship,exit,teams championship,7
210,bullet,exited,back,exit,bullet back,7
211,side,exited,championship,exit,side championship,7
212,bullet,exited,back,exit,bullet back,7
213,bullet,exits,barrel,exit,bullet barrel,7
214,side,exited,championship,exit,side championship,7
215,song,exited,chart,exit,song chart,7
216,bullet,exits,barrel,exit,bullet barrel,7
217,bullet,exits,barrel,exit,bullet barrel,7
218,teams,exit,championship,exit,teams championship,7
219,bullet,exits,barrel,exit,bullet barrel,7
220,tornado,exited,town,exit,tornado town,7
221,song,exited,chart,exit,song chart,7
222,team,exited,tournament,exit,team tournament,7
223,club,exited,competition,exit,club competition,7
224,driver,exited,vehicle,exit,driver vehicle,7
225,bullet,exits,barrel,exit,bullet barrel,7
226,side,exited,championship,exit,side championship,7
227,song,exited,chart,exit,song chart,7
228,song,exited,chart,exit,song chart,7
229,line,exited,tunnel,exit,line tunnel,6
230,line,exits,tunnel,exit,line tunnel,6
231,line,exits,tunnel,exit,line tunnel,6
232,aircraft,exited,runway,exit,aircraft runway,6
233,aircraft,exited,runway,exit,aircraft runway,6
234,aircraft,exited,runway,exit,aircraft runway,6
235,aircraft,exited,runway,exit,aircraft runway,6
236,aircraft,exited,runway,exit,aircraft runway,6
237,line,exits,tunnel,exit,line tunnel,6
238,line,exits,tunnel,exit,line tunnel,6
239,line,exits,tunnel,exit,line tunnel,6
240,aircraft,exited,runway,exit,aircraft runway,6
241,riders,exited,ride,exit,riders ride,5
242,road,exits,town,exit,road town,5
243,projectile,exits,barrel,exit,projectile barrel,5
244,road,exits,town,exit,road town,5
245,team,exited,championship,exit,team championship,5
246,riders,exit,ride,exit,riders ride,5
247,passengers,exited,train,exit,passengers train,5
248,men,exit,car,exit,men car,5
249,men,exiting,car,exit,men car,5
250,road,exits,town,exit,road town,5
251,player,exits,level,exit,player level,5
252,player,exits,level,exit,player level,5
253,projectile,exits,barrel,exit,projectile barrel,5
254,player,exits,level,exit,player level,5
255,road,exits,town,exit,road town,5
256,passengers,exit,train,exit,passengers train,5
257,riders,exit,ride,exit,riders ride,5
258,projectile,exits,barrel,exit,projectile barrel,5
259,team,exited,championship,exit,team championship,5
260,passengers,exit,train,exit,passengers train,5
261,player,exit,level,exit,player level,5
262,riders,exit,ride,exit,riders ride,5
263,team,exited,championship,exit,team championship,5
264,men,exited,car,exit,men car,5
265,player,exit,level,exit,player level,5
266,projectile,exits,barrel,exit,projectile barrel,5
267,passengers,exit,train,exit,passengers train,5
268,passengers,exit,train,exit,passengers train,5
269,riders,exit,ride,exit,riders ride,5
270,projectile,exits,barrel,exit,projectile barrel,5
271,road,exits,town,exit,road town,5
272,men,exiting,car,exit,men car,5
273,team,exits,championship,exit,team championship,5
274,team,exited,championship,exit,team championship,5
275,men,exited,car,exit,men car,5
276,trains,exiting,station,exit,trains station,4
277,pollinators,exit,flower,exit,pollinators flower,4
278,straw,exits,machine,exit,straw machine,4
279,man,exited,car,exit,man car,4
280,straw,exits,machine,exit,straw machine,4
281,creek,exits,lake,exit,creek lake,4
282,officers,exited,vehicle,exit,officers vehicle,4
283,pollinators,exit,flower,exit,pollinators flower,4
284,guests,exited,ride,exit,guests ride,4
285,officers,exited,vehicle,exit,officers vehicle,4
286,highway,exits,forest,exit,highway forest,4
287,guests,exited,ride,exit,guests ride,4
288,pollinators,exit,flower,exit,pollinators flower,4
289,passengers,exit,car,exit,passengers car,4
290,trains,exit,station,exit,trains station,4
291,band,exited,stage,exit,band stage,4
292,players,exit,field,exit,players field,4
293,man,exited,car,exit,man car,4
294,officers,exited,vehicle,exit,officers vehicle,4
295,firms,exit,market,exit,firms market,4
296,man,exited,vehicle,exit,man vehicle,4
297,passengers,exit,plane,exit,passengers plane,4
298,cars,exit,pits,exit,cars pits,4
299,passengers,exited,car,exit,passengers car,4
300,man,exits,car,exit,man car,4
301,highway,exits,forest,exit,highway forest,4
302,passengers,exit,plane,exit,passengers plane,4
303,guests,exit,ride,exit,guests ride,4
304,trains,exited,station,exit,trains station,4
305,man,exited,vehicle,exit,man vehicle,4
306,highway,exits,forest,exit,highway forest,4
307,straw,exits,machine,exit,straw machine,4
308,creek,exits,lake,exit,creek lake,4
309,players,exited,field,exit,players field,4
310,water,exits,lake,exit,water lake,4
311,cars,exited,pits,exit,cars pits,4
312,passengers,exited,car,exit,passengers car,4
313,straw,exits,machine,exit,straw machine,4
314,band,exits,stage,exit,band stage,4
315,passengers,exit,plane,exit,passengers plane,4
316,cars,exited,pits,exit,cars pits,4
317,one,exited,westwards,exit,one westwards,4
318,creek,exits,lake,exit,creek lake,4
319,one,exited,westwards,exit,one westwards,4
320,one,exited,westwards,exit,one westwards,4
321,guests,exit,ride,exit,guests ride,4
322,highway,exits,forest,exit,highway forest,4
323,one,exited,westwards,exit,one westwards,4
324,passengers,exiting,plane,exit,passengers plane,4
325,water,exits,lake,exit,water lake,4
326,man,exits,car,exit,man car,4
327,creek,exits,lake,exit,creek lake,4
328,firms,exited,market,exit,firms market,4
329,water,exits,lake,exit,water lake,4
330,water,exits,lake,exit,water lake,4
331,pollinators,exit,flower,exit,pollinators flower,4
332,players,exit,field,exit,players field,4
333,players,exit,field,exit,players field,4
334,officers,exited,vehicle,exit,officers vehicle,4
335,man,exited,vehicle,exit,man vehicle,4
336,firms,exited,market,exit,firms market,4
337,cars,exit,pits,exit,cars pits,4
338,firms,exit,market,exit,firms market,4
339,man,exits,vehicle,exit,man vehicle,4
