,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,shooter,fired,shots,fire,shooter shots,121
1,shooter,fires,shots,fire,shooter shots,121
2,shooter,fired,shots,fire,shooter shots,121
3,shooter,fires,shots,fire,shooter shots,121
4,shooter,fires,shots,fire,shooter shots,121
5,shooter,fired,shots,fire,shooter shots,121
6,shooter,fired,shots,fire,shooter shots,121
7,shooter,fired,shots,fire,shooter shots,121
8,shooter,fired,shots,fire,shooter shots,121
9,shooter,fired,shots,fire,shooter shots,121
10,shooter,fired,shots,fire,shooter shots,121
11,shooter,fired,shots,fire,shooter shots,121
12,shooter,fired,shots,fire,shooter shots,121
13,shooter,fired,shots,fire,shooter shots,121
14,shooter,fired,shots,fire,shooter shots,121
15,shooter,fired,shots,fire,shooter shots,121
16,shooter,fired,shots,fire,shooter shots,121
17,shooter,fired,shots,fire,shooter shots,121
18,shooter,fired,shots,fire,shooter shots,121
19,shooter,fired,shots,fire,shooter shots,121
20,shooter,fired,shots,fire,shooter shots,121
21,shooter,fired,shots,fire,shooter shots,121
22,shooter,fired,shots,fire,shooter shots,121
23,shooter,fired,shots,fire,shooter shots,121
24,shooter,fired,shots,fire,shooter shots,121
25,shooter,fired,shots,fire,shooter shots,121
26,shooter,fired,shots,fire,shooter shots,121
27,shooter,fired,shots,fire,shooter shots,121
28,shooter,fired,shots,fire,shooter shots,121
29,shooter,fired,shots,fire,shooter shots,121
30,shooter,fired,shots,fire,shooter shots,121
31,shooter,fired,shots,fire,shooter shots,121
32,shooter,fired,shots,fire,shooter shots,121
33,shooter,fired,shots,fire,shooter shots,121
34,shooter,fired,shots,fire,shooter shots,121
35,shooter,fired,shots,fire,shooter shots,121
36,shooter,fired,shots,fire,shooter shots,121
37,shooter,fired,shots,fire,shooter shots,121
38,shooter,fired,shots,fire,shooter shots,121
39,shooter,fired,shots,fire,shooter shots,121
40,shooter,fired,shots,fire,shooter shots,121
41,shooter,fired,shots,fire,shooter shots,121
42,shooter,firing,shots,fire,shooter shots,121
43,shooter,firing,shots,fire,shooter shots,121
44,shooter,fired,shots,fire,shooter shots,121
45,shooter,fired,shots,fire,shooter shots,121
46,shooter,firing,shots,fire,shooter shots,121
47,shooter,fired,shots,fire,shooter shots,121
48,shooter,firing,shots,fire,shooter shots,121
49,shooter,fired,shots,fire,shooter shots,121
50,shooter,fired,shots,fire,shooter shots,121
51,shooter,fired,shots,fire,shooter shots,121
52,shooter,fired,shots,fire,shooter shots,121
53,shooter,fired,shots,fire,shooter shots,121
54,shooter,fired,shots,fire,shooter shots,121
55,shooter,fired,shots,fire,shooter shots,121
56,shooter,fired,shots,fire,shooter shots,121
57,shooter,fired,shots,fire,shooter shots,121
58,shooter,fired,shots,fire,shooter shots,121
59,shooter,fired,shots,fire,shooter shots,121
60,shooter,fired,shots,fire,shooter shots,121
61,shooter,fired,shots,fire,shooter shots,121
62,shooter,fired,shots,fire,shooter shots,121
63,shooter,fired,shots,fire,shooter shots,121
64,shooter,fired,shots,fire,shooter shots,121
65,shooter,fired,shots,fire,shooter shots,121
66,shooter,fired,shots,fire,shooter shots,121
67,shooter,fired,shots,fire,shooter shots,121
68,shooter,fired,shots,fire,shooter shots,121
69,shooter,fired,shots,fire,shooter shots,121
70,shooter,fired,shots,fire,shooter shots,121
71,shooter,fired,shots,fire,shooter shots,121
72,shooter,fired,shots,fire,shooter shots,121
73,shooter,fired,shots,fire,shooter shots,121
74,shooter,fired,shots,fire,shooter shots,121
75,shooter,fired,shots,fire,shooter shots,121
76,shooter,fired,shots,fire,shooter shots,121
77,shooter,fired,shots,fire,shooter shots,121
78,shooter,fired,shots,fire,shooter shots,121
79,shooter,fired,shots,fire,shooter shots,121
80,shooter,fired,shots,fire,shooter shots,121
81,shooter,fired,shots,fire,shooter shots,121
82,shooter,fired,shots,fire,shooter shots,121
83,shooter,fired,shots,fire,shooter shots,121
84,shooter,fired,shots,fire,shooter shots,121
85,shooter,fired,shots,fire,shooter shots,121
86,shooter,fired,shots,fire,shooter shots,121
87,shooter,fired,shots,fire,shooter shots,121
