,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,station,flipped,formats,flip,station formats,34
1,station,flipped,formats,flip,station formats,34
2,station,flipped,formats,flip,station formats,34
3,station,flipped,formats,flip,station formats,34
4,station,flipped,formats,flip,station formats,34
5,station,flipped,formats,flip,station formats,34
6,station,flipped,formats,flip,station formats,34
7,station,flipped,formats,flip,station formats,34
8,station,flipped,formats,flip,station formats,34
9,station,flipped,formats,flip,station formats,34
10,station,flipped,formats,flip,station formats,34
11,station,flipped,formats,flip,station formats,34
12,station,flipped,formats,flip,station formats,34
13,station,flipped,formats,flip,station formats,34
14,station,flipped,formats,flip,station formats,34
15,station,flipped,formats,flip,station formats,34
16,station,flipped,formats,flip,station formats,34
17,station,flipped,formats,flip,station formats,34
18,station,flipped,formats,flip,station formats,34
19,station,flipped,formats,flip,station formats,34
20,station,flipped,formats,flip,station formats,34
21,station,flipped,formats,flip,station formats,34
22,station,flipped,formats,flip,station formats,34
23,station,flipped,formats,flip,station formats,34
24,station,flipped,formats,flip,station formats,34
25,station,flipped,formats,flip,station formats,34
26,station,flipped,formats,flip,station formats,34
27,station,flipped,formats,flip,station formats,34
28,station,flipped,formats,flip,station formats,34
29,station,flipped,formats,flip,station formats,34
30,station,flipped,formats,flip,station formats,34
31,station,flipped,formats,flip,station formats,34
32,station,flipped,formats,flip,station formats,34
33,station,flipped,formats,flip,station formats,34
34,station,flipped,format,flip,station format,16
35,station,flipped,format,flip,station format,16
36,station,flipped,format,flip,station format,16
37,station,flipped,format,flip,station format,16
38,station,flipped,format,flip,station format,16
39,station,flipped,format,flip,station format,16
40,station,flipped,format,flip,station format,16
41,station,flipped,format,flip,station format,16
42,station,flipped,format,flip,station format,16
43,station,flipped,format,flip,station format,16
44,station,flipped,format,flip,station format,16
45,station,flipped,format,flip,station format,16
46,station,fliped,format,flip,station format,16
47,station,fliped,format,flip,station format,16
48,station,flipped,format,flip,station format,16
49,station,flipped,format,flip,station format,16
50,car,flipped,times,flip,car times,12
51,car,flipped,times,flip,car times,12
52,car,flipped,times,flip,car times,12
53,car,flipped,times,flip,car times,12
54,car,flipped,times,flip,car times,12
55,car,flipped,times,flip,car times,12
56,car,flipped,times,flip,car times,12
57,car,flipped,times,flip,car times,12
