,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,female,flutter,wings,flutter,female wings,2
1,female,flutters,wings,flutter,female wings,2
2,males,flutter,pouches,flutter,males pouches,1
3,turntable,flutter,values,flutter,turntable values,1
4,bees,flutter,wings,flutter,bees wings,1
5,performers,flutter,tongue,flutter,performers tongue,1
6,wattlebird,flutters,wings,flutter,wattlebird wings,1
7,number,fluttered,most,flutter,number most,1
8,males,flutter,wings,flutter,males wings,1
9,male,flutter,wings,flutter,male wings,1
10,billions,flutter,millions,flutter,billions millions,1
11,birds,flutter,wings,flutter,birds wings,1
12,moth,flutters,wings,flutter,moth wings,1
13,papers,flutter,flights,flutter,papers flights,1
14,garden,fluttered,conditions,flutter,garden conditions,1
15,fingers,fluttered,movements,flutter,fingers movements,1
16,pennants,flutter,motion,flutter,pennants motion,1
17,heart,fluttered,words,flutter,heart words,1
18,none,fluttering,string,flutter,none string,1
19,arrival,flutter,hearts,flutter,arrival hearts,1
20,moths,fluttering,wings,flutter,moths wings,1
