,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,squadron,flew,missions,fly,squadron missions,165
1,squadron,flew,missions,fly,squadron missions,165
2,squadron,flew,missions,fly,squadron missions,165
3,squadron,flew,missions,fly,squadron missions,165
4,squadron,flew,missions,fly,squadron missions,165
5,squadron,flew,missions,fly,squadron missions,165
6,squadron,flew,missions,fly,squadron missions,165
7,squadron,flew,missions,fly,squadron missions,165
8,squadron,flew,missions,fly,squadron missions,165
9,squadron,flew,missions,fly,squadron missions,165
10,squadron,flew,missions,fly,squadron missions,165
11,squadron,flew,missions,fly,squadron missions,165
12,squadron,flew,missions,fly,squadron missions,165
13,squadron,flew,missions,fly,squadron missions,165
14,squadron,flew,missions,fly,squadron missions,165
15,squadron,flew,missions,fly,squadron missions,165
16,squadron,flew,missions,fly,squadron missions,165
17,squadron,flew,missions,fly,squadron missions,165
18,squadron,flew,missions,fly,squadron missions,165
19,squadron,flew,missions,fly,squadron missions,165
20,squadron,flew,missions,fly,squadron missions,165
21,squadron,flew,missions,fly,squadron missions,165
22,squadron,flew,missions,fly,squadron missions,165
23,squadron,flew,missions,fly,squadron missions,165
24,squadron,flew,missions,fly,squadron missions,165
25,squadron,flew,missions,fly,squadron missions,165
26,squadron,flew,missions,fly,squadron missions,165
27,squadron,flown,missions,fly,squadron missions,165
28,squadron,flew,missions,fly,squadron missions,165
29,squadron,flew,missions,fly,squadron missions,165
30,squadron,flew,missions,fly,squadron missions,165
31,squadron,flew,missions,fly,squadron missions,165
32,squadron,flew,missions,fly,squadron missions,165
33,squadron,flew,missions,fly,squadron missions,165
34,squadron,flew,missions,fly,squadron missions,165
35,squadron,flew,missions,fly,squadron missions,165
36,squadron,flew,missions,fly,squadron missions,165
37,squadron,flew,missions,fly,squadron missions,165
38,squadron,flew,missions,fly,squadron missions,165
39,squadron,flew,missions,fly,squadron missions,165
40,squadron,flew,missions,fly,squadron missions,165
41,squadron,flew,missions,fly,squadron missions,165
42,squadron,flew,missions,fly,squadron missions,165
43,squadron,flying,missions,fly,squadron missions,165
44,squadron,flew,missions,fly,squadron missions,165
45,squadron,flew,missions,fly,squadron missions,165
46,squadron,flew,missions,fly,squadron missions,165
47,squadron,flew,missions,fly,squadron missions,165
48,squadron,flying,missions,fly,squadron missions,165
49,squadron,flew,missions,fly,squadron missions,165
50,squadron,flew,missions,fly,squadron missions,165
51,squadron,flew,missions,fly,squadron missions,165
52,squadron,flew,missions,fly,squadron missions,165
53,squadron,flew,missions,fly,squadron missions,165
54,squadron,flew,missions,fly,squadron missions,165
55,squadron,flew,missions,fly,squadron missions,165
56,squadron,flew,missions,fly,squadron missions,165
57,squadron,flying,missions,fly,squadron missions,165
58,squadron,flew,missions,fly,squadron missions,165
59,squadron,flew,missions,fly,squadron missions,165
60,squadron,flew,missions,fly,squadron missions,165
61,squadron,flew,missions,fly,squadron missions,165
62,squadron,flew,missions,fly,squadron missions,165
63,squadron,flew,missions,fly,squadron missions,165
64,squadron,flew,missions,fly,squadron missions,165
65,squadron,flew,missions,fly,squadron missions,165
66,squadron,flew,missions,fly,squadron missions,165
67,squadron,flew,missions,fly,squadron missions,165
68,squadron,flew,missions,fly,squadron missions,165
69,squadron,flew,missions,fly,squadron missions,165
70,squadron,flew,missions,fly,squadron missions,165
71,squadron,flew,missions,fly,squadron missions,165
72,squadron,flew,missions,fly,squadron missions,165
73,squadron,flew,missions,fly,squadron missions,165
74,squadron,flew,missions,fly,squadron missions,165
75,squadron,flew,missions,fly,squadron missions,165
76,squadron,flies,missions,fly,squadron missions,165
77,squadron,flew,missions,fly,squadron missions,165
78,squadron,flew,missions,fly,squadron missions,165
79,squadron,flew,missions,fly,squadron missions,165
80,squadron,flew,missions,fly,squadron missions,165
81,squadron,flew,missions,fly,squadron missions,165
82,squadron,flew,missions,fly,squadron missions,165
83,squadron,flew,missions,fly,squadron missions,165
84,squadron,flew,missions,fly,squadron missions,165
85,squadron,flew,missions,fly,squadron missions,165
86,squadron,flew,missions,fly,squadron missions,165
87,squadron,flew,missions,fly,squadron missions,165
88,squadron,flew,missions,fly,squadron missions,165
89,squadron,flew,missions,fly,squadron missions,165
90,squadron,flew,missions,fly,squadron missions,165
91,squadron,flew,missions,fly,squadron missions,165
92,squadron,flew,missions,fly,squadron missions,165
93,squadron,flew,missions,fly,squadron missions,165
94,squadron,flew,missions,fly,squadron missions,165
95,squadron,flew,missions,fly,squadron missions,165
96,squadron,flew,missions,fly,squadron missions,165
97,squadron,flying,missions,fly,squadron missions,165
98,squadron,flew,missions,fly,squadron missions,165
99,squadron,flew,missions,fly,squadron missions,165
100,squadron,flew,missions,fly,squadron missions,165
101,squadron,flew,missions,fly,squadron missions,165
102,squadron,flew,missions,fly,squadron missions,165
