,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,egg,fried,rice,fry,egg rice,2
1,kimchi,fried,rice,fry,kimchi rice,2
2,egg,fried,rice,fry,egg rice,2
3,cooking,fried,raw,fry,cooking raw,2
4,cooking,fried,raw,fry,cooking raw,2
5,kimchi,fried,rice,fry,kimchi rice,2
6,eggs,fried,plantains,fry,eggs plantains,1
7,eggs,frying,pan,fry,eggs pan,1
8,signature,fried,tomatoes,fry,signature tomatoes,1
9,study,fried,broccoli,fry,study broccoli,1
10,sausages,fried,consumer,fry,sausages consumer,1
11,mussels,fried,cold,fry,mussels cold,1
12,vegetables,fried,basis,fry,vegetables basis,1
13,cheesecakes,frying,fritters,fry,cheesecakes fritters,1
14,cracks,fries,contents,fry,cracks contents,1
15,chef,fries,meat,fry,chef meat,1
16,tea,fried,coconut,fry,tea coconut,1
17,mantle,fries,gowns,fry,mantle gowns,1
18,varieties,fried,rice,fry,varieties rice,1
19,rice,fried,chicken,fry,rice chicken,1
20,factor,fried,chicken,fry,factor chicken,1
21,one,frying,hamburgers,fry,one hamburgers,1
22,men,fried,beasts,fry,men beasts,1
23,compartments,fried,coconut,fry,compartments coconut,1
24,bycatch,fried,strips,fry,bycatch strips,1
25,chicken,fried,appeal,fry,chicken appeal,1
26,signature,fried,chicken,fry,signature chicken,1
27,amounts,fried,brain,fry,amounts brain,1
28,dish,frying,pieces,fry,dish pieces,1
29,rice,fried,type,fry,rice type,1
30,witch,fried,brain,fry,witch brain,1
31,flæsk,fried,strips,fry,flæsk strips,1
32,residents,fry,slices,fry,residents slices,1
33,farmers,fried,blood,fry,farmers blood,1
34,operator,fries,switchboard,fry,operator switchboard,1
35,chefs,fry,kebabs,fry,chefs kebabs,1
36,dixie,fried,rave,fry,dixie rave,1
37,two,fried,part,fry,two part,1
38,stir,fried,version,fry,stir version,1
39,lipids,fry,dough,fry,lipids dough,1
40,customers,fry,kushi,fry,customers kushi,1
41,atmosphere,fries,ship,fry,atmosphere ship,1
42,variation,frying,roll,fry,variation roll,1
43,stone,fries,brain,fry,stone brain,1
44,pan,fried,specimens,fry,pan specimens,1
45,shockwave,fried,everyone,fry,shockwave everyone,1
