,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,brains,gushed,saddle,gush,brains saddle,2
1,brains,gushed,saddle,gush,brains saddle,2
2,wells,gushed,water,gush,wells water,2
3,wells,gushed,water,gush,wells water,2
4,intestines,gushed,field,gush,intestines field,1
5,oil,gushed,finger,gush,oil finger,1
6,show,gushes,stream,gush,show stream,1
7,tonnes,gush,second,gush,tonnes second,1
8,spring,gushes,aqueduct,gush,spring aqueduct,1
9,water,gushes,door,gush,water door,1
10,water,gushed,arrow,gush,water arrow,1
11,springs,gush,town,gush,springs town,1
12,spring,gushed,well,gush,spring well,1
13,breasts,gushes,air,gush,breasts air,1
14,friend,gushed,blood,gush,friend blood,1
15,eyelids,gush,wailing,gush,eyelids wailing,1
16,blood,gushed,shotgun,gush,blood shotgun,1
17,manager,gushes,gun,gush,manager gun,1
18,spring,gushed,stone,gush,spring stone,1
19,bottle,gushed,streams,gush,bottle streams,1
20,bowels,gush,roots,gush,bowels roots,1
21,trajectory,gushes,clairvoyants,gush,trajectory clairvoyants,1
22,arm,gushes,blood,gush,arm blood,1
23,metres,gushes,baths,gush,metres baths,1
24,blood,gushing,neck,gush,blood neck,1
25,waves,gush,opening,gush,waves opening,1
26,fountain,gushed,water,gush,fountain water,1
27,blood,gushed,crucifix,gush,blood crucifix,1
28,spills,gushing,oil,gush,spills oil,1
29,stream,gushes,fly,gush,stream fly,1
30,water,gushes,whitish,gush,water whitish,1
31,spring,gushes,mass,gush,spring mass,1
32,relics,gushed,myrrh,gush,relics myrrh,1
33,bird,gushes,blood,gush,bird blood,1
34,wounds,gush,liquid,gush,wounds liquid,1
35,oil,gushed,fire,gush,oil fire,1
36,water,gushes,distance,gush,water distance,1
37,water,gushed,links,gush,water links,1
38,body,gushed,blood,gush,body blood,1
39,water,gushed,soil,gush,water soil,1
40,bowels,gushed,lance,gush,bowels lance,1
