,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,court,handed,decision,hand,court decision,15
1,court,handed,decision,hand,court decision,15
2,court,handed,decision,hand,court decision,15
3,court,handed,decision,hand,court decision,15
4,court,handed,decision,hand,court decision,15
5,court,handed,decision,hand,court decision,15
6,court,handed,decision,hand,court decision,15
7,court,handed,decision,hand,court decision,15
8,court,handed,decision,hand,court decision,15
9,court,handed,decision,hand,court decision,15
10,court,handed,decision,hand,court decision,15
11,court,handed,decision,hand,court decision,15
12,court,handed,decision,hand,court decision,15
13,court,handed,decision,hand,court decision,15
14,court,handed,decision,hand,court decision,15
15,military,handed,power,hand,military power,12
16,court,handed,ruling,hand,court ruling,12
17,quarterback,hands,ball,hand,quarterback ball,12
18,court,handed,ruling,hand,court ruling,12
19,military,handed,power,hand,military power,12
20,quarterback,hands,ball,hand,quarterback ball,12
21,quarterback,handed,ball,hand,quarterback ball,12
22,quarterback,hands,ball,hand,quarterback ball,12
23,quarterback,hands,ball,hand,quarterback ball,12
24,military,handed,power,hand,military power,12
25,court,handed,ruling,hand,court ruling,12
26,court,handed,ruling,hand,court ruling,12
27,quarterback,hands,ball,hand,quarterback ball,12
28,court,handed,ruling,hand,court ruling,12
29,military,handed,power,hand,military power,12
30,court,handed,ruling,hand,court ruling,12
31,military,handed,power,hand,military power,12
32,quarterback,handed,ball,hand,quarterback ball,12
33,court,handed,ruling,hand,court ruling,12
34,military,handed,power,hand,military power,12
35,military,handed,power,hand,military power,12
36,quarterback,hands,ball,hand,quarterback ball,12
37,quarterback,hands,ball,hand,quarterback ball,12
38,court,handed,ruling,hand,court ruling,12
39,court,handed,ruling,hand,court ruling,12
40,military,handed,power,hand,military power,12
41,quarterback,hands,ball,hand,quarterback ball,12
42,military,handed,power,hand,military power,12
43,military,handed,power,hand,military power,12
44,quarterback,hands,ball,hand,quarterback ball,12
45,military,hand,power,hand,military power,12
46,court,handed,ruling,hand,court ruling,12
