,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,weight,hangs,cable,hang,weight cable,6
1,weight,hangs,cable,hang,weight cable,6
2,weight,hangs,cable,hang,weight cable,6
3,weight,hangs,cable,hang,weight cable,6
4,weight,hangs,cable,hang,weight cable,6
5,weight,hangs,cable,hang,weight cable,6
6,paintings,hang,side,hang,paintings side,4
7,group,hung,banner,hang,group banner,4
8,paintings,hang,side,hang,paintings side,4
9,activists,hung,banners,hang,activists banners,4
10,paintings,hang,side,hang,paintings side,4
11,group,hung,banner,hang,group banner,4
12,group,hung,banner,hang,group banner,4
13,activists,hung,banners,hang,activists banners,4
14,group,hung,banner,hang,group banner,4
15,activists,hung,banners,hang,activists banners,4
16,activists,hung,banners,hang,activists banners,4
17,paintings,hung,side,hang,paintings side,4
18,crowd,hanged,effigies,hang,crowd effigies,3
19,activists,hung,banner,hang,activists banner,3
20,parents,hung,placards,hang,parents placards,3
21,bell,hangs,fairlead,hang,bell fairlead,3
22,activists,hung,banner,hang,activists banner,3
23,children,hanging,stockings,hang,children stockings,3
24,parents,hung,placards,hang,parents placards,3
25,students,hung,banners,hang,students banners,3
26,children,hang,stockings,hang,children stockings,3
27,crowd,hanged,effigies,hang,crowd effigies,3
28,students,hung,banners,hang,students banners,3
29,students,hung,banners,hang,students banners,3
30,peace,hanged,armatoles,hang,peace armatoles,3
31,route,hangs,left,hang,route left,3
32,joke,hung,copy,hang,joke copy,3
33,activists,hung,banner,hang,activists banner,3
34,route,hangs,left,hang,route left,3
35,parents,hung,placards,hang,parents placards,3
36,bell,hangs,fairlead,hang,bell fairlead,3
37,bell,hangs,fairlead,hang,bell fairlead,3
38,route,hangs,left,hang,route left,3
39,crowd,hanged,effigies,hang,crowd effigies,3
40,peace,hanged,armatoles,hang,peace armatoles,3
41,joke,hung,copy,hang,joke copy,3
42,joke,hung,copy,hang,joke copy,3
43,peace,hanged,armatoles,hang,peace armatoles,3
44,children,hanging,stockings,hang,children stockings,3
45,people,hung,limbs,hang,people limbs,2
46,woman,hanging,clothes,hang,woman clothes,2
47,mob,hanged,man,hang,mob man,2
48,sedan,hung,noblemen,hang,sedan noblemen,2
49,mobs,hang,most,hang,mobs most,2
50,guts,hung,organs,hang,guts organs,2
51,guild,hung,portrait,hang,guild portrait,2
52,students,hanging,signs,hang,students signs,2
53,villagers,hang,pieces,hang,villagers pieces,2
54,guild,hung,portrait,hang,guild portrait,2
55,supporters,hung,banner,hang,supporters banner,2
56,sedan,hung,noblemen,hang,sedan noblemen,2
57,group,hung,governor,hang,group governor,2
58,ranks,hang,flowers,hang,ranks flowers,2
59,students,hanging,signs,hang,students signs,2
