,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,team,hikes,mountain,hike,team mountain,2
1,hundreds,hike,hundreds,hike,hundreds hundreds,2
2,people,hike,trail,hike,people trail,2
3,offense,hikes,ball,hike,offense ball,2
4,team,hikes,mountain,hike,team mountain,2
5,people,hiked,trail,hike,people trail,2
6,offense,hikes,ball,hike,offense ball,2
7,hundreds,hike,hundreds,hike,hundreds hundreds,2
8,player,hikes,slope,hike,player slope,1
9,scouts,hiking,mountain,hike,scouts mountain,1
10,trekkers,hike,route,hike,trekkers route,1
11,pope,hiked,time,hike,pope time,1
12,process,hiking,temperature,hike,process temperature,1
13,author,hiked,book,hike,author book,1
14,climbers,hike,mountain,hike,climbers mountain,1
15,hikers,hike,length,hike,hikers length,1
16,people,hike,trails,hike,people trails,1
17,paddlers,hike,gorge,hike,paddlers gorge,1
18,members,hike,butte,hike,members butte,1
19,people,hiked,most,hike,people most,1
20,children,hike,men,hike,children men,1
21,people,hiking,total,hike,people total,1
22,club,hiking,holidays,hike,club holidays,1
23,men,hike,campfire,hike,men campfire,1
24,company,hiked,prices,hike,company prices,1
25,purists,hike,footpath,hike,purists footpath,1
26,visitors,hike,east,hike,visitors east,1
27,player,hikes,one,hike,player one,1
28,patrols,hike,kilometers,hike,patrols kilometers,1
29,twelve,hiked,distance,hike,twelve distance,1
30,lots,hike,mountain,hike,lots mountain,1
31,head,hiked,route,hike,head route,1
32,decision,hike,nostalgia,hike,decision nostalgia,1
33,cartels,hike,prices,hike,cartels prices,1
34,banks,hike,rates,hike,banks rates,1
35,scouts,hiked,trail,hike,scouts trail,1
36,bill,hikes,spending,hike,bill spending,1
37,trekkers,hiked,road,hike,trekkers road,1
38,women,hiked,trail,hike,women trail,1
39,men,hike,way,hike,men way,1
40,men,hiked,full,hike,men full,1
41,group,hiked,trail,hike,group trail,1
42,teams,hiked,trail,hike,teams trail,1
43,hitch,hikes,lift,hike,hitch lift,1
44,bird,hiking,opportunities,hike,bird opportunities,1
45,number,hike,trails,hike,number trails,1
46,whoever,hikes,mountain,hike,whoever mountain,1
47,bird,hiking,way,hike,bird way,1
48,persons,hike,trail,hike,persons trail,1
49,hiker,hiked,trail,hike,hiker trail,1
50,mountaineers,hike,distances,hike,mountaineers distances,1
51,park,hiking,trails,hike,park trails,1
52,people,hike,night,hike,people night,1
53,travelers,hiked,overland,hike,travelers overland,1
54,group,hiked,miles,hike,group miles,1
55,hospitals,hike,prices,hike,hospitals prices,1
56,bird,hiking,picnicking,hike,bird picnicking,1
57,crew,hiked,way,hike,crew way,1
58,one,hike,park,hike,one park,1
59,hikers,hike,east,hike,hikers east,1
60,skiers,hike,way,hike,skiers way,1
61,killer,hiked,symbol,hike,killer symbol,1
62,people,hiked,trip,hike,people trip,1
63,two,hiked,way,hike,two way,1
64,family,hiked,park,hike,family park,1
65,team,hiked,remainder,hike,team remainder,1
66,class,hiked,camp,hike,class camp,1
67,location,hiked,landing,hike,location landing,1
68,prices,hiked,percent,hike,prices percent,1
69,backpackers,hike,transportation,hike,backpackers transportation,1
70,men,hiked,slope,hike,men slope,1
