,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,temperatures,hovered,degrees,hover,temperatures degrees,5
1,temperatures,hovering,degrees,hover,temperatures degrees,5
2,temperatures,hover,degrees,hover,temperatures degrees,5
3,temperatures,hover,degrees,hover,temperatures degrees,5
4,temperatures,hovered,degrees,hover,temperatures degrees,5
5,user,hovers,pointer,hover,user pointer,3
6,user,hovers,pointer,hover,user pointer,3
7,user,hovers,pointer,hover,user pointer,3
8,population,hovered,residents,hover,population residents,2
9,birds,hovering,morsels,hover,birds morsels,2
10,birds,hovering,morsels,hover,birds morsels,2
11,reader,hovers,cursor,hover,reader cursor,2
12,reader,hovers,cursor,hover,reader cursor,2
13,population,hovered,residents,hover,population residents,2
14,maneuverability,hover,walls,hover,maneuverability walls,1
15,wasps,hover,direction,hover,wasps direction,1
16,viewership,hovered,million,hover,viewership million,1
17,attendance,hovered,students,hover,attendance students,1
18,record,hovered,runs,hover,record runs,1
19,rate,hovered,decline,hover,rate decline,1
20,flap,hovered,spine,hover,flap spine,1
21,population,hovered,people,hover,population people,1
22,teams,hovered,points,hover,teams points,1
23,stage,hovered,stage,hover,stage stage,1
24,containment,hovered,acres,hover,containment acres,1
25,blues,hovered,meanings,hover,blues meanings,1
26,figures,hovering,feet,hover,figures feet,1
27,team,hover,mid,hover,team mid,1
28,helicopter,hovered,meters,hover,helicopter meters,1
29,speeds,hovered,knots,hover,speeds knots,1
30,washes,hovered,surfaces,hover,washes surfaces,1
31,newcomer,hovers,inches,hover,newcomer inches,1
32,threshold,hovered,florini,hover,threshold florini,1
33,population,hovered,neighbours,hover,population neighbours,1
34,spirit,hovered,chaos,hover,spirit chaos,1
35,capacity,hovered,people,hover,capacity people,1
36,clouds,hovered,north,hover,clouds north,1
37,craft,hovered,field,hover,craft field,1
38,temperature,hovering,degrees,hover,temperature degrees,1
39,army,hovered,orders,hover,army orders,1
40,wages,hover,dollars,hover,wages dollars,1
41,production,hovered,cars,hover,production cars,1
42,range,hovers,miles,hover,range miles,1
43,player,hovers,cursor,hover,player cursor,1
44,slabs,hovering,fact,hover,slabs fact,1
45,temperatures,hover,pattern,hover,temperatures pattern,1
46,deaths,hovered,deaths,hover,deaths deaths,1
47,reality,hovered,show,hover,reality show,1
48,ridership,hovered,passengers,hover,ridership passengers,1
49,viewership,hovered,viewers,hover,viewership viewers,1
50,discs,hover,clouds,hover,discs clouds,1
51,user,hovers,finger,hover,user finger,1
52,one,hovering,forms,hover,one forms,1
53,population,hovered,inhabitants,hover,population inhabitants,1
54,entity,hovering,red,hover,entity red,1
55,trips,hovered,traffic,hover,trips traffic,1
56,average,hovered,most,hover,average most,1
57,warriors,hover,scriptures,hover,warriors scriptures,1
58,averages,hovering,vehicles,hover,averages vehicles,1
59,team,hovered,playoffs,hover,team playoffs,1
60,head,hovers,nanometers,hover,head nanometers,1
61,much,hovering,mushrooms,hover,much mushrooms,1
62,character,hover,descent,hover,character descent,1
63,temperature,hovered,temperatures,hover,temperature temperatures,1
64,four,hovering,percent,hover,four percent,1
65,rating,hovered,mark,hover,rating mark,1
66,enrollment,hovered,students,hover,enrollment students,1
67,lows,hovers,degrees,hover,lows degrees,1
68,child,hovers,mid,hover,child mid,1
69,spirit,hovered,waters,hover,spirit waters,1
70,user,hovers,mouse,hover,user mouse,1
71,numbers,hover,vehicles,hover,numbers vehicles,1
72,abundance,hovering,nest,hover,abundance nest,1
73,males,hover,motionless,hover,males motionless,1
