,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,crew,huddled,call,huddle,crew call,1
1,lovers,huddle,gunshots,huddle,lovers gunshots,1
2,site,huddled,excavations,huddle,site excavations,1
3,group,huddled,contrast,huddle,group contrast,1
4,males,huddle,eggs,huddle,males eggs,1
5,players,huddle,dance,huddle,players dance,1
6,girls,huddled,area,huddle,girls area,1
7,pair,huddles,one,huddle,pair one,1
8,work,huddled,mass,huddle,work mass,1
9,ants,huddle,plan,huddle,ants plan,1
10,workshop,huddled,pacts,huddle,workshop pacts,1
11,group,huddled,names,huddle,group names,1
12,trees,huddle,shore,huddle,trees shore,1
13,person,huddled,arms,huddle,person arms,1
14,two,huddle,house,huddle,two house,1
15,poor,huddled,masses,huddle,poor masses,1
