,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,son,joined,company,join,son company,145
1,son,joined,company,join,son company,145
2,son,joined,company,join,son company,145
3,son,joined,company,join,son company,145
4,son,joined,company,join,son company,145
5,son,joined,company,join,son company,145
6,son,joined,company,join,son company,145
7,son,joined,company,join,son company,145
8,son,joined,company,join,son company,145
9,son,joined,company,join,son company,145
10,son,joined,company,join,son company,145
11,son,joined,company,join,son company,145
12,son,joined,company,join,son company,145
13,son,joined,company,join,son company,145
14,son,joined,company,join,son company,145
15,son,joined,company,join,son company,145
16,son,joined,company,join,son company,145
17,son,joined,company,join,son company,145
18,son,joined,company,join,son company,145
19,son,joined,company,join,son company,145
20,son,joined,company,join,son company,145
21,son,joined,company,join,son company,145
22,son,joined,company,join,son company,145
23,son,joined,company,join,son company,145
24,son,joined,company,join,son company,145
25,son,joined,company,join,son company,145
26,son,joined,company,join,son company,145
27,son,joined,company,join,son company,145
28,son,joined,company,join,son company,145
29,son,joined,company,join,son company,145
30,son,joined,company,join,son company,145
31,son,joined,company,join,son company,145
32,son,joined,company,join,son company,145
33,son,joined,company,join,son company,145
34,son,joined,company,join,son company,145
35,son,joined,company,join,son company,145
36,son,joined,company,join,son company,145
37,son,joined,company,join,son company,145
38,son,joined,company,join,son company,145
39,son,joined,company,join,son company,145
40,son,joined,company,join,son company,145
41,son,joined,company,join,son company,145
42,son,joined,company,join,son company,145
43,son,joined,company,join,son company,145
44,son,joined,company,join,son company,145
45,son,joined,company,join,son company,145
46,son,joined,company,join,son company,145
47,son,joined,company,join,son company,145
48,son,joined,company,join,son company,145
49,son,joined,company,join,son company,145
50,son,joined,company,join,son company,145
51,son,joined,company,join,son company,145
52,son,joined,company,join,son company,145
53,son,joined,company,join,son company,145
54,son,joined,company,join,son company,145
55,son,joined,company,join,son company,145
56,son,joined,company,join,son company,145
57,son,joined,company,join,son company,145
58,son,joined,company,join,son company,145
59,son,joined,company,join,son company,145
60,son,joined,company,join,son company,145
61,son,joined,company,join,son company,145
62,son,joined,company,join,son company,145
63,son,joined,company,join,son company,145
64,son,joined,company,join,son company,145
65,son,joined,company,join,son company,145
66,son,joined,company,join,son company,145
67,son,joined,company,join,son company,145
68,son,joined,company,join,son company,145
69,son,joined,company,join,son company,145
70,son,joined,company,join,son company,145
71,son,joined,company,join,son company,145
72,son,joined,company,join,son company,145
73,son,joined,company,join,son company,145
74,son,joined,company,join,son company,145
75,son,joined,company,join,son company,145
76,son,joined,company,join,son company,145
77,son,joined,company,join,son company,145
78,son,joined,company,join,son company,145
79,son,joined,company,join,son company,145
80,son,joined,company,join,son company,145
81,son,joined,company,join,son company,145
