,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,results,kayaking,competitions,kayak,results competitions,4
1,results,kayaking,competitions,kayak,results competitions,4
2,results,kayaking,competitions,kayak,results competitions,4
3,results,kayaking,competitions,kayak,results competitions,4
4,access,kayaks,access,kayak,access access,2
5,access,kayaks,access,kayak,access access,2
6,lot,kayak,river,kayak,lot river,1
7,whitewater,kayaking,journey,kayak,whitewater journey,1
8,organizations,kayaking,venues,kayak,organizations venues,1
9,classes,kayaking,competitions,kayak,classes competitions,1
10,kayakers,kayaking,top,kayak,kayakers top,1
11,students,kayaking,skills,kayak,students skills,1
12,people,kayak,stretch,kayak,people stretch,1
13,use,kayaking,routes,kayak,use routes,1
14,links,kayaking,competitions,kayak,links competitions,1
