,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,females,lay,eggs,lay,females eggs,446
1,females,lay,eggs,lay,females eggs,446
2,females,lay,eggs,lay,females eggs,446
3,females,lay,eggs,lay,females eggs,446
4,females,lay,eggs,lay,females eggs,446
5,females,lay,eggs,lay,females eggs,446
6,females,lay,eggs,lay,females eggs,446
7,females,laying,eggs,lay,females eggs,446
8,females,lay,eggs,lay,females eggs,446
9,females,lay,eggs,lay,females eggs,446
10,females,lay,eggs,lay,females eggs,446
11,females,lay,eggs,lay,females eggs,446
12,females,lay,eggs,lay,females eggs,446
13,females,lay,eggs,lay,females eggs,446
14,females,lay,eggs,lay,females eggs,446
15,females,lay,eggs,lay,females eggs,446
16,females,lay,eggs,lay,females eggs,446
17,females,lay,eggs,lay,females eggs,446
18,females,lay,eggs,lay,females eggs,446
19,females,laying,eggs,lay,females eggs,446
20,females,lay,eggs,lay,females eggs,446
21,females,lay,eggs,lay,females eggs,446
22,females,lay,eggs,lay,females eggs,446
23,females,lay,eggs,lay,females eggs,446
24,females,lay,eggs,lay,females eggs,446
25,females,lay,eggs,lay,females eggs,446
26,females,lay,eggs,lay,females eggs,446
27,females,lay,eggs,lay,females eggs,446
28,females,lay,eggs,lay,females eggs,446
29,females,lay,eggs,lay,females eggs,446
30,females,lay,eggs,lay,females eggs,446
31,females,lay,eggs,lay,females eggs,446
32,females,lay,eggs,lay,females eggs,446
33,females,lay,eggs,lay,females eggs,446
34,females,lay,eggs,lay,females eggs,446
35,females,lay,eggs,lay,females eggs,446
36,females,lay,eggs,lay,females eggs,446
37,females,lay,eggs,lay,females eggs,446
38,females,lay,eggs,lay,females eggs,446
39,females,lay,eggs,lay,females eggs,446
40,females,lay,eggs,lay,females eggs,446
41,females,lay,eggs,lay,females eggs,446
42,females,lay,eggs,lay,females eggs,446
43,females,lay,eggs,lay,females eggs,446
44,females,lay,eggs,lay,females eggs,446
45,females,lay,eggs,lay,females eggs,446
46,females,lay,eggs,lay,females eggs,446
47,females,lay,eggs,lay,females eggs,446
48,females,lay,eggs,lay,females eggs,446
49,females,lay,eggs,lay,females eggs,446
50,females,lay,eggs,lay,females eggs,446
51,females,lay,eggs,lay,females eggs,446
52,females,lay,eggs,lay,females eggs,446
53,females,lay,eggs,lay,females eggs,446
54,females,lay,eggs,lay,females eggs,446
55,females,lay,eggs,lay,females eggs,446
56,females,lay,eggs,lay,females eggs,446
57,females,lay,eggs,lay,females eggs,446
58,females,lay,eggs,lay,females eggs,446
59,females,lay,eggs,lay,females eggs,446
60,females,lay,eggs,lay,females eggs,446
61,females,lay,eggs,lay,females eggs,446
62,females,lay,eggs,lay,females eggs,446
63,females,lay,eggs,lay,females eggs,446
64,females,lay,eggs,lay,females eggs,446
65,females,lay,eggs,lay,females eggs,446
66,females,lay,eggs,lay,females eggs,446
67,females,lay,eggs,lay,females eggs,446
68,females,lay,eggs,lay,females eggs,446
69,females,lay,eggs,lay,females eggs,446
70,females,lay,eggs,lay,females eggs,446
71,females,lay,eggs,lay,females eggs,446
72,females,lay,eggs,lay,females eggs,446
73,females,lay,eggs,lay,females eggs,446
74,females,lay,eggs,lay,females eggs,446
75,females,lay,eggs,lay,females eggs,446
76,females,lay,eggs,lay,females eggs,446
77,females,lay,eggs,lay,females eggs,446
78,females,lay,eggs,lay,females eggs,446
79,females,lay,eggs,lay,females eggs,446
80,females,laid,eggs,lay,females eggs,446
81,females,lay,eggs,lay,females eggs,446
82,females,lay,eggs,lay,females eggs,446
83,females,lay,eggs,lay,females eggs,446
84,females,lay,eggs,lay,females eggs,446
85,females,lay,eggs,lay,females eggs,446
86,females,lay,eggs,lay,females eggs,446
87,females,lay,eggs,lay,females eggs,446
88,females,lay,eggs,lay,females eggs,446
89,females,lay,eggs,lay,females eggs,446
90,females,lay,eggs,lay,females eggs,446
91,females,lay,eggs,lay,females eggs,446
92,females,lay,eggs,lay,females eggs,446
93,females,lay,eggs,lay,females eggs,446
94,females,lay,eggs,lay,females eggs,446
95,females,lay,eggs,lay,females eggs,446
96,females,lay,eggs,lay,females eggs,446
97,females,lay,eggs,lay,females eggs,446
98,females,lay,eggs,lay,females eggs,446
99,females,lay,eggs,lay,females eggs,446
100,females,lay,eggs,lay,females eggs,446
101,females,lay,eggs,lay,females eggs,446
102,females,lay,eggs,lay,females eggs,446
103,females,lay,eggs,lay,females eggs,446
104,females,lay,eggs,lay,females eggs,446
105,females,lay,eggs,lay,females eggs,446
106,females,lay,eggs,lay,females eggs,446
107,females,lay,eggs,lay,females eggs,446
108,females,lay,eggs,lay,females eggs,446
109,females,lay,eggs,lay,females eggs,446
110,females,lay,eggs,lay,females eggs,446
111,females,lay,eggs,lay,females eggs,446
112,females,lay,eggs,lay,females eggs,446
113,females,lay,eggs,lay,females eggs,446
114,females,lay,eggs,lay,females eggs,446
115,females,lay,eggs,lay,females eggs,446
116,females,lay,eggs,lay,females eggs,446
117,females,lay,eggs,lay,females eggs,446
118,females,lay,eggs,lay,females eggs,446
119,females,lay,eggs,lay,females eggs,446
120,females,lay,eggs,lay,females eggs,446
121,females,lay,eggs,lay,females eggs,446
122,females,lay,eggs,lay,females eggs,446
123,females,lay,eggs,lay,females eggs,446
124,females,lay,eggs,lay,females eggs,446
125,females,lay,eggs,lay,females eggs,446
126,females,lay,eggs,lay,females eggs,446
127,females,lay,eggs,lay,females eggs,446
128,females,laid,eggs,lay,females eggs,446
129,females,lay,eggs,lay,females eggs,446
130,females,lay,eggs,lay,females eggs,446
131,females,lay,eggs,lay,females eggs,446
132,females,lay,eggs,lay,females eggs,446
133,females,lay,eggs,lay,females eggs,446
134,females,lay,eggs,lay,females eggs,446
135,females,lay,eggs,lay,females eggs,446
136,females,lay,eggs,lay,females eggs,446
137,females,lay,eggs,lay,females eggs,446
138,females,lay,eggs,lay,females eggs,446
139,females,lay,eggs,lay,females eggs,446
140,females,lay,eggs,lay,females eggs,446
141,females,lay,eggs,lay,females eggs,446
