,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,pair,leaned,outwards,lean,pair outwards,4
1,pair,leaned,outwards,lean,pair outwards,4
2,pair,leaned,outwards,lean,pair outwards,4
3,pair,leaned,outwards,lean,pair outwards,4
4,flowers,lean,downwards,lean,flowers downwards,3
5,riders,lean,bikes,lean,riders bikes,3
6,flowers,lean,downwards,lean,flowers downwards,3
7,riders,lean,bikes,lean,riders bikes,3
8,riders,lean,bikes,lean,riders bikes,3
9,tower,leans,degrees,lean,tower degrees,3
10,tower,leans,degrees,lean,tower degrees,3
11,tower,leans,degrees,lean,tower degrees,3
12,flowers,lean,downwards,lean,flowers downwards,3
13,pairs,leaned,outwards,lean,pairs outwards,2
14,pairs,leaned,outwards,lean,pairs outwards,2
15,driver,leaned,window,lean,driver window,2
16,wrestler,leans,arms,lean,wrestler arms,2
17,year,lean,spending,lean,year spending,2
18,wrestler,leans,arms,lean,wrestler arms,2
19,crowd,leans,hands,lean,crowd hands,2
20,woman,leaning,head,lean,woman head,2
21,woman,leaning,head,lean,woman head,2
22,wife,leaned,hand,lean,wife hand,2
23,wife,leaned,hand,lean,wife hand,2
24,year,lean,spending,lean,year spending,2
25,driver,leans,window,lean,driver window,2
26,crowd,leans,hands,lean,crowd hands,2
27,selection,leaned,selection,lean,selection selection,1
28,soldier,leans,head,lean,soldier head,1
29,athletes,lean,body,lean,athletes body,1
30,ship,leaned,water,lean,ship water,1
31,singer,leaning,little,lean,singer little,1
32,ilium,leans,outwards,lean,ilium outwards,1
33,player,lean,side,lean,player side,1
34,towers,lean,degrees,lean,towers degrees,1
35,villagers,leaned,swords,lean,villagers swords,1
36,pilot,leans,way,lean,pilot way,1
37,atheists,lean,belief,lean,atheists belief,1
38,politics,leaned,wing,lean,politics wing,1
39,parks,leaning,rails,lean,parks rails,1
40,layers,leaning,information,lean,layers information,1
41,design,leaned,sidecar,lean,design sidecar,1
42,body,leans,viewer,lean,body viewer,1
43,members,leaned,arms,lean,members arms,1
44,person,leans,back,lean,person back,1
45,newspaper,leans,conservative,lean,newspaper conservative,1
46,rest,leans,silk,lean,rest silk,1
47,majority,leaned,leftward,lean,majority leftward,1
48,slant,leaned,rights,lean,slant rights,1
49,album,leans,misgivings,lean,album misgivings,1
50,angel,leaned,trumpet,lean,angel trumpet,1
51,sympathies,leaned,kinsman,lean,sympathies kinsman,1
52,temple,leans,degrees,lean,temple degrees,1
53,body,leans,part,lean,body part,1
54,examinee,lean,degrees,lean,examinee degrees,1
55,styles,leaning,bit,lean,styles bit,1
56,poles,lean,inwards,lean,poles inwards,1
57,brother,leaned,peace,lean,brother peace,1
58,statue,leaned,pair,lean,statue pair,1
59,views,leaned,stint,lean,views stint,1
60,groom,leans,head,lean,groom head,1
61,courts,lean,liberal,lean,courts liberal,1
62,values,leaned,values,lean,values values,1
63,group,leaned,style,lean,group style,1
64,kayak,leaned,response,lean,kayak response,1
65,second,leans,head,lean,second head,1
66,guitar,leans,position,lean,guitar position,1
67,episode,leans,everything,lean,episode everything,1
68,cylinders,leaned,fork,lean,cylinders fork,1
69,hull,lean,vessel,lean,hull vessel,1
70,sitters,leaned,elbows,lean,sitters elbows,1
71,student,leans,skills,lean,student skills,1
72,struts,leaned,inwards,lean,struts inwards,1
73,stone,leaned,pain,lean,stone pain,1
74,family,leant,name,lean,family name,1
75,iFM,leaned,approach,lean,iFM approach,1
76,spectators,lean,odds,lean,spectators odds,1
77,slabs,leaned,inwards,lean,slabs inwards,1
78,wings,leaned,inwards,lean,wings inwards,1
79,two,leaning,inwards,lean,two inwards,1
80,players,lean,system,lean,players system,1
81,traditionalists,lean,much,lean,traditionalists much,1
82,project,leaned,artist,lean,project artist,1
83,tendencies,leaned,training,lean,tendencies training,1
84,riders,lean,set,lean,riders set,1
85,song,leans,sentiment,lean,song sentiment,1
86,investigators,leaned,framework,lean,investigators framework,1
87,assistant,leaned,match,lean,assistant match,1
88,contents,leaned,collection,lean,contents collection,1
89,pair,leaned,inwards,lean,pair inwards,1
90,episodes,leaned,stories,lean,episodes stories,1
91,player,leaning,body,lean,player body,1
92,mascot,leans,sigh,lean,mascot sigh,1
93,scripts,leaned,humor,lean,scripts humor,1
