,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,song,leapt,places,leap,song places,4
1,song,leapt,places,leap,song places,4
2,song,leapt,places,leap,song places,4
3,song,leaped,places,leap,song places,4
4,knight,leaps,men,leap,knight men,3
5,knight,leaps,men,leap,knight men,3
6,knight,leaps,men,leap,knight men,3
7,characters,leap,page,leap,characters page,2
8,animal,leaped,horse,leap,animal horse,2
9,song,leaped,positions,leap,song positions,2
10,animal,leaped,horse,leap,animal horse,2
11,characters,leap,page,leap,characters page,2
12,fire,leapt,branch,leap,fire branch,2
13,fire,leapt,branch,leap,fire branch,2
14,number,leaped,mark,leap,number mark,2
15,number,leaped,mark,leap,number mark,2
16,song,leaped,positions,leap,song positions,2
17,man,leaped,leg,leap,man leg,1
18,fox,leaps,door,leap,fox door,1
19,occupants,leaped,injury,leap,occupants injury,1
20,song,leapt,way,leap,song way,1
21,vehicle,leapt,rails,leap,vehicle rails,1
22,horse,leapt,rider,leap,horse rider,1
23,melody,leaps,intervals,leap,melody intervals,1
24,keeper,leapt,cut,leap,keeper cut,1
25,driver,leapt,porch,leap,driver porch,1
26,pictures,leap,work,leap,pictures work,1
27,car,leapt,order,leap,car order,1
28,person,leaps,times,leap,person times,1
29,players,leap,ball,leap,players ball,1
30,slew,leap,sword,leap,slew sword,1
31,soldiers,leaped,fire,leap,soldiers fire,1
32,shark,leaps,thousands,leap,shark thousands,1
33,truck,leaped,curb,leap,truck curb,1
34,man,leaped,roof,leap,man roof,1
35,engineer,leapt,locomotive,leap,engineer locomotive,1
36,graph,leapt,page,leap,graph page,1
37,order,leaped,breastworks,leap,order breastworks,1
38,quarryman,leapt,warning,leap,quarryman warning,1
39,system,leap,seconds,leap,system seconds,1
40,figure,leaps,voices,leap,figure voices,1
41,cat,leaped,score,leap,cat score,1
42,bodyguard,leaped,window,leap,bodyguard window,1
43,over,leaps,things,leap,over things,1
44,horse,leapt,look,leap,horse look,1
45,boy,leaps,number,leap,boy number,1
46,dolphins,leap,fish,leap,dolphins fish,1
47,soldiers,leapt,motion,leap,soldiers motion,1
48,sword,leapt,flaming,leap,sword flaming,1
49,enthusiasm,leaped,opinions,leap,enthusiasm opinions,1
50,group,leaps,back,leap,group back,1
51,guards,leap,tram,leap,guards tram,1
52,population,leapt,outwards,leap,population outwards,1
53,string,leapt,upturn,leap,string upturn,1
54,babies,leap,baby,leap,babies baby,1
55,soldiers,leaped,flesh,leap,soldiers flesh,1
56,verse,leaps,bargain,leap,verse bargain,1
57,tourism,leap,percent,leap,tourism percent,1
58,fireman,leaps,pole,leap,fireman pole,1
59,arches,leap,floodplain,leap,arches floodplain,1
60,cats,leap,edge,leap,cats edge,1
61,gunmen,leapt,fire,leap,gunmen fire,1
62,three,leaped,windows,leap,three windows,1
63,knight,leaps,pieces,leap,knight pieces,1
64,unicorn,leaps,men,leap,unicorn men,1
65,stabs,leaps,window,leap,stabs window,1
66,fire,leaped,feet,leap,fire feet,1
67,hunter,leaps,hare,leap,hunter hare,1
68,men,leapt,wall,leap,men wall,1
69,wrestler,leaps,dropkick,leap,wrestler dropkick,1
70,gazelles,leap,brook,leap,gazelles brook,1
71,horse,leap,barricade,leap,horse barricade,1
72,fire,leapt,gap,leap,fire gap,1
73,man,leapt,one,leap,man one,1
74,offender,leapt,shoe,leap,offender shoe,1
75,shapes,leap,silhouettes,leap,shapes silhouettes,1
76,animal,leaping,cheek,leap,animal cheek,1
77,circulation,leapt,success,leap,circulation success,1
78,lion,leapt,window,leap,lion window,1
79,compatriots,leapt,peel,leap,compatriots peel,1
80,horse,leapt,bush,leap,horse bush,1
81,leader,leaping,handkerchief,leap,leader handkerchief,1
82,women,leapt,curbs,leap,women curbs,1
83,calendar,leap,years,leap,calendar years,1
84,intestine,leapt,neck,leap,intestine neck,1
85,figure,leaps,kobold,leap,figure kobold,1
86,fire,leapt,framework,leap,fire framework,1
87,all,leaped,word,leap,all word,1
88,creature,leaped,drink,leap,creature drink,1
89,serpent,leaped,harm,leap,serpent harm,1
90,comrades,leapt,troops,leap,comrades troops,1
91,clip,leaping,helicopter,leap,clip helicopter,1
92,animal,leaps,prey,leap,animal prey,1
93,gazelles,leaping,subjects,leap,gazelles subjects,1
94,heart,leapt,scholar,leap,heart scholar,1
95,name,leaped,nothing,leap,name nothing,1
96,husband,leapt,wing,leap,husband wing,1
97,dolphin,leaps,back,leap,dolphin back,1
98,mouse,leaps,fists,leap,mouse fists,1
99,flames,leapt,body,leap,flames body,1
100,inferno,leaped,street,leap,inferno street,1
101,cat,leaps,blocks,leap,cat blocks,1
102,salmon,leaping,waterfall,leap,salmon waterfall,1
103,guitarist,leaped,stage,leap,guitarist stage,1
104,dogs,leap,raft,leap,dogs raft,1
105,guards,leap,offenders,leap,guards offenders,1
106,flame,leaps,leg,leap,flame leg,1
107,extent,leap,dozens,leap,extent dozens,1
108,ability,leap,eighth,leap,ability eighth,1
109,gunmen,leaped,barrage,leap,gunmen barrage,1
110,opponent,leapt,overtop,leap,opponent overtop,1
111,men,leapt,trail,leap,men trail,1
112,melody,leaps,player,leap,melody player,1
113,dog,leaps,door,leap,dog door,1
114,player,leaps,hand,leap,player hand,1
115,dog,leaps,cat,leap,dog cat,1
116,engineer,leaped,flag,leap,engineer flag,1
117,narrative,leaps,much,leap,narrative much,1
118,male,leaps,copulation,leap,male copulation,1
119,males,leap,wings,leap,males wings,1
120,story,leaps,events,leap,story events,1
121,fan,leaps,deity,leap,fan deity,1
122,grenadiers,leapt,castle,leap,grenadiers castle,1
123,boat,leaped,highest,leap,boat highest,1
124,people,leap,top,leap,people top,1
125,partner,leaps,motion,leap,partner motion,1
126,horse,leapt,gorge,leap,horse gorge,1
127,fire,leap,balloon,leap,fire balloon,1
128,king,leaped,ownership,leap,king ownership,1
