,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,footbridge,linked,platforms,link,footbridge platforms,13
1,footbridge,links,platforms,link,footbridge platforms,13
2,footbridge,links,platforms,link,footbridge platforms,13
3,footbridge,linked,platforms,link,footbridge platforms,13
4,footbridge,linked,platforms,link,footbridge platforms,13
5,footbridge,links,platforms,link,footbridge platforms,13
6,footbridge,linked,platforms,link,footbridge platforms,13
7,footbridge,linked,platforms,link,footbridge platforms,13
8,footbridge,linked,platforms,link,footbridge platforms,13
9,footbridge,linked,platforms,link,footbridge platforms,13
10,footbridge,linked,platforms,link,footbridge platforms,13
11,footbridge,linked,platforms,link,footbridge platforms,13
12,footbridge,links,platforms,link,footbridge platforms,13
13,road,links,village,link,road village,11
14,road,links,village,link,road village,11
15,road,links,village,link,road village,11
16,road,links,village,link,road village,11
17,road,links,village,link,road village,11
18,road,links,village,link,road village,11
19,road,linked,village,link,road village,11
20,road,links,village,link,road village,11
21,road,links,village,link,road village,11
22,road,links,village,link,road village,11
23,road,links,village,link,road village,11
24,line,links,city,link,line city,9
25,line,links,city,link,line city,9
26,road,links,municipality,link,road municipality,9
27,road,links,municipality,link,road municipality,9
28,road,links,municipality,link,road municipality,9
29,line,links,city,link,line city,9
30,road,links,municipality,link,road municipality,9
31,road,links,municipality,link,road municipality,9
32,road,links,municipality,link,road municipality,9
33,road,links,municipality,link,road municipality,9
34,line,links,city,link,line city,9
35,road,links,municipality,link,road municipality,9
36,road,links,municipality,link,road municipality,9
37,line,links,city,link,line city,9
38,line,links,city,link,line city,9
39,line,links,city,link,line city,9
40,line,links,city,link,line city,9
41,line,links,city,link,line city,9
42,road,links,town,link,road town,8
43,theory,links,name,link,theory name,8
44,theory,links,name,link,theory name,8
45,theory,links,name,link,theory name,8
46,theory,links,name,link,theory name,8
47,theory,links,name,link,theory name,8
48,road,links,town,link,road town,8
49,road,links,town,link,road town,8
50,theory,links,name,link,theory name,8
51,road,links,town,link,road town,8
52,road,links,town,link,road town,8
53,road,links,town,link,road town,8
54,road,links,town,link,road town,8
55,road,links,town,link,road town,8
56,theory,links,name,link,theory name,8
57,theory,links,name,link,theory name,8
58,roads,link,village,link,roads village,7
59,line,linked,town,link,line town,7
60,roads,link,village,link,roads village,7
61,line,links,town,link,line town,7
62,line,links,town,link,line town,7
63,line,links,town,link,line town,7
64,line,linked,town,link,line town,7
65,roads,link,village,link,roads village,7
66,roads,link,village,link,roads village,7
67,roads,link,village,link,roads village,7
68,line,links,town,link,line town,7
69,roads,link,village,link,roads village,7
70,line,links,town,link,line town,7
71,roads,link,village,link,roads village,7
72,bridge,links,districts,link,bridge districts,6
73,bridge,links,districts,link,bridge districts,6
74,bridge,links,districts,link,bridge districts,6
75,bridge,links,districts,link,bridge districts,6
76,bridge,links,districts,link,bridge districts,6
