,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,tips,look,name,look,tips name,191
1,tips,look,name,look,tips name,191
2,tips,look,name,look,tips name,191
3,tips,look,name,look,tips name,191
4,tips,look,name,look,tips name,191
5,tips,look,name,look,tips name,191
6,tips,look,name,look,tips name,191
7,tips,look,name,look,tips name,191
8,tips,look,name,look,tips name,191
9,tips,look,name,look,tips name,191
10,tips,look,name,look,tips name,191
11,tips,look,name,look,tips name,191
12,tips,look,name,look,tips name,191
13,tips,look,name,look,tips name,191
14,tips,look,name,look,tips name,191
15,tips,look,name,look,tips name,191
16,tips,look,name,look,tips name,191
17,tips,look,name,look,tips name,191
18,tips,look,name,look,tips name,191
19,tips,look,name,look,tips name,191
20,tips,look,name,look,tips name,191
21,tips,look,name,look,tips name,191
22,tips,look,name,look,tips name,191
23,tips,look,name,look,tips name,191
24,tips,look,name,look,tips name,191
25,tips,look,name,look,tips name,191
26,tips,look,name,look,tips name,191
27,tips,look,name,look,tips name,191
28,tips,look,name,look,tips name,191
29,tips,look,name,look,tips name,191
30,tips,look,name,look,tips name,191
31,tips,look,name,look,tips name,191
32,tips,look,name,look,tips name,191
33,tips,look,name,look,tips name,191
34,tips,look,name,look,tips name,191
35,tips,look,name,look,tips name,191
36,tips,look,name,look,tips name,191
37,tips,look,name,look,tips name,191
38,tips,look,name,look,tips name,191
39,tips,look,name,look,tips name,191
40,tips,look,name,look,tips name,191
41,tips,look,name,look,tips name,191
42,tips,look,name,look,tips name,191
43,tips,look,name,look,tips name,191
44,tips,look,name,look,tips name,191
45,tips,look,name,look,tips name,191
46,tips,look,name,look,tips name,191
47,tips,look,name,look,tips name,191
48,tips,look,name,look,tips name,191
49,tips,look,name,look,tips name,191
50,tips,look,name,look,tips name,191
51,tips,look,name,look,tips name,191
52,tips,look,name,look,tips name,191
53,tips,look,name,look,tips name,191
54,tips,look,name,look,tips name,191
55,tips,look,name,look,tips name,191
56,tips,look,name,look,tips name,191
57,tips,look,name,look,tips name,191
58,tips,look,name,look,tips name,191
59,tips,look,name,look,tips name,191
60,tips,look,name,look,tips name,191
61,tips,look,name,look,tips name,191
62,tips,look,name,look,tips name,191
63,tips,look,name,look,tips name,191
64,tips,look,name,look,tips name,191
65,tips,look,name,look,tips name,191
66,tips,look,name,look,tips name,191
67,tips,look,name,look,tips name,191
68,tips,look,name,look,tips name,191
69,tips,look,name,look,tips name,191
70,tips,look,name,look,tips name,191
71,tips,look,name,look,tips name,191
72,tips,look,name,look,tips name,191
73,tips,look,name,look,tips name,191
74,tips,look,name,look,tips name,191
75,tips,look,name,look,tips name,191
76,tips,look,name,look,tips name,191
77,tips,look,name,look,tips name,191
78,tips,look,name,look,tips name,191
79,tips,look,name,look,tips name,191
80,tips,look,name,look,tips name,191
81,tips,look,name,look,tips name,191
82,tips,look,name,look,tips name,191
