,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,son,marries,daughter,marry,son daughter,241
1,son,married,daughter,marry,son daughter,241
2,son,married,daughter,marry,son daughter,241
3,son,married,daughter,marry,son daughter,241
4,son,married,daughter,marry,son daughter,241
5,son,married,daughter,marry,son daughter,241
6,son,married,daughter,marry,son daughter,241
7,son,married,daughter,marry,son daughter,241
8,son,married,daughter,marry,son daughter,241
9,son,married,daughter,marry,son daughter,241
10,son,married,daughter,marry,son daughter,241
11,son,married,daughter,marry,son daughter,241
12,son,married,daughter,marry,son daughter,241
13,son,married,daughter,marry,son daughter,241
14,son,marry,daughter,marry,son daughter,241
15,son,married,daughter,marry,son daughter,241
16,son,married,daughter,marry,son daughter,241
17,son,married,daughter,marry,son daughter,241
18,son,married,daughter,marry,son daughter,241
19,son,married,daughter,marry,son daughter,241
20,son,married,daughter,marry,son daughter,241
21,son,married,daughter,marry,son daughter,241
22,son,married,daughter,marry,son daughter,241
23,son,married,daughter,marry,son daughter,241
24,son,married,daughter,marry,son daughter,241
25,son,married,daughter,marry,son daughter,241
26,son,marry,daughter,marry,son daughter,241
27,son,marry,daughter,marry,son daughter,241
28,son,married,daughter,marry,son daughter,241
29,son,married,daughter,marry,son daughter,241
30,son,married,daughter,marry,son daughter,241
31,son,married,daughter,marry,son daughter,241
32,son,married,daughter,marry,son daughter,241
33,son,married,daughter,marry,son daughter,241
34,son,marry,daughter,marry,son daughter,241
35,son,married,daughter,marry,son daughter,241
36,son,married,daughter,marry,son daughter,241
37,son,married,daughter,marry,son daughter,241
38,son,married,daughter,marry,son daughter,241
39,son,married,daughter,marry,son daughter,241
40,son,married,daughter,marry,son daughter,241
41,son,marries,daughter,marry,son daughter,241
42,son,married,daughter,marry,son daughter,241
43,son,marry,daughter,marry,son daughter,241
44,son,married,daughter,marry,son daughter,241
45,son,married,daughter,marry,son daughter,241
46,son,married,daughter,marry,son daughter,241
47,son,married,daughter,marry,son daughter,241
48,son,married,daughter,marry,son daughter,241
49,son,married,daughter,marry,son daughter,241
50,son,marry,daughter,marry,son daughter,241
51,son,married,daughter,marry,son daughter,241
52,son,married,daughter,marry,son daughter,241
53,son,married,daughter,marry,son daughter,241
54,son,married,daughter,marry,son daughter,241
55,son,married,daughter,marry,son daughter,241
56,son,married,daughter,marry,son daughter,241
57,son,married,daughter,marry,son daughter,241
58,son,married,daughter,marry,son daughter,241
59,son,married,daughter,marry,son daughter,241
60,son,marries,daughter,marry,son daughter,241
61,son,married,daughter,marry,son daughter,241
62,son,married,daughter,marry,son daughter,241
63,son,marries,daughter,marry,son daughter,241
64,son,married,daughter,marry,son daughter,241
65,son,married,daughter,marry,son daughter,241
66,son,married,daughter,marry,son daughter,241
67,son,marry,daughter,marry,son daughter,241
68,son,married,daughter,marry,son daughter,241
69,son,married,daughter,marry,son daughter,241
70,son,married,daughter,marry,son daughter,241
71,son,married,daughter,marry,son daughter,241
72,son,married,daughter,marry,son daughter,241
73,son,marry,daughter,marry,son daughter,241
74,son,marries,daughter,marry,son daughter,241
75,son,married,daughter,marry,son daughter,241
76,son,married,daughter,marry,son daughter,241
77,son,married,daughter,marry,son daughter,241
78,son,married,daughter,marry,son daughter,241
79,son,married,daughter,marry,son daughter,241
80,son,married,daughter,marry,son daughter,241
81,son,married,daughter,marry,son daughter,241
82,son,married,daughter,marry,son daughter,241
83,son,married,daughter,marry,son daughter,241
84,son,married,daughter,marry,son daughter,241
85,son,married,daughter,marry,son daughter,241
86,son,marries,daughter,marry,son daughter,241
87,son,married,daughter,marry,son daughter,241
88,son,married,daughter,marry,son daughter,241
89,son,married,daughter,marry,son daughter,241
90,son,married,daughter,marry,son daughter,241
91,son,married,daughter,marry,son daughter,241
92,son,marry,daughter,marry,son daughter,241
93,son,married,daughter,marry,son daughter,241
94,son,married,daughter,marry,son daughter,241
95,son,married,daughter,marry,son daughter,241
96,son,married,daughter,marry,son daughter,241
97,son,married,daughter,marry,son daughter,241
98,son,married,daughter,marry,son daughter,241
99,son,married,daughter,marry,son daughter,241
100,son,married,daughter,marry,son daughter,241
101,son,married,daughter,marry,son daughter,241
102,son,married,daughter,marry,son daughter,241
103,son,married,daughter,marry,son daughter,241
