,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,brothers,mixed,entrails,mix,brothers entrails,45
1,brothers,mixed,entrails,mix,brothers entrails,45
2,brothers,mixed,entrails,mix,brothers entrails,45
3,brothers,mixed,entrails,mix,brothers entrails,45
4,brothers,mixed,entrails,mix,brothers entrails,45
5,brothers,mixed,entrails,mix,brothers entrails,45
6,brothers,mixed,entrails,mix,brothers entrails,45
7,brothers,mixed,entrails,mix,brothers entrails,45
8,brothers,mixed,entrails,mix,brothers entrails,45
9,brothers,mixed,entrails,mix,brothers entrails,45
10,brothers,mixed,entrails,mix,brothers entrails,45
11,brothers,mixed,entrails,mix,brothers entrails,45
12,brothers,mixed,entrails,mix,brothers entrails,45
13,brothers,mixed,entrails,mix,brothers entrails,45
14,brothers,mixed,entrails,mix,brothers entrails,45
15,brothers,mixed,entrails,mix,brothers entrails,45
16,brothers,mixed,entrails,mix,brothers entrails,45
17,brothers,mixed,entrails,mix,brothers entrails,45
18,brothers,mixed,entrails,mix,brothers entrails,45
19,brothers,mixed,entrails,mix,brothers entrails,45
20,brothers,mixed,entrails,mix,brothers entrails,45
21,brothers,mixed,entrails,mix,brothers entrails,45
22,brothers,mixed,entrails,mix,brothers entrails,45
23,brothers,mixed,entrails,mix,brothers entrails,45
24,brothers,mixed,entrails,mix,brothers entrails,45
25,brothers,mixed,entrails,mix,brothers entrails,45
26,brothers,mixed,entrails,mix,brothers entrails,45
27,brothers,mixed,entrails,mix,brothers entrails,45
28,brothers,mixed,entrails,mix,brothers entrails,45
29,brothers,mixed,entrails,mix,brothers entrails,45
30,brothers,mixed,entrails,mix,brothers entrails,45
31,brothers,mixed,entrails,mix,brothers entrails,45
32,brothers,mixed,entrails,mix,brothers entrails,45
33,brothers,mixed,entrails,mix,brothers entrails,45
34,brothers,mixed,entrails,mix,brothers entrails,45
35,brothers,mixed,entrails,mix,brothers entrails,45
36,brothers,mixed,entrails,mix,brothers entrails,45
37,brothers,mixed,entrails,mix,brothers entrails,45
38,brothers,mixed,entrails,mix,brothers entrails,45
39,brothers,mixed,entrails,mix,brothers entrails,45
40,brothers,mixed,entrails,mix,brothers entrails,45
41,brothers,mixed,entrails,mix,brothers entrails,45
42,brothers,mixed,entrails,mix,brothers entrails,45
43,brothers,mixed,entrails,mix,brothers entrails,45
44,brothers,mixed,entrails,mix,brothers entrails,45
45,band,mixed,album,mix,band album,12
46,band,mixing,album,mix,band album,12
47,band,mixed,album,mix,band album,12
48,band,mixed,album,mix,band album,12
49,band,mixing,album,mix,band album,12
50,band,mixed,album,mix,band album,12
51,band,mixing,album,mix,band album,12
52,band,mixing,album,mix,band album,12
53,band,mixed,album,mix,band album,12
54,band,mixed,album,mix,band album,12
55,band,mixed,album,mix,band album,12
56,band,mixed,album,mix,band album,12
57,style,mixes,elements,mix,style elements,11
58,style,mixes,elements,mix,style elements,11
59,style,mixes,elements,mix,style elements,11
60,style,mixes,elements,mix,style elements,11
61,style,mixes,elements,mix,style elements,11
62,style,mixes,elements,mix,style elements,11
63,style,mixes,elements,mix,style elements,11
64,style,mixes,elements,mix,style elements,11
65,style,mixes,elements,mix,style elements,11
66,style,mixes,elements,mix,style elements,11
67,style,mixes,elements,mix,style elements,11
68,music,mixes,elements,mix,music elements,9
69,music,mixes,elements,mix,music elements,9
70,music,mixes,elements,mix,music elements,9
71,music,mixes,elements,mix,music elements,9
72,music,mixes,elements,mix,music elements,9
73,music,mixes,elements,mix,music elements,9
74,music,mixes,elements,mix,music elements,9
75,music,mixes,elements,mix,music elements,9
76,music,mixes,elements,mix,music elements,9
77,novel,mixes,characters,mix,novel characters,8
78,novel,mixes,characters,mix,novel characters,8
79,novel,mixes,characters,mix,novel characters,8
80,novel,mixes,characters,mix,novel characters,8
81,novel,mixes,characters,mix,novel characters,8
82,novel,mixes,characters,mix,novel characters,8
83,novel,mixes,characters,mix,novel characters,8
84,novel,mixes,characters,mix,novel characters,8
85,album,mixes,elements,mix,album elements,7
86,album,mixes,songs,mix,album songs,7
87,album,mixes,elements,mix,album elements,7
88,album,mixes,songs,mix,album songs,7
89,album,mixes,songs,mix,album songs,7
90,album,mixes,songs,mix,album songs,7
91,album,mixes,elements,mix,album elements,7
92,album,mixed,songs,mix,album songs,7
93,album,mixes,elements,mix,album elements,7
94,album,mixes,elements,mix,album elements,7
95,album,mixed,elements,mix,album elements,7
96,album,mixes,elements,mix,album elements,7
97,album,mixes,songs,mix,album songs,7
98,album,mixed,songs,mix,album songs,7
99,band,mixing,genres,mix,band genres,6
100,band,mixes,influences,mix,band influences,6
101,album,mixed,band,mix,album band,6
102,band,mixes,genres,mix,band genres,6
103,band,mixes,genres,mix,band genres,6
104,album,mixed,band,mix,album band,6
105,band,mixes,genres,mix,band genres,6
106,album,mixed,band,mix,album band,6
107,band,mixes,influences,mix,band influences,6
108,band,mixes,influences,mix,band influences,6
109,band,mixes,influences,mix,band influences,6
110,band,mixes,genres,mix,band genres,6
111,band,mixing,influences,mix,band influences,6
112,band,mixed,genres,mix,band genres,6
113,band,mixed,influences,mix,band influences,6
114,album,mixed,band,mix,album band,6
115,album,mixed,band,mix,album band,6
116,album,mixed,band,mix,album band,6
117,music,mixed,styles,mix,music styles,5
118,music,mixes,styles,mix,music styles,5
119,film,mixed,footage,mix,film footage,5
120,film,mixes,footage,mix,film footage,5
121,film,mixes,footage,mix,film footage,5
122,music,mixes,styles,mix,music styles,5
123,album,mixes,influences,mix,album influences,5
124,album,mixes,influences,mix,album influences,5
125,film,mixes,footage,mix,film footage,5
126,album,mixes,influences,mix,album influences,5
127,album,mixes,influences,mix,album influences,5
128,album,mixes,influences,mix,album influences,5
129,music,mixing,styles,mix,music styles,5
130,music,mixes,styles,mix,music styles,5
131,film,mixes,footage,mix,film footage,5
132,band,mixing,funk,mix,band funk,4
133,band,mixing,funk,mix,band funk,4
134,band,mixed,styles,mix,band styles,4
135,style,mixes,influences,mix,style influences,4
136,band,mixed,styles,mix,band styles,4
137,band,mixed,songs,mix,band songs,4
138,band,mixing,funk,mix,band funk,4
139,band,mixed,song,mix,band song,4
140,band,mix,styles,mix,band styles,4
141,style,mixes,influences,mix,style influences,4
142,work,mixed,style,mix,work style,4
143,band,mixing,funk,mix,band funk,4
144,work,mixed,style,mix,work style,4
145,style,mixes,influences,mix,style influences,4
146,work,mixed,style,mix,work style,4
147,band,mixed,songs,mix,band songs,4
148,band,mixed,song,mix,band song,4
149,band,mixed,songs,mix,band songs,4
150,band,mixed,song,mix,band song,4
151,band,mixed,song,mix,band song,4
152,style,mixes,influences,mix,style influences,4
153,band,mixed,songs,mix,band songs,4
154,work,mixed,style,mix,work style,4
155,band,mixes,styles,mix,band styles,4
156,music,mixes,instruments,mix,music instruments,3
157,album,mixed,duo,mix,album duo,3
158,album,mixes,variety,mix,album variety,3
159,song,mixes,pop,mix,song pop,3
160,album,mixes,styles,mix,album styles,3
161,uniform,mixed,elements,mix,uniform elements,3
162,features,mixes,domes,mix,features domes,3
163,music,mixes,instruments,mix,music instruments,3
164,features,mixes,domes,mix,features domes,3
165,cultures,mixed,most,mix,cultures most,3
166,story,mixes,elements,mix,story elements,3
167,cultures,mixed,most,mix,cultures most,3
168,pair,mixed,album,mix,pair album,3
169,show,mixes,music,mix,show music,3
170,author,mixed,traditions,mix,author traditions,3
171,series,mixing,characters,mix,series characters,3
172,show,mixes,music,mix,show music,3
173,band,mixed,tracks,mix,band tracks,3
174,tribes,mixed,tribes,mix,tribes tribes,3
175,song,mixes,pop,mix,song pop,3
176,game,mixed,elements,mix,game elements,3
177,features,mixes,domes,mix,features domes,3
178,album,mixed,guitarist,mix,album guitarist,3
179,man,mixes,blood,mix,man blood,3
180,man,mixes,blood,mix,man blood,3
181,series,mixes,characters,mix,series characters,3
182,music,mixes,instruments,mix,music instruments,3
183,song,mixed,styles,mix,song styles,3
184,album,mixed,duo,mix,album duo,3
185,show,mixes,music,mix,show music,3
186,song,mixed,elements,mix,song elements,3
187,song,mixes,elements,mix,song elements,3
188,band,mixed,tracks,mix,band tracks,3
189,album,mixes,styles,mix,album styles,3
190,album,mixed,styles,mix,album styles,3
191,story,mixes,elements,mix,story elements,3
192,uniform,mixed,elements,mix,uniform elements,3
193,band,mixed,tracks,mix,band tracks,3
194,album,mixed,producer,mix,album producer,3
195,album,mixed,producer,mix,album producer,3
196,album,mixed,guitarist,mix,album guitarist,3
197,pair,mixed,album,mix,pair album,3
198,tribes,mixed,tribes,mix,tribes tribes,3
199,album,mixed,duo,mix,album duo,3
200,album,mixed,producer,mix,album producer,3
201,story,mixes,elements,mix,story elements,3
202,cultures,mixed,most,mix,cultures most,3
203,song,mixes,pop,mix,song pop,3
204,song,mixes,elements,mix,song elements,3
