,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,boats,moored,place,moor,boats place,2
1,ships,moored,electricity,moor,ships electricity,2
2,ships,moored,horns,moor,ships horns,2
3,ships,moored,electricity,moor,ships electricity,2
4,gun,moored,creek,moor,gun creek,2
5,ships,moored,horns,moor,ships horns,2
6,boats,moored,place,moor,boats place,2
7,gun,moored,creek,moor,gun creek,2
8,commanders,moored,consuls,moor,commanders consuls,1
9,vessels,moored,fire,moor,vessels fire,1
10,ship,moored,passengers,moor,ship passengers,1
11,fisherman,moor,boats,moor,fisherman boats,1
12,vessel,moored,upkeep,moor,vessel upkeep,1
13,remains,moored,ship,moor,remains ship,1
14,ship,moored,downtown,moor,ship downtown,1
15,family,moored,boats,moor,family boats,1
16,submarine,moored,preparations,moor,submarine preparations,1
17,seamen,moor,ships,moor,seamen ships,1
18,charge,moored,mines,moor,charge mines,1
19,page,moored,officers,moor,page officers,1
20,ship,moored,prisoners,moor,ship prisoners,1
21,merchants,moored,ships,moor,merchants ships,1
22,states,moored,boats,moor,states boats,1
23,ship,moored,remainder,moor,ship remainder,1
24,kiters,moor,kite,moor,kiters kite,1
25,ship,moored,cargo,moor,ship cargo,1
26,vessels,moored,herds,moor,vessels herds,1
27,system,moored,measurements,moor,system measurements,1
28,destroyers,moored,bombs,moor,destroyers bombs,1
29,expedition,moored,instruments,moor,expedition instruments,1
30,variants,moor,work,moor,variants work,1
31,platform,moored,completion,moor,platform completion,1
32,ship,moored,quarter,moor,ship quarter,1
33,ship,moored,body,moor,ship body,1
34,sound,moored,buoys,moor,sound buoys,1
35,boats,moored,miners,moor,boats miners,1
36,ship,moored,beacon,moor,ship beacon,1
37,buoy,moored,east,moor,buoy east,1
38,boat,moored,stone,moor,boat stone,1
39,hours,moored,yacht,moor,hours yacht,1
40,two,moored,houseboats,moor,two houseboats,1
41,uses,moored,instruments,moor,uses instruments,1
