,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,dinosaur,nestling,snout,nestle,dinosaur snout,1
1,village,nestles,east,nestle,village east,1
2,park,nestles,number,nestle,park number,1
3,park,nestles,network,nestle,park network,1
4,wood,nestled,geography,nestle,wood geography,1
5,song,nestles,rhythm,nestle,song rhythm,1
6,sun,nestles,nightingale,nestle,sun nightingale,1
7,church,nestles,drive,nestle,church drive,1
8,shapes,nestled,one,nestle,shapes one,1
9,right,nestled,sources,nestle,right sources,1
10,portal,nestles,coat,nestle,portal coat,1
11,possessions,nestle,way,nestle,possessions way,1
12,one,nestles,lake,nestle,one lake,1
