,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,captain,ordered,crew,order,captain crew,44
1,captain,ordered,crew,order,captain crew,44
2,captain,ordered,crew,order,captain crew,44
3,captain,ordered,crew,order,captain crew,44
4,captain,ordered,crew,order,captain crew,44
5,captain,ordered,crew,order,captain crew,44
6,captain,ordered,crew,order,captain crew,44
7,captain,ordered,crew,order,captain crew,44
8,captain,ordered,crew,order,captain crew,44
9,captain,ordered,crew,order,captain crew,44
10,captain,ordered,crew,order,captain crew,44
11,captain,ordered,crew,order,captain crew,44
12,captain,ordered,crew,order,captain crew,44
13,captain,ordered,crew,order,captain crew,44
14,captain,ordered,crew,order,captain crew,44
15,captain,ordered,crew,order,captain crew,44
16,captain,ordered,crew,order,captain crew,44
17,captain,ordered,crew,order,captain crew,44
18,captain,ordered,crew,order,captain crew,44
19,captain,ordered,crew,order,captain crew,44
20,captain,ordered,crew,order,captain crew,44
21,captain,orders,crew,order,captain crew,44
22,captain,ordered,crew,order,captain crew,44
23,captain,ordered,crew,order,captain crew,44
24,captain,ordered,crew,order,captain crew,44
25,captain,orders,crew,order,captain crew,44
26,captain,ordered,crew,order,captain crew,44
27,captain,ordered,crew,order,captain crew,44
28,captain,ordered,crew,order,captain crew,44
29,captain,ordered,crew,order,captain crew,44
30,captain,ordered,crew,order,captain crew,44
31,captain,ordered,crew,order,captain crew,44
32,captain,ordered,crew,order,captain crew,44
33,captain,ordered,crew,order,captain crew,44
34,captain,ordered,crew,order,captain crew,44
35,captain,ordered,crew,order,captain crew,44
36,captain,orders,crew,order,captain crew,44
37,captain,ordered,crew,order,captain crew,44
38,captain,ordered,crew,order,captain crew,44
39,captain,ordered,crew,order,captain crew,44
40,captain,ordered,crew,order,captain crew,44
41,captain,ordered,crew,order,captain crew,44
42,captain,ordered,crew,order,captain crew,44
43,captain,ordered,crew,order,captain crew,44
44,court,ordered,government,order,court government,41
45,court,ordered,government,order,court government,41
46,court,orders,government,order,court government,41
47,court,ordered,government,order,court government,41
48,court,ordered,government,order,court government,41
49,court,ordered,government,order,court government,41
50,court,ordered,government,order,court government,41
51,court,ordered,government,order,court government,41
52,court,ordered,government,order,court government,41
53,court,ordered,government,order,court government,41
54,court,ordered,government,order,court government,41
55,court,ordered,government,order,court government,41
56,court,ordered,government,order,court government,41
57,court,ordered,government,order,court government,41
58,court,ordered,government,order,court government,41
59,court,ordered,government,order,court government,41
60,court,ordered,government,order,court government,41
61,court,ordered,government,order,court government,41
62,court,ordered,government,order,court government,41
63,court,ordered,government,order,court government,41
64,court,ordered,government,order,court government,41
65,court,ordered,government,order,court government,41
66,court,ordered,government,order,court government,41
67,court,ordered,government,order,court government,41
