,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,book,paints,picture,paint,book picture,26
1,book,painted,picture,paint,book picture,26
2,book,paints,picture,paint,book picture,26
3,book,paints,picture,paint,book picture,26
4,book,painted,picture,paint,book picture,26
5,book,paints,picture,paint,book picture,26
6,book,painted,picture,paint,book picture,26
7,book,paints,picture,paint,book picture,26
8,book,painted,picture,paint,book picture,26
9,book,paints,picture,paint,book picture,26
10,book,painted,picture,paint,book picture,26
11,book,paints,picture,paint,book picture,26
12,book,paints,picture,paint,book picture,26
13,book,paints,picture,paint,book picture,26
14,book,paints,picture,paint,book picture,26
15,book,painted,picture,paint,book picture,26
16,book,paints,picture,paint,book picture,26
17,book,paints,picture,paint,book picture,26
18,book,paints,picture,paint,book picture,26
19,book,painting,picture,paint,book picture,26
20,book,painted,picture,paint,book picture,26
21,book,paints,picture,paint,book picture,26
22,book,paints,picture,paint,book picture,26
23,book,paints,picture,paint,book picture,26
24,book,paints,picture,paint,book picture,26
25,book,paints,picture,paint,book picture,26
26,artist,painted,portrait,paint,artist portrait,24
27,artist,painted,portrait,paint,artist portrait,24
28,artist,painted,portrait,paint,artist portrait,24
29,artist,painted,portrait,paint,artist portrait,24
30,artist,painted,portrait,paint,artist portrait,24
31,artist,painted,portrait,paint,artist portrait,24
32,artist,painted,portrait,paint,artist portrait,24
33,artist,painted,portrait,paint,artist portrait,24
34,artist,painted,portrait,paint,artist portrait,24
35,artist,painted,portrait,paint,artist portrait,24
36,artist,painted,portrait,paint,artist portrait,24
37,artist,painted,portrait,paint,artist portrait,24
38,artist,painted,portrait,paint,artist portrait,24
39,artist,painted,portrait,paint,artist portrait,24
40,artist,paint,portrait,paint,artist portrait,24
41,artist,painting,portrait,paint,artist portrait,24
42,artist,painted,portrait,paint,artist portrait,24
43,artist,painted,portrait,paint,artist portrait,24
44,artist,painted,portrait,paint,artist portrait,24
45,artist,painted,portrait,paint,artist portrait,24
46,artist,painted,portrait,paint,artist portrait,24
47,artist,painted,portrait,paint,artist portrait,24
48,artist,painted,portrait,paint,artist portrait,24
49,artist,painted,portrait,paint,artist portrait,24
50,novel,paints,picture,paint,novel picture,17
51,novel,paints,picture,paint,novel picture,17
52,novel,paints,picture,paint,novel picture,17
53,novel,paints,picture,paint,novel picture,17
54,novel,paints,picture,paint,novel picture,17
55,novel,paints,picture,paint,novel picture,17
56,novel,painted,picture,paint,novel picture,17
57,novel,paints,picture,paint,novel picture,17
58,novel,paints,picture,paint,novel picture,17
59,novel,paints,picture,paint,novel picture,17
60,novel,paints,picture,paint,novel picture,17
61,novel,paints,picture,paint,novel picture,17
62,novel,paints,picture,paint,novel picture,17
63,novel,paints,picture,paint,novel picture,17
64,novel,paints,picture,paint,novel picture,17
65,novel,painted,picture,paint,novel picture,17
66,novel,paints,picture,paint,novel picture,17
67,portrait,painted,artist,paint,portrait artist,15
68,portrait,painted,artist,paint,portrait artist,15
69,portrait,painted,artist,paint,portrait artist,15
70,portrait,painted,artist,paint,portrait artist,15
71,portrait,painted,artist,paint,portrait artist,15
72,portrait,painted,artist,paint,portrait artist,15
73,portrait,painted,artist,paint,portrait artist,15
74,portrait,painted,artist,paint,portrait artist,15
75,portrait,painted,artist,paint,portrait artist,15
76,portrait,painted,artist,paint,portrait artist,15
77,portrait,painted,artist,paint,portrait artist,15
78,portrait,painted,artist,paint,portrait artist,15
79,portrait,painted,artist,paint,portrait artist,15
80,portrait,painted,artist,paint,portrait artist,15
81,portrait,painted,artist,paint,portrait artist,15
82,artist,painted,mural,paint,artist mural,13
83,artist,painted,mural,paint,artist mural,13
84,artist,painted,mural,paint,artist mural,13
85,artist,painted,mural,paint,artist mural,13
86,artist,painted,mural,paint,artist mural,13
87,artist,painted,mural,paint,artist mural,13
88,artist,painted,mural,paint,artist mural,13
89,artist,painted,mural,paint,artist mural,13
90,artist,painted,mural,paint,artist mural,13
91,artist,painted,mural,paint,artist mural,13
92,artist,painted,mural,paint,artist mural,13
93,artist,painted,mural,paint,artist mural,13
94,artist,painted,mural,paint,artist mural,13
95,report,paints,picture,paint,report picture,12
96,film,paints,picture,paint,film picture,12
97,report,paints,picture,paint,report picture,12
98,report,paints,picture,paint,report picture,12
99,report,painted,picture,paint,report picture,12
100,report,painted,picture,paint,report picture,12
101,film,paints,picture,paint,film picture,12
102,report,paints,picture,paint,report picture,12
103,report,painted,picture,paint,report picture,12
104,film,paints,picture,paint,film picture,12
105,film,painted,picture,paint,film picture,12
106,film,painted,picture,paint,film picture,12
107,report,painted,picture,paint,report picture,12
108,report,painted,picture,paint,report picture,12
109,film,paints,picture,paint,film picture,12
110,film,paints,picture,paint,film picture,12
111,film,painted,picture,paint,film picture,12
112,film,paints,picture,paint,film picture,12
113,film,painted,picture,paint,film picture,12
114,report,paints,picture,paint,report picture,12
115,film,paints,picture,paint,film picture,12
116,report,painted,picture,paint,report picture,12
117,film,paints,picture,paint,film picture,12
118,report,painted,picture,paint,report picture,12
119,song,paints,picture,paint,song picture,11
120,song,paints,picture,paint,song picture,11
121,song,paints,picture,paint,song picture,11
122,song,paints,picture,paint,song picture,11
123,song,paints,picture,paint,song picture,11
124,song,paints,picture,paint,song picture,11
125,song,paints,picture,paint,song picture,11
126,song,paints,picture,paint,song picture,11
127,song,paints,picture,paint,song picture,11
128,song,paints,picture,paint,song picture,11
129,song,paints,picture,paint,song picture,11
130,analysis,paints,picture,paint,analysis picture,9
131,analysis,paints,picture,paint,analysis picture,9
132,analysis,paints,picture,paint,analysis picture,9
133,analysis,paints,picture,paint,analysis picture,9
134,analysis,paints,picture,paint,analysis picture,9
135,lyrics,paint,picture,paint,lyrics picture,9
136,book,paints,portrait,paint,book portrait,9
137,lyrics,paint,picture,paint,lyrics picture,9
138,lyrics,paint,picture,paint,lyrics picture,9
139,book,painted,portrait,paint,book portrait,9
140,lyrics,paint,picture,paint,lyrics picture,9
141,lyrics,paint,picture,paint,lyrics picture,9
142,book,paints,portrait,paint,book portrait,9
143,analysis,paints,picture,paint,analysis picture,9
144,book,paints,portrait,paint,book portrait,9
145,analysis,paints,picture,paint,analysis picture,9
146,book,paints,portrait,paint,book portrait,9
147,lyrics,painted,picture,paint,lyrics picture,9
148,lyrics,paint,picture,paint,lyrics picture,9
149,lyrics,paint,picture,paint,lyrics picture,9
150,lyrics,paint,picture,paint,lyrics picture,9
151,book,paints,portrait,paint,book portrait,9
152,book,paints,portrait,paint,book portrait,9
153,book,paints,portrait,paint,book portrait,9
154,analysis,paints,picture,paint,analysis picture,9
155,analysis,paints,picture,paint,analysis picture,9
156,book,painted,portrait,paint,book portrait,9
157,media,painted,picture,paint,media picture,8
158,media,painted,picture,paint,media picture,8
159,media,painted,picture,paint,media picture,8
160,reports,paint,picture,paint,reports picture,8
161,media,painted,picture,paint,media picture,8
162,media,paints,picture,paint,media picture,8
163,reports,painted,picture,paint,reports picture,8
164,media,painted,picture,paint,media picture,8
165,reports,paint,picture,paint,reports picture,8
166,reports,painted,picture,paint,reports picture,8
167,reports,paint,picture,paint,reports picture,8
168,media,paint,picture,paint,media picture,8
169,reports,paint,picture,paint,reports picture,8
170,media,painted,picture,paint,media picture,8
171,reports,painted,picture,paint,reports picture,8
172,reports,paint,picture,paint,reports picture,8
173,artist,paints,portraits,paint,artist portraits,7
174,author,paints,picture,paint,author picture,7
175,artist,painted,portraits,paint,artist portraits,7
176,artist,painted,portraits,paint,artist portraits,7
177,author,paints,picture,paint,author picture,7
178,author,paints,picture,paint,author picture,7
179,author,painted,picture,paint,author picture,7
180,author,paints,picture,paint,author picture,7
181,artist,painted,portraits,paint,artist portraits,7
182,artist,painted,portraits,paint,artist portraits,7
183,author,paints,picture,paint,author picture,7
184,author,paints,picture,paint,author picture,7
185,artist,paints,portraits,paint,artist portraits,7
186,artist,painted,portraits,paint,artist portraits,7
187,stories,paint,picture,paint,stories picture,6
