,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,driver,parks,car,park,driver car,8
1,driver,parked,car,park,driver car,8
2,driver,parks,car,park,driver car,8
3,driver,parked,car,park,driver car,8
4,driver,parks,car,park,driver car,8
5,driver,parked,car,park,driver car,8
6,driver,parked,car,park,driver car,8
7,driver,parked,car,park,driver car,8
8,man,parked,car,park,man car,5
9,man,parked,car,park,man car,5
10,man,parks,car,park,man car,5
11,man,parked,car,park,man car,5
12,man,parked,car,park,man car,5
13,people,park,cars,park,people cars,4
14,demonstrators,parked,cars,park,demonstrators cars,4
15,people,park,cars,park,people cars,4
16,team,parked,car,park,team car,4
17,team,parked,car,park,team car,4
18,demonstrators,parked,cars,park,demonstrators cars,4
19,people,park,cars,park,people cars,4
20,team,parked,car,park,team car,4
21,demonstrators,parked,cars,park,demonstrators cars,4
22,demonstrators,parked,cars,park,demonstrators cars,4
23,people,park,cars,park,people cars,4
24,team,parked,car,park,team car,4
25,airline,parked,aircraft,park,airline aircraft,2
26,drivers,park,vehicles,park,drivers vehicles,2
27,team,parked,races,park,team races,2
28,residents,parked,vehicles,park,residents vehicles,2
29,user,parks,vehicle,park,user vehicle,2
30,customers,park,vehicles,park,customers vehicles,2
31,father,parks,car,park,father car,2
32,father,parked,car,park,father car,2
33,attendants,parked,cars,park,attendants cars,2
34,team,parked,races,park,team races,2
35,user,parked,vehicle,park,user vehicle,2
36,police,parked,car,park,police car,2
37,residents,parked,vehicles,park,residents vehicles,2
38,driver,parked,van,park,driver van,2
39,police,parked,car,park,police car,2
40,vehicle,parked,north,park,vehicle north,2
41,driver,parked,van,park,driver van,2
42,vehicle,parked,north,park,vehicle north,2
43,airline,parked,aircraft,park,airline aircraft,2
44,attendants,parked,cars,park,attendants cars,2
45,driver,parked,vehicle,park,driver vehicle,2
46,customers,park,vehicles,park,customers vehicles,2
47,driver,parked,vehicle,park,driver vehicle,2
48,drivers,park,vehicles,park,drivers vehicles,2
49,victim,parked,scooter,park,victim scooter,1
50,witness,parked,car,park,witness car,1
51,policemen,parked,cars,park,policemen cars,1
52,one,parks,car,park,one car,1
53,officer,parked,car,park,officer car,1
54,weapons,parked,aircraft,park,weapons aircraft,1
55,car,parked,team,park,car team,1
56,drivers,parked,taxis,park,drivers taxis,1
57,car,parked,spots,park,car spots,1
58,engineer,parked,train,park,engineer train,1
59,drivers,parking,cars,park,drivers cars,1
60,six,parked,room,park,six room,1
61,couple,parked,front,park,couple front,1
62,claimant,parked,car,park,claimant car,1
63,person,parking,vehicle,park,person vehicle,1
64,residents,parked,cars,park,residents cars,1
65,car,parked,way,park,car way,1
66,group,parked,vehicle,park,group vehicle,1
67,attack,parked,truck,park,attack truck,1
68,compartment,parking,mechanism,park,compartment mechanism,1
69,protesters,parked,truck,park,protesters truck,1
70,parents,park,cars,park,parents cars,1
71,fire,parked,vehicles,park,fire vehicles,1
72,battery,parked,four,park,battery four,1
73,officers,parking,vehicles,park,officers vehicles,1
74,families,park,campers,park,families campers,1
75,aircraft,parked,airplanes,park,aircraft airplanes,1
76,programme,parked,car,park,programme car,1
77,camper,park,camper,park,camper camper,1
78,grandson,parked,car,park,grandson car,1
79,trio,parked,car,park,trio car,1
80,cars,parked,bumper,park,cars bumper,1
81,character,parks,vehicle,park,character vehicle,1
82,suspects,parked,car,park,suspects car,1
83,women,parked,cars,park,women cars,1
84,girls,park,vehicles,park,girls vehicles,1
85,gypsies,park,camper,park,gypsies camper,1
86,vans,parked,houses,park,vans houses,1
87,men,parked,truck,park,men truck,1
88,bodyguards,parked,cars,park,bodyguards cars,1
89,bike,parked,trap,park,bike trap,1
90,uncle,parks,van,park,uncle van,1
91,activists,parked,car,park,activists car,1
92,strafed,parked,airplanes,park,strafed airplanes,1
93,man,parked,motorcycle,park,man motorcycle,1
94,officials,parked,truck,park,officials truck,1
95,spotters,park,vehicles,park,spotters vehicles,1
96,vehicle,parked,shooting,park,vehicle shooting,1
97,friend,parked,vehicle,park,friend vehicle,1
98,fans,park,cars,park,fans cars,1
99,aircraft,parking,size,park,aircraft size,1
100,major,parked,vehicle,park,major vehicle,1
101,boys,park,car,park,boys car,1
102,group,parked,car,park,group car,1
103,woman,parked,car,park,woman car,1
104,students,parked,vehicles,park,students vehicles,1
105,homeowners,park,vehicles,park,homeowners vehicles,1
106,team,parked,all,park,team all,1
107,court,parked,homes,park,court homes,1
108,shooting,parked,car,park,shooting car,1
109,police,parked,blocks,park,police blocks,1
110,drive,park,heads,park,drive heads,1
111,owner,parked,car,park,owner car,1
112,men,parked,lorry,park,men lorry,1
113,people,parked,leg,park,people leg,1
114,crew,parked,aircraft,park,crew aircraft,1
115,students,parked,bikes,park,students bikes,1
116,valets,parked,cars,park,valets cars,1
117,vehicle,park,feet,park,vehicle feet,1
118,criminals,park,proceeds,park,criminals proceeds,1
119,men,parked,van,park,men van,1
120,head,parked,side,park,head side,1
121,people,park,vehicles,park,people vehicles,1
122,performance,parked,response,park,performance response,1
123,coachwomen,parked,cars,park,coachwomen cars,1
124,quintet,parked,cars,park,quintet cars,1
125,teams,park,car,park,teams car,1
126,farmer,parked,truck,park,farmer truck,1
127,visitors,park,vehicles,park,visitors vehicles,1
128,lights,parked,turn,park,lights turn,1
129,generals,parked,planes,park,generals planes,1
130,manufacturers,parked,heads,park,manufacturers heads,1
131,cars,parked,closure,park,cars closure,1
132,bomb,parked,aircraft,park,bomb aircraft,1
133,crew,parked,train,park,crew train,1
134,car,parked,block,park,car block,1
135,explosive,parked,victims,park,explosive victims,1
136,girls,park,car,park,girls car,1
137,protectors,park,car,park,protectors car,1
138,city,parked,tractor,park,city tractor,1
139,residents,park,vehicle,park,residents vehicle,1
140,regiment,parked,guns,park,regiment guns,1
141,passerby,parked,truck,park,passerby truck,1
142,trucker,parked,rig,park,trucker rig,1
143,pilots,park,planes,park,pilots planes,1
