,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,teams,participated,championship,participate,teams championship,1481
1,teams,participated,championship,participate,teams championship,1481
2,teams,participated,championship,participate,teams championship,1481
3,teams,participated,championship,participate,teams championship,1481
4,teams,participated,championship,participate,teams championship,1481
5,teams,participated,championship,participate,teams championship,1481
6,teams,participated,championship,participate,teams championship,1481
7,teams,participated,championship,participate,teams championship,1481
8,teams,participated,championship,participate,teams championship,1481
9,teams,participated,championship,participate,teams championship,1481
10,teams,participated,championship,participate,teams championship,1481
11,teams,participated,championship,participate,teams championship,1481
12,teams,participated,championship,participate,teams championship,1481
13,teams,participated,championship,participate,teams championship,1481
14,teams,participated,championship,participate,teams championship,1481
15,teams,participated,championship,participate,teams championship,1481
16,teams,participated,championship,participate,teams championship,1481
17,teams,participated,championship,participate,teams championship,1481
18,teams,participated,championship,participate,teams championship,1481
19,teams,participated,championship,participate,teams championship,1481
20,teams,participated,championship,participate,teams championship,1481
21,teams,participated,championship,participate,teams championship,1481
22,teams,participated,championship,participate,teams championship,1481
23,teams,participated,championship,participate,teams championship,1481
24,teams,participated,championship,participate,teams championship,1481
25,teams,participated,championship,participate,teams championship,1481
26,teams,participated,championship,participate,teams championship,1481
27,teams,participated,championship,participate,teams championship,1481
28,teams,participated,championship,participate,teams championship,1481
29,teams,participated,championship,participate,teams championship,1481
30,teams,participated,championship,participate,teams championship,1481
31,teams,participated,championship,participate,teams championship,1481
32,teams,participated,championship,participate,teams championship,1481
33,teams,participated,championship,participate,teams championship,1481
34,teams,participated,championship,participate,teams championship,1481
35,teams,participated,championship,participate,teams championship,1481
36,teams,participated,championship,participate,teams championship,1481
37,teams,participated,championship,participate,teams championship,1481
38,teams,participated,championship,participate,teams championship,1481
39,teams,participated,championship,participate,teams championship,1481
40,teams,participated,championship,participate,teams championship,1481
41,teams,participated,championship,participate,teams championship,1481
42,teams,participated,championship,participate,teams championship,1481
43,teams,participated,championship,participate,teams championship,1481
44,teams,participated,championship,participate,teams championship,1481
45,teams,participated,championship,participate,teams championship,1481
46,teams,participated,championship,participate,teams championship,1481
47,teams,participated,championship,participate,teams championship,1481
48,teams,participated,championship,participate,teams championship,1481
49,teams,participated,championship,participate,teams championship,1481
50,teams,participated,championship,participate,teams championship,1481
51,teams,participated,championship,participate,teams championship,1481
52,teams,participated,championship,participate,teams championship,1481
53,teams,participated,championship,participate,teams championship,1481
54,teams,participated,championship,participate,teams championship,1481
55,teams,participated,championship,participate,teams championship,1481
56,teams,participated,championship,participate,teams championship,1481
57,teams,participated,championship,participate,teams championship,1481
58,teams,participated,championship,participate,teams championship,1481
59,teams,participated,championship,participate,teams championship,1481
60,teams,participated,championship,participate,teams championship,1481
61,teams,participated,championship,participate,teams championship,1481
62,teams,participated,championship,participate,teams championship,1481
63,teams,participated,championship,participate,teams championship,1481
