,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,proposition,pictures,state,picture,proposition state,2
1,proposition,pictured,state,picture,proposition state,2
2,complaints,pictured,distress,picture,complaints distress,2
3,complaints,pictured,distress,picture,complaints distress,2
4,people,pictured,all,picture,people all,2
5,people,pictured,all,picture,people all,2
6,logo,pictured,drua,picture,logo drua,2
7,logo,picturing,drua,picture,logo drua,2
8,image,pictures,herald,picture,image herald,1
9,arrangement,pictured,homunculus,picture,arrangement homunculus,1
10,papers,picture,duopoly,picture,papers duopoly,1
11,promo,pictures,life,picture,promo life,1
12,artwork,pictures,dog,picture,artwork dog,1
13,material,pictured,people,picture,material people,1
14,side,pictures,statue,picture,side statue,1
15,spandrels,picturing,history,picture,spandrels history,1
16,competition,picture,editor,picture,competition editor,1
17,figure,pictured,mandible,picture,figure mandible,1
18,cover,pictured,victim,picture,cover victim,1
19,station,pictured,shot,picture,station shot,1
20,genus,pictured,plane,picture,genus plane,1
21,copper,pictured,genus,picture,copper genus,1
22,triangle,pictured,triangle,picture,triangle triangle,1
23,arrangement,pictured,matches,picture,arrangement matches,1
24,seals,picture,saints,picture,seals saints,1
25,tile,picturing,skunk,picture,tile skunk,1
26,novel,pictures,woman,picture,novel woman,1
27,piece,pictures,event,picture,piece event,1
28,explorer,pictured,species,picture,explorer species,1
29,hand,picture,discs,picture,hand discs,1
30,father,picturing,swan,picture,father swan,1
31,logo,pictures,brain,picture,logo brain,1
32,antiquarian,pictured,race,picture,antiquarian race,1
33,edition,pictures,man,picture,edition man,1
34,monument,pictures,child,picture,monument child,1
35,art,pictures,male,picture,art male,1
36,works,picture,girl,picture,works girl,1
37,grandson,picturing,incidents,picture,grandson incidents,1
38,authors,pictured,episode,picture,authors episode,1
39,scene,pictures,abundance,picture,scene abundance,1
40,players,picture,world,picture,players world,1
41,screenwriter,pictured,scene,picture,screenwriter scene,1
42,one,pictures,group,picture,one group,1
43,cover,pictured,outline,picture,cover outline,1
44,continuators,pictured,battle,picture,continuators battle,1
45,relation,pictures,relation,picture,relation relation,1
46,proposition,pictures,world,picture,proposition world,1
47,propaganda,pictured,war,picture,propaganda war,1
48,films,picture,sufferings,picture,films sufferings,1
49,maker,pictured,nightmare,picture,maker nightmare,1
50,one,pictures,angel,picture,one angel,1
51,clip,pictures,singer,picture,clip singer,1
52,squad,pictured,squad,picture,squad squad,1
53,novel,pictured,effort,picture,novel effort,1
54,clip,pictures,wedding,picture,clip wedding,1
55,coins,picture,sites,picture,coins sites,1
56,dualism,pictures,existence,picture,dualism existence,1
57,vignette,pictures,scene,picture,vignette scene,1
58,documentary,pictured,cases,picture,documentary cases,1
59,promotions,pictured,antagonist,picture,promotions antagonist,1
60,painting,pictured,history,picture,painting history,1
61,episode,picture,people,picture,episode people,1
62,movie,pictures,hardship,picture,movie hardship,1
63,player,pictured,places,picture,player places,1
64,film,pictures,parts,picture,film parts,1
65,text,pictures,dream,picture,text dream,1
66,layout,pictured,nebula,picture,layout nebula,1
67,author,pictures,tragedy,picture,author tragedy,1
68,books,picture,trees,picture,books trees,1
69,work,pictured,bucentaur,picture,work bucentaur,1
70,article,pictured,conflict,picture,article conflict,1
71,school,pictured,clash,picture,school clash,1
72,earliest,pictures,narrative,picture,earliest narrative,1
73,cover,pictured,group,picture,cover group,1
74,coins,picture,head,picture,coins head,1
75,motion,pictures,action,picture,motion action,1
76,visitor,picturing,scenes,picture,visitor scenes,1
77,photographs,picture,void,picture,photographs void,1
78,audience,picture,people,picture,audience people,1
79,part,pictures,substitution,picture,part substitution,1
80,papers,pictured,medium,picture,papers medium,1
81,versions,picture,knowledge,picture,versions knowledge,1
82,authors,pictured,earth,picture,authors earth,1
83,seal,pictured,shows,picture,seal shows,1
84,page,pictured,men,picture,page men,1
85,mind,pictures,village,picture,mind village,1
86,bust,pictures,man,picture,bust man,1
87,grandson,pictured,garden,picture,grandson garden,1
88,book,pictures,schoolgirls,picture,book schoolgirls,1
89,collages,picture,sketches,picture,collages sketches,1
90,buildings,pictured,houses,picture,buildings houses,1
91,copy,pictured,male,picture,copy male,1
92,register,pictures,man,picture,register man,1
93,pediment,pictured,bears,picture,pediment bears,1
94,shipbuilder,pictured,longship,picture,shipbuilder longship,1
95,name,picture,standards,picture,name standards,1
96,game,pictured,consists,picture,game consists,1
97,cartoon,pictured,group,picture,cartoon group,1
98,bottom,pictured,scalp,picture,bottom scalp,1
99,work,pictured,agony,picture,work agony,1
100,eyeglasses,pictured,artists,picture,eyeglasses artists,1
101,synagogues,pictured,shuls,picture,synagogues shuls,1
102,children,picture,storybooks,picture,children storybooks,1
103,type,pictures,system,picture,type system,1
104,jacket,pictured,photo,picture,jacket photo,1
105,stone,pictured,gift,picture,stone gift,1
106,narrative,pictures,breakdown,picture,narrative breakdown,1
107,play,pictures,men,picture,play men,1
108,people,pictured,attempt,picture,people attempt,1
109,tartan,pictured,dates,picture,tartan dates,1
110,results,picture,evolution,picture,results evolution,1
111,artwork,pictures,words,picture,artwork words,1
112,stamps,pictured,objects,picture,stamps objects,1
113,calendar,pictures,all,picture,calendar all,1
114,person,pictured,thereon,picture,person thereon,1
115,text,pictures,man,picture,text man,1
116,song,pictures,protagonist,picture,song protagonist,1
117,article,pictured,life,picture,article life,1
118,several,pictured,car,picture,several car,1
119,gangsa,pictured,displays,picture,gangsa displays,1
120,sleeve,pictured,covers,picture,sleeve covers,1
121,works,pictured,people,picture,works people,1
122,type,pictures,society,picture,type society,1
123,flight,pictured,liberation,picture,flight liberation,1
124,cartoons,picture,editor,picture,cartoons editor,1
125,dreams,pictured,empire,picture,dreams empire,1
126,narrative,pictured,version,picture,narrative version,1
127,engravings,picture,symbols,picture,engravings symbols,1
128,decoration,pictured,room,picture,decoration room,1
129,landmark,pictured,model,picture,landmark model,1
130,sirens,pictured,alert,picture,sirens alert,1
131,myths,pictured,government,picture,myths government,1
