,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,team,played,games,play,team games,943
1,team,plays,games,play,team games,943
2,team,plays,games,play,team games,943
3,team,plays,games,play,team games,943
4,team,played,games,play,team games,943
5,team,played,games,play,team games,943
6,team,played,games,play,team games,943
7,team,plays,games,play,team games,943
8,team,plays,games,play,team games,943
9,team,played,games,play,team games,943
10,team,plays,games,play,team games,943
11,team,played,games,play,team games,943
12,team,plays,games,play,team games,943
13,team,played,games,play,team games,943
14,team,playing,games,play,team games,943
15,team,plays,games,play,team games,943
16,team,plays,games,play,team games,943
17,team,plays,games,play,team games,943
18,team,played,games,play,team games,943
19,team,played,games,play,team games,943
20,team,played,games,play,team games,943
21,team,played,games,play,team games,943
22,team,plays,games,play,team games,943
23,team,played,games,play,team games,943
24,team,played,games,play,team games,943
25,team,plays,games,play,team games,943
26,team,playing,games,play,team games,943
27,team,played,games,play,team games,943
28,team,played,games,play,team games,943
29,team,played,games,play,team games,943
30,team,played,games,play,team games,943
31,team,played,games,play,team games,943
32,team,plays,games,play,team games,943
33,team,played,games,play,team games,943
34,team,plays,games,play,team games,943
35,team,played,games,play,team games,943
36,team,played,games,play,team games,943
37,team,played,games,play,team games,943
38,team,played,games,play,team games,943
39,team,plays,games,play,team games,943
40,team,played,games,play,team games,943
41,team,played,games,play,team games,943
42,team,played,games,play,team games,943
43,team,played,games,play,team games,943
44,team,played,games,play,team games,943
45,team,played,games,play,team games,943
46,team,played,games,play,team games,943
47,team,played,games,play,team games,943
48,team,played,games,play,team games,943
49,team,playing,games,play,team games,943
50,team,played,games,play,team games,943
51,team,played,games,play,team games,943
52,team,playing,games,play,team games,943
53,team,played,games,play,team games,943
54,team,plays,games,play,team games,943
55,team,played,games,play,team games,943
56,team,played,games,play,team games,943
57,team,plays,games,play,team games,943
58,team,played,games,play,team games,943
59,team,played,games,play,team games,943
60,team,played,games,play,team games,943
61,team,plays,games,play,team games,943
62,team,played,games,play,team games,943
63,team,played,games,play,team games,943
64,team,played,games,play,team games,943
65,team,plays,games,play,team games,943
66,team,played,games,play,team games,943
67,team,played,games,play,team games,943
68,team,played,games,play,team games,943
69,team,played,games,play,team games,943
70,team,plays,games,play,team games,943
71,team,playing,games,play,team games,943
72,team,played,games,play,team games,943
73,team,play,games,play,team games,943
74,team,played,games,play,team games,943
75,team,playing,games,play,team games,943
76,team,played,games,play,team games,943
77,team,playing,games,play,team games,943
78,team,plays,games,play,team games,943
79,team,played,games,play,team games,943
80,team,playing,games,play,team games,943
81,team,played,games,play,team games,943
82,team,played,games,play,team games,943
83,team,played,games,play,team games,943
84,team,played,games,play,team games,943
85,team,played,games,play,team games,943
86,team,played,games,play,team games,943
87,team,played,games,play,team games,943
88,team,played,games,play,team games,943
89,team,played,games,play,team games,943
90,team,played,games,play,team games,943
91,team,playing,games,play,team games,943
92,team,play,games,play,team games,943
93,team,playing,games,play,team games,943
94,team,played,games,play,team games,943
95,team,plays,games,play,team games,943
96,team,played,games,play,team games,943
97,team,playing,games,play,team games,943
98,team,playing,games,play,team games,943
99,team,plays,games,play,team games,943
100,team,plays,games,play,team games,943
101,team,playing,games,play,team games,943
102,team,plays,games,play,team games,943
103,team,played,games,play,team games,943
