,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,film,portrays,life,portray,film life,67
1,film,portrays,life,portray,film life,67
2,film,portrays,life,portray,film life,67
3,film,portrays,life,portray,film life,67
4,film,portrays,life,portray,film life,67
5,film,portrays,life,portray,film life,67
6,film,portrays,life,portray,film life,67
7,film,portrays,life,portray,film life,67
8,film,portrays,life,portray,film life,67
9,film,portrays,life,portray,film life,67
10,film,portrays,life,portray,film life,67
11,film,portrays,life,portray,film life,67
12,film,portrays,life,portray,film life,67
13,film,portrays,life,portray,film life,67
14,film,portrays,life,portray,film life,67
15,film,portrays,life,portray,film life,67
16,film,portrays,life,portray,film life,67
17,film,portrays,life,portray,film life,67
18,film,portrays,life,portray,film life,67
19,film,portrays,life,portray,film life,67
20,film,portrays,life,portray,film life,67
21,film,portrays,life,portray,film life,67
22,film,portrays,life,portray,film life,67
23,film,portrays,life,portray,film life,67
24,film,portrays,life,portray,film life,67
25,film,portrays,life,portray,film life,67
26,film,portrays,life,portray,film life,67
27,film,portrays,life,portray,film life,67
28,film,portrays,life,portray,film life,67
29,film,portrays,life,portray,film life,67
30,film,portrays,life,portray,film life,67
31,film,portrays,life,portray,film life,67
32,film,portrays,life,portray,film life,67
33,film,portrays,life,portray,film life,67
34,film,portrays,life,portray,film life,67
35,film,portrays,life,portray,film life,67
36,film,portrays,life,portray,film life,67
37,film,portrays,life,portray,film life,67
38,film,portrays,life,portray,film life,67
39,film,portrays,life,portray,film life,67
40,film,portrays,life,portray,film life,67
41,film,portrays,life,portray,film life,67
42,film,portrays,life,portray,film life,67
43,film,portrays,life,portray,film life,67
44,film,portrays,life,portray,film life,67
45,film,portrays,life,portray,film life,67
46,film,portrays,life,portray,film life,67
47,film,portrays,life,portray,film life,67
48,film,portrays,life,portray,film life,67
49,film,portrayed,life,portray,film life,67
50,film,portrays,life,portray,film life,67
51,film,portrays,life,portray,film life,67
52,film,portrays,life,portray,film life,67
53,film,portrays,life,portray,film life,67
54,film,portrays,life,portray,film life,67
55,film,portrays,life,portray,film life,67
56,film,portrays,life,portray,film life,67
57,film,portrays,life,portray,film life,67
58,film,portrays,life,portray,film life,67
59,film,portrayed,life,portray,film life,67
60,film,portrays,life,portray,film life,67
61,film,portrays,life,portray,film life,67
62,film,portrays,life,portray,film life,67
63,film,portrays,life,portray,film life,67
64,film,portrays,life,portray,film life,67
65,film,portrays,life,portray,film life,67
66,film,portrays,life,portray,film life,67
67,wrestlers,portray,heels,portray,wrestlers heels,66
68,wrestlers,portrayed,heels,portray,wrestlers heels,66
69,wrestlers,portray,heels,portray,wrestlers heels,66
70,wrestlers,portray,heels,portray,wrestlers heels,66
71,wrestlers,portray,heels,portray,wrestlers heels,66
72,wrestlers,portray,heels,portray,wrestlers heels,66
73,wrestlers,portray,heels,portray,wrestlers heels,66
74,wrestlers,portrayed,heels,portray,wrestlers heels,66
75,wrestlers,portray,heels,portray,wrestlers heels,66
76,wrestlers,portray,heels,portray,wrestlers heels,66
77,wrestlers,portray,heels,portray,wrestlers heels,66
78,wrestlers,portray,heels,portray,wrestlers heels,66
79,wrestlers,portray,heels,portray,wrestlers heels,66
80,wrestlers,portray,heels,portray,wrestlers heels,66
81,wrestlers,portray,heels,portray,wrestlers heels,66
82,wrestlers,portray,heels,portray,wrestlers heels,66
83,wrestlers,portray,heels,portray,wrestlers heels,66
84,wrestlers,portray,heels,portray,wrestlers heels,66
85,wrestlers,portray,heels,portray,wrestlers heels,66
86,wrestlers,portray,heels,portray,wrestlers heels,66
87,wrestlers,portray,heels,portray,wrestlers heels,66
88,wrestlers,portray,heels,portray,wrestlers heels,66
89,wrestlers,portray,heels,portray,wrestlers heels,66
90,wrestlers,portray,heels,portray,wrestlers heels,66
91,wrestlers,portray,heels,portray,wrestlers heels,66
92,wrestlers,portray,heels,portray,wrestlers heels,66
93,wrestlers,portray,heels,portray,wrestlers heels,66
94,wrestlers,portray,heels,portray,wrestlers heels,66
95,wrestlers,portray,heels,portray,wrestlers heels,66
96,wrestlers,portray,heels,portray,wrestlers heels,66
97,wrestlers,portray,heels,portray,wrestlers heels,66
98,wrestlers,portray,heels,portray,wrestlers heels,66
99,wrestlers,portray,heels,portray,wrestlers heels,66
100,wrestlers,portray,heels,portray,wrestlers heels,66
101,wrestlers,portray,heels,portray,wrestlers heels,66
102,wrestlers,portray,heels,portray,wrestlers heels,66
103,wrestlers,portray,heels,portray,wrestlers heels,66
104,wrestlers,portray,heels,portray,wrestlers heels,66
105,wrestlers,portray,heels,portray,wrestlers heels,66
106,wrestlers,portray,heels,portray,wrestlers heels,66
107,wrestlers,portray,heels,portray,wrestlers heels,66
108,wrestlers,portray,heels,portray,wrestlers heels,66
109,wrestlers,portray,heels,portray,wrestlers heels,66
110,wrestlers,portray,heels,portray,wrestlers heels,66
111,wrestlers,portray,heels,portray,wrestlers heels,66
112,wrestlers,portray,heels,portray,wrestlers heels,66
113,wrestlers,portray,heels,portray,wrestlers heels,66
114,wrestlers,portray,heels,portray,wrestlers heels,66
115,wrestlers,portray,heels,portray,wrestlers heels,66
116,wrestlers,portray,heels,portray,wrestlers heels,66
117,wrestlers,portray,heels,portray,wrestlers heels,66
118,wrestlers,portray,heels,portray,wrestlers heels,66
119,wrestlers,portrayed,heels,portray,wrestlers heels,66
120,wrestlers,portrayed,heels,portray,wrestlers heels,66
121,wrestlers,portrayed,heels,portray,wrestlers heels,66
122,wrestlers,portrayed,heels,portray,wrestlers heels,66
123,wrestlers,portray,heels,portray,wrestlers heels,66
124,wrestlers,portray,heels,portray,wrestlers heels,66
125,wrestlers,portray,heels,portray,wrestlers heels,66
126,wrestlers,portray,heels,portray,wrestlers heels,66
127,wrestlers,portray,heels,portray,wrestlers heels,66
128,wrestlers,portray,heels,portray,wrestlers heels,66
129,wrestlers,portray,heels,portray,wrestlers heels,66
130,wrestlers,portray,heels,portray,wrestlers heels,66
131,wrestlers,portray,heels,portray,wrestlers heels,66
132,wrestlers,portray,heels,portray,wrestlers heels,66
133,actor,portrayed,role,portray,actor role,26
134,actor,portrayed,role,portray,actor role,26
135,actor,portrayed,role,portray,actor role,26
136,actor,portrayed,role,portray,actor role,26
137,actor,portrayed,role,portray,actor role,26
138,actor,portrayed,role,portray,actor role,26
139,actor,portrayed,role,portray,actor role,26
140,actor,portrayed,role,portray,actor role,26
141,actor,portrayed,role,portray,actor role,26
142,actor,portrayed,role,portray,actor role,26
143,actor,portrayed,role,portray,actor role,26
144,actor,portrayed,role,portray,actor role,26
145,actor,portrayed,role,portray,actor role,26
146,actor,portrays,role,portray,actor role,26
147,actor,portrayed,role,portray,actor role,26
