,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,father,practiced,law,practice,father law,29
1,father,practiced,law,practice,father law,29
2,father,practiced,law,practice,father law,29
3,father,practiced,law,practice,father law,29
4,father,practiced,law,practice,father law,29
5,father,practiced,law,practice,father law,29
6,father,practiced,law,practice,father law,29
7,father,practiced,law,practice,father law,29
8,father,practiced,law,practice,father law,29
9,father,practiced,law,practice,father law,29
10,father,practiced,law,practice,father law,29
11,father,practiced,law,practice,father law,29
12,father,practiced,law,practice,father law,29
13,father,practiced,law,practice,father law,29
14,father,practiced,law,practice,father law,29
15,father,practiced,law,practice,father law,29
16,father,practiced,law,practice,father law,29
17,father,practiced,law,practice,father law,29
18,father,practiced,law,practice,father law,29
19,father,practiced,law,practice,father law,29
20,father,practiced,law,practice,father law,29
21,father,practiced,law,practice,father law,29
22,father,practiced,law,practice,father law,29
23,father,practiced,law,practice,father law,29
24,father,practiced,law,practice,father law,29
25,father,practiced,law,practice,father law,29
26,father,practiced,law,practice,father law,29
27,father,practiced,law,practice,father law,29
28,father,practiced,law,practice,father law,29
29,father,practiced,medicine,practice,father medicine,24
30,father,practiced,medicine,practice,father medicine,24
31,father,practiced,medicine,practice,father medicine,24
32,father,practiced,medicine,practice,father medicine,24
33,father,practiced,medicine,practice,father medicine,24
34,father,practiced,medicine,practice,father medicine,24
35,father,practiced,medicine,practice,father medicine,24
36,father,practiced,medicine,practice,father medicine,24
37,father,practiced,medicine,practice,father medicine,24
38,father,practiced,medicine,practice,father medicine,24
39,father,practiced,medicine,practice,father medicine,24
40,father,practiced,medicine,practice,father medicine,24
41,father,practiced,medicine,practice,father medicine,24
42,father,practiced,medicine,practice,father medicine,24
43,father,practiced,medicine,practice,father medicine,24
44,father,practiced,medicine,practice,father medicine,24
45,father,practiced,medicine,practice,father medicine,24
46,father,practiced,medicine,practice,father medicine,24
47,father,practiced,medicine,practice,father medicine,24
48,father,practiced,medicine,practice,father medicine,24
49,father,practiced,medicine,practice,father medicine,24
50,father,practiced,medicine,practice,father medicine,24
51,father,practiced,medicine,practice,father medicine,24
52,father,practiced,medicine,practice,father medicine,24
53,majority,practices,beliefs,practice,majority beliefs,16
54,majority,practiced,beliefs,practice,majority beliefs,16
55,majority,practiced,beliefs,practice,majority beliefs,16
56,majority,practiced,beliefs,practice,majority beliefs,16
57,majority,practiced,beliefs,practice,majority beliefs,16
58,majority,practiced,beliefs,practice,majority beliefs,16
59,majority,practiced,beliefs,practice,majority beliefs,16
60,majority,practice,beliefs,practice,majority beliefs,16
61,majority,practice,beliefs,practice,majority beliefs,16
62,majority,practice,beliefs,practice,majority beliefs,16
63,majority,practiced,beliefs,practice,majority beliefs,16
64,majority,practiced,beliefs,practice,majority beliefs,16
65,majority,practiced,beliefs,practice,majority beliefs,16
66,majority,practiced,beliefs,practice,majority beliefs,16
67,majority,practiced,beliefs,practice,majority beliefs,16
68,majority,practiced,beliefs,practice,majority beliefs,16
69,students,practice,skills,practice,students skills,12
70,people,practiced,law,practice,people law,12
71,students,practiced,skills,practice,students skills,12
72,students,practice,skills,practice,students skills,12
73,students,practice,skills,practice,students skills,12
74,students,practice,skills,practice,students skills,12
75,students,practice,skills,practice,students skills,12
76,people,practiced,law,practice,people law,12
77,students,practice,skills,practice,students skills,12
78,students,practice,skills,practice,students skills,12
79,students,practice,skills,practice,students skills,12
80,people,practiced,law,practice,people law,12
81,people,practiced,law,practice,people law,12
82,people,practiced,law,practice,people law,12
83,people,practiced,law,practice,people law,12
84,people,practiced,law,practice,people law,12
85,people,practiced,law,practice,people law,12
86,students,practice,skills,practice,students skills,12
87,people,practiced,law,practice,people law,12
88,people,practiced,law,practice,people law,12
89,people,practiced,law,practice,people law,12
90,students,practice,skills,practice,students skills,12
91,students,practice,skills,practice,students skills,12
92,people,practiced,law,practice,people law,12
93,son,practiced,law,practice,son law,11
94,people,practice,religion,practice,people religion,11
95,son,practiced,law,practice,son law,11
96,people,practiced,religion,practice,people religion,11
97,son,practiced,law,practice,son law,11
98,people,practice,religion,practice,people religion,11
99,people,practice,religion,practice,people religion,11
100,people,practiced,religion,practice,people religion,11
101,people,practice,religion,practice,people religion,11
102,son,practiced,law,practice,son law,11
103,son,practiced,law,practice,son law,11
104,people,practice,religion,practice,people religion,11
105,people,practice,religion,practice,people religion,11
106,son,practiced,law,practice,son law,11
107,son,practiced,law,practice,son law,11
108,son,practiced,law,practice,son law,11
109,people,practiced,religion,practice,people religion,11
110,son,practiced,law,practice,son law,11
111,people,practiced,religion,practice,people religion,11
112,people,practiced,religion,practice,people religion,11
113,son,practiced,law,practice,son law,11
114,son,practiced,law,practice,son law,11
115,people,practiced,form,practice,people form,10
116,people,practice,form,practice,people form,10
117,people,practice,form,practice,people form,10
118,people,practice,form,practice,people form,10
119,people,practice,form,practice,people form,10
120,people,practice,form,practice,people form,10
121,people,practiced,form,practice,people form,10
122,people,practiced,form,practice,people form,10
123,people,practiced,form,practice,people form,10
124,people,practiced,form,practice,people form,10
125,people,practiced,defecation,practice,people defecation,9
126,husband,practiced,law,practice,husband law,9
127,husband,practiced,law,practice,husband law,9
128,people,practice,defecation,practice,people defecation,9
129,husband,practiced,law,practice,husband law,9
130,people,practice,defecation,practice,people defecation,9
131,husband,practiced,law,practice,husband law,9
132,husband,practiced,law,practice,husband law,9
133,people,practiced,defecation,practice,people defecation,9
134,husband,practiced,law,practice,husband law,9
135,husband,practiced,law,practice,husband law,9
136,husband,practiced,law,practice,husband law,9
137,people,practice,defecation,practice,people defecation,9
138,people,practice,defecation,practice,people defecation,9
139,husband,practiced,law,practice,husband law,9
140,people,practice,defecation,practice,people defecation,9
141,people,practiced,defecation,practice,people defecation,9
142,people,practice,defecation,practice,people defecation,9
143,people,practice,religions,practice,people religions,8
144,people,practice,religions,practice,people religions,8
145,people,practice,religions,practice,people religions,8
146,people,practice,religions,practice,people religions,8
147,people,practiced,religions,practice,people religions,8
148,people,practice,religions,practice,people religions,8
149,people,practice,religions,practice,people religions,8
150,people,practice,religions,practice,people religions,8
151,people,practicing,agriculture,practice,people agriculture,7
152,people,practiced,agriculture,practice,people agriculture,7
153,people,practice,faith,practice,people faith,7
154,people,practiced,agriculture,practice,people agriculture,7
155,people,practiced,faith,practice,people faith,7
156,people,practiced,agriculture,practice,people agriculture,7
157,people,practiced,faith,practice,people faith,7
158,people,practiced,agriculture,practice,people agriculture,7
159,people,practiced,faith,practice,people faith,7
160,people,practice,agriculture,practice,people agriculture,7
161,people,practiced,faith,practice,people faith,7
162,people,practiced,faith,practice,people faith,7
163,students,practice,form,practice,students form,7
164,students,practice,form,practice,students form,7
165,people,practiced,agriculture,practice,people agriculture,7
166,students,practice,form,practice,students form,7
167,people,practiced,faith,practice,people faith,7
168,students,practice,form,practice,students form,7
169,students,practice,form,practice,students form,7
170,students,practice,form,practice,students form,7
171,students,practice,form,practice,students form,7
172,law,practiced,law,practice,law law,6
173,law,practiced,law,practice,law law,6
174,law,practiced,law,practice,law law,6
175,law,practiced,law,practice,law law,6
176,law,practiced,law,practice,law law,6
177,law,practiced,law,practice,law law,6
178,son,practiced,medicine,practice,son medicine,5
179,brother,practiced,medicine,practice,brother medicine,5
180,campus,practices,admissions,practice,campus admissions,5
181,campus,practices,admissions,practice,campus admissions,5
182,driver,practiced,car,practice,driver car,5
