,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,first,proposed,merger,propose,first merger,20
1,first,proposed,merger,propose,first merger,20
2,first,proposed,merger,propose,first merger,20
3,first,proposed,merger,propose,first merger,20
4,first,proposed,merger,propose,first merger,20
5,first,proposed,merger,propose,first merger,20
6,first,proposed,merger,propose,first merger,20
7,first,proposed,merger,propose,first merger,20
8,first,proposed,merger,propose,first merger,20
9,first,proposed,merger,propose,first merger,20
10,first,proposed,merger,propose,first merger,20
11,first,proposed,merger,propose,first merger,20
12,first,proposed,merger,propose,first merger,20
13,first,proposed,merger,propose,first merger,20
14,first,proposed,merger,propose,first merger,20
15,first,proposed,merger,propose,first merger,20
16,first,proposed,merger,propose,first merger,20
17,first,proposed,merger,propose,first merger,20
18,first,proposed,merger,propose,first merger,20
19,first,proposed,merger,propose,first merger,20
20,report,proposed,changes,propose,report changes,16
21,report,proposed,changes,propose,report changes,16
22,report,proposed,changes,propose,report changes,16
23,report,proposed,changes,propose,report changes,16
24,report,proposed,changes,propose,report changes,16
25,report,proposed,changes,propose,report changes,16
26,report,proposed,changes,propose,report changes,16
27,report,proposed,changes,propose,report changes,16
28,report,proposed,changes,propose,report changes,16
29,report,proposed,changes,propose,report changes,16
30,report,proposed,changes,propose,report changes,16
31,report,proposes,changes,propose,report changes,16
32,report,proposed,changes,propose,report changes,16
33,report,proposed,changes,propose,report changes,16
34,report,proposed,changes,propose,report changes,16
35,report,proposed,changes,propose,report changes,16
36,government,proposed,creation,propose,government creation,12
37,government,proposed,creation,propose,government creation,12
38,government,proposed,changes,propose,government changes,12
39,government,proposed,creation,propose,government creation,12
40,government,proposed,changes,propose,government changes,12
41,government,proposed,creation,propose,government creation,12
42,government,proposed,creation,propose,government creation,12
43,government,proposed,changes,propose,government changes,12
44,government,proposed,changes,propose,government changes,12
45,government,proposed,changes,propose,government changes,12
46,government,proposed,creation,propose,government creation,12
47,government,proposed,changes,propose,government changes,12
48,government,proposed,creation,propose,government creation,12
49,government,proposed,creation,propose,government creation,12
50,government,proposed,creation,propose,government creation,12
51,government,proposed,changes,propose,government changes,12
52,government,proposed,creation,propose,government creation,12
53,government,proposed,changes,propose,government changes,12
54,government,proposed,changes,propose,government changes,12
55,government,proposed,changes,propose,government changes,12
56,government,proposed,changes,propose,government changes,12
57,government,proposed,creation,propose,government creation,12
58,government,proposed,changes,propose,government changes,12
59,government,proposed,creation,propose,government creation,12
60,government,proposed,plan,propose,government plan,11
61,authors,propose,model,propose,authors model,11
62,government,proposed,plan,propose,government plan,11
63,government,proposed,plan,propose,government plan,11
64,government,proposed,law,propose,government law,11
65,government,proposed,law,propose,government law,11
66,authors,proposed,model,propose,authors model,11
67,government,proposed,law,propose,government law,11
68,government,proposed,law,propose,government law,11
69,authors,proposed,model,propose,authors model,11
70,authors,proposed,model,propose,authors model,11
71,authors,proposed,model,propose,authors model,11
72,authors,proposed,model,propose,authors model,11
73,government,proposed,law,propose,government law,11
74,authors,proposed,model,propose,authors model,11
75,government,proposed,plan,propose,government plan,11
76,government,proposed,plan,propose,government plan,11
77,government,proposed,plan,propose,government plan,11
78,authors,propose,model,propose,authors model,11
79,authors,propose,model,propose,authors model,11
80,government,proposed,plan,propose,government plan,11
81,government,proposed,plan,propose,government plan,11
82,authors,proposed,model,propose,authors model,11
83,government,proposed,law,propose,government law,11
84,government,proposed,law,propose,government law,11
85,government,proposed,plan,propose,government plan,11
86,government,proposed,law,propose,government law,11
87,government,proposed,law,propose,government law,11
88,government,proposed,law,propose,government law,11
89,authors,proposed,model,propose,authors model,11
90,government,proposed,plan,propose,government plan,11
91,government,proposed,law,propose,government law,11
92,government,proposes,plan,propose,government plan,11
93,government,proposed,bill,propose,government bill,9
94,government,proposed,bill,propose,government bill,9
95,government,proposed,bill,propose,government bill,9
96,government,proposed,bill,propose,government bill,9
97,government,proposed,bill,propose,government bill,9
98,government,proposed,bill,propose,government bill,9
99,government,proposed,bill,propose,government bill,9
100,government,proposed,bill,propose,government bill,9
101,government,proposed,bill,propose,government bill,9
102,theory,proposes,origin,propose,theory origin,8
103,second,proposed,merger,propose,second merger,8
104,second,proposed,merger,propose,second merger,8
105,second,proposed,merger,propose,second merger,8
106,theory,proposes,origin,propose,theory origin,8
107,second,proposed,merger,propose,second merger,8
108,second,proposed,merger,propose,second merger,8
109,theory,proposes,origin,propose,theory origin,8
110,theory,proposes,origin,propose,theory origin,8
111,second,proposed,merger,propose,second merger,8
112,theory,proposes,origin,propose,theory origin,8
113,second,proposed,merger,propose,second merger,8
114,second,proposed,merger,propose,second merger,8
115,theory,proposes,origin,propose,theory origin,8
116,theory,proposes,origin,propose,theory origin,8
117,theory,proposes,origin,propose,theory origin,8
118,group,proposed,idea,propose,group idea,7
119,government,proposed,regulation,propose,government regulation,7
120,group,proposed,idea,propose,group idea,7
121,government,proposed,regulation,propose,government regulation,7
122,government,proposed,series,propose,government series,7
123,government,proposed,regulation,propose,government regulation,7
124,group,propose,idea,propose,group idea,7
125,government,proposed,series,propose,government series,7
126,government,proposed,merger,propose,government merger,7
127,government,proposed,series,propose,government series,7
128,government,proposed,merger,propose,government merger,7
129,government,proposed,series,propose,government series,7
130,government,proposed,merger,propose,government merger,7
131,government,proposed,merger,propose,government merger,7
132,government,proposed,merger,propose,government merger,7
133,government,proposed,regulation,propose,government regulation,7
134,government,proposed,series,propose,government series,7
135,government,proposed,series,propose,government series,7
136,government,proposed,series,propose,government series,7
137,group,proposed,idea,propose,group idea,7
138,group,proposed,idea,propose,group idea,7
139,group,proposed,idea,propose,group idea,7
140,government,proposed,regulation,propose,government regulation,7
141,group,proposed,idea,propose,group idea,7
142,government,proposed,merger,propose,government merger,7
143,government,proposed,regulation,propose,government regulation,7
144,government,proposed,regulation,propose,government regulation,7
145,government,proposed,merger,propose,government merger,7
146,government,propose,amendments,propose,government amendments,6
147,government,proposed,amendment,propose,government amendment,6
148,commission,proposed,creation,propose,commission creation,6
149,father,proposes,marriage,propose,father marriage,6
150,father,proposes,marriage,propose,father marriage,6
151,government,proposed,amendment,propose,government amendment,6
152,book,proposed,theory,propose,book theory,6
153,government,proposed,amendment,propose,government amendment,6
154,government,proposed,amendment,propose,government amendment,6
155,book,proposes,theory,propose,book theory,6
156,legislators,propose,legislation,propose,legislators legislation,6
157,legislators,propose,legislation,propose,legislators legislation,6
158,report,proposes,construction,propose,report construction,6
159,government,proposed,amendment,propose,government amendment,6
160,legislators,proposed,legislation,propose,legislators legislation,6
161,legislators,propose,legislation,propose,legislators legislation,6
162,government,proposed,amendment,propose,government amendment,6
163,group,proposed,creation,propose,group creation,6
164,group,proposed,creation,propose,group creation,6
165,legislators,proposed,legislation,propose,legislators legislation,6
166,commission,proposed,creation,propose,commission creation,6
167,report,proposed,construction,propose,report construction,6
168,report,proposed,construction,propose,report construction,6
169,book,proposes,theory,propose,book theory,6
170,government,proposed,construction,propose,government construction,6
171,government,proposed,construction,propose,government construction,6
172,government,proposed,construction,propose,government construction,6
173,commission,proposed,creation,propose,commission creation,6
174,book,proposed,theory,propose,book theory,6
175,government,proposed,amendments,propose,government amendments,6
176,government,proposed,amendments,propose,government amendments,6
177,report,proposed,construction,propose,report construction,6
178,group,proposed,creation,propose,group creation,6
179,father,proposed,marriage,propose,father marriage,6
180,book,proposes,theory,propose,book theory,6
181,government,proposed,construction,propose,government construction,6
182,group,proposed,creation,propose,group creation,6
183,commission,proposed,creation,propose,commission creation,6
184,government,proposed,construction,propose,government construction,6
185,book,proposes,theory,propose,book theory,6
186,commission,proposed,creation,propose,commission creation,6
187,government,proposed,construction,propose,government construction,6
188,report,proposed,construction,propose,report construction,6
189,father,proposed,marriage,propose,father marriage,6
190,father,proposes,marriage,propose,father marriage,6
191,government,proposed,amendments,propose,government amendments,6
192,father,proposes,marriage,propose,father marriage,6
193,group,proposed,creation,propose,group creation,6
194,group,proposed,creation,propose,group creation,6
195,government,proposed,amendments,propose,government amendments,6
196,legislators,propose,legislation,propose,legislators legislation,6
197,government,proposed,amendments,propose,government amendments,6
198,report,proposed,construction,propose,report construction,6
199,commission,proposed,creation,propose,commission creation,6
200,government,proposed,establishment,propose,government establishment,5
201,committee,propose,amendments,propose,committee amendments,5
202,district,proposed,bond,propose,district bond,5
203,leader,proposed,coalition,propose,leader coalition,5
204,leader,proposed,coalition,propose,leader coalition,5
205,paper,proposes,model,propose,paper model,5
206,district,proposed,bond,propose,district bond,5
207,report,proposed,creation,propose,report creation,5
208,district,proposed,bond,propose,district bond,5
209,scholars,proposed,perception,propose,scholars perception,5
210,scholars,proposed,perception,propose,scholars perception,5
211,group,proposed,amendment,propose,group amendment,5
212,government,proposed,establishment,propose,government establishment,5
213,scholars,proposed,perception,propose,scholars perception,5
214,paper,proposed,model,propose,paper model,5
215,theory,proposes,model,propose,theory model,5
216,report,proposed,creation,propose,report creation,5
217,district,proposed,bond,propose,district bond,5
218,model,proposed,model,propose,model model,5
219,model,proposed,model,propose,model model,5
220,leader,proposed,coalition,propose,leader coalition,5
221,paper,proposes,model,propose,paper model,5
222,leader,proposed,coalition,propose,leader coalition,5
223,report,proposed,creation,propose,report creation,5
224,district,proposed,bond,propose,district bond,5
225,briefs,proposed,doctrines,propose,briefs doctrines,5
226,report,proposed,creation,propose,report creation,5
227,government,proposed,establishment,propose,government establishment,5
228,briefs,proposed,doctrines,propose,briefs doctrines,5
229,committee,proposes,amendments,propose,committee amendments,5
230,committee,proposed,amendments,propose,committee amendments,5
231,model,proposed,model,propose,model model,5
232,executive,proposed,suspension,propose,executive suspension,5
233,group,proposed,amendment,propose,group amendment,5
234,model,proposed,model,propose,model model,5
235,paper,proposed,model,propose,paper model,5
236,briefs,proposed,doctrines,propose,briefs doctrines,5
237,paper,proposing,model,propose,paper model,5
238,government,proposed,establishment,propose,government establishment,5
239,briefs,proposed,doctrines,propose,briefs doctrines,5
240,scholars,proposed,perception,propose,scholars perception,5
241,executive,proposed,suspension,propose,executive suspension,5
242,group,proposed,amendment,propose,group amendment,5
243,briefs,proposed,doctrines,propose,briefs doctrines,5
244,executive,proposed,suspension,propose,executive suspension,5
245,leader,proposed,coalition,propose,leader coalition,5
246,government,proposed,establishment,propose,government establishment,5
247,report,proposed,creation,propose,report creation,5
248,theory,proposes,model,propose,theory model,5
249,scholars,proposed,perception,propose,scholars perception,5
250,model,proposed,model,propose,model model,5
251,committee,propose,amendments,propose,committee amendments,5
252,executive,proposed,suspension,propose,executive suspension,5
253,group,proposed,amendment,propose,group amendment,5
254,theory,proposed,model,propose,theory model,5
255,theory,proposed,model,propose,theory model,5
256,committee,proposed,amendments,propose,committee amendments,5
257,executive,proposed,suspension,propose,executive suspension,5
258,theory,proposes,model,propose,theory model,5
259,group,proposed,amendment,propose,group amendment,5
260,government,proposed,legislation,propose,government legislation,4
261,scientists,propose,mechanism,propose,scientists mechanism,4
262,plan,proposed,construction,propose,plan construction,4
263,study,proposed,relationship,propose,study relationship,4
264,plan,proposed,construction,propose,plan construction,4
265,mammalogist,proposed,subspecies,propose,mammalogist subspecies,4
266,study,proposed,relationship,propose,study relationship,4
267,company,proposing,construction,propose,company construction,4
268,government,proposed,referendum,propose,government referendum,4
269,committee,proposed,plan,propose,committee plan,4
270,plan,proposed,changes,propose,plan changes,4
271,study,proposed,model,propose,study model,4
272,program,proposed,construction,propose,program construction,4
273,government,proposed,measures,propose,government measures,4
274,architect,proposed,project,propose,architect project,4
275,government,proposed,referendum,propose,government referendum,4
276,administration,proposed,construction,propose,administration construction,4
