,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,heart,pumps,blood,pump,heart blood,29
1,heart,pumps,blood,pump,heart blood,29
2,heart,pumps,blood,pump,heart blood,29
3,heart,pumping,blood,pump,heart blood,29
4,heart,pumps,blood,pump,heart blood,29
5,heart,pumps,blood,pump,heart blood,29
6,heart,pumps,blood,pump,heart blood,29
7,heart,pumps,blood,pump,heart blood,29
8,heart,pumps,blood,pump,heart blood,29
9,heart,pumps,blood,pump,heart blood,29
10,heart,pump,blood,pump,heart blood,29
11,heart,pumps,blood,pump,heart blood,29
12,heart,pumps,blood,pump,heart blood,29
13,heart,pump,blood,pump,heart blood,29
14,heart,pumping,blood,pump,heart blood,29
15,heart,pumped,blood,pump,heart blood,29
16,heart,pumps,blood,pump,heart blood,29
17,heart,pumps,blood,pump,heart blood,29
18,heart,pumps,blood,pump,heart blood,29
19,heart,pumps,blood,pump,heart blood,29
20,heart,pumps,blood,pump,heart blood,29
21,heart,pumps,blood,pump,heart blood,29
22,heart,pumps,blood,pump,heart blood,29
23,heart,pumps,blood,pump,heart blood,29
24,heart,pumps,blood,pump,heart blood,29
25,heart,pumps,blood,pump,heart blood,29
26,heart,pumps,blood,pump,heart blood,29
27,heart,pumps,blood,pump,heart blood,29
28,heart,pumps,blood,pump,heart blood,29
29,ventricle,pumps,blood,pump,ventricle blood,12
30,ventricle,pumped,blood,pump,ventricle blood,12
31,ventricle,pumps,blood,pump,ventricle blood,12
32,ventricle,pumps,blood,pump,ventricle blood,12
33,ventricle,pumps,blood,pump,ventricle blood,12
34,ventricle,pumps,blood,pump,ventricle blood,12
35,ventricle,pumps,blood,pump,ventricle blood,12
36,ventricle,pumps,blood,pump,ventricle blood,12
37,ventricle,pumps,blood,pump,ventricle blood,12
38,ventricle,pumps,blood,pump,ventricle blood,12
39,ventricle,pumps,blood,pump,ventricle blood,12
40,ventricle,pumps,blood,pump,ventricle blood,12
41,turbines,pump,water,pump,turbines water,7
42,turbines,pump,water,pump,turbines water,7
43,turbines,pump,water,pump,turbines water,7
44,turbines,pump,water,pump,turbines water,7
45,turbines,pump,water,pump,turbines water,7
46,turbines,pumped,water,pump,turbines water,7
47,turbines,pump,water,pump,turbines water,7
48,system,pumped,water,pump,system water,5
49,system,pumped,water,pump,system water,5
50,system,pumps,water,pump,system water,5
51,system,pumps,water,pump,system water,5
52,system,pumps,water,pump,system water,5
53,company,pumped,water,pump,company water,4
54,company,pumped,water,pump,company water,4
55,company,pumps,water,pump,company water,4
56,mill,pump,water,pump,mill water,4
57,sharks,pump,water,pump,sharks water,4
58,company,pumped,water,pump,company water,4
59,hearts,pump,blood,pump,hearts blood,4
60,hearts,pumps,blood,pump,hearts blood,4
61,sharks,pump,water,pump,sharks water,4
62,mill,pump,water,pump,mill water,4
63,hearts,pump,blood,pump,hearts blood,4
64,sharks,pump,water,pump,sharks water,4
65,hearts,pump,blood,pump,hearts blood,4
66,sharks,pump,water,pump,sharks water,4
67,mill,pumps,water,pump,mill water,4
68,mill,pumps,water,pump,mill water,4
69,windmill,pumps,water,pump,windmill water,3
70,side,pumps,blood,pump,side blood,3
71,side,pumps,blood,pump,side blood,3
72,windmill,pumps,water,pump,windmill water,3
73,workers,pumped,water,pump,workers water,3
74,generators,pump,water,pump,generators water,3
75,generators,pump,water,pump,generators water,3
76,facility,pumps,water,pump,facility water,3
77,plant,pumps,water,pump,plant water,3
78,workers,pumped,water,pump,workers water,3
79,facility,pumped,water,pump,facility water,3
80,machine,pumps,blood,pump,machine blood,3
81,generators,pump,water,pump,generators water,3
82,compressor,pumps,air,pump,compressor air,3
83,facility,pumps,water,pump,facility water,3
84,program,pumped,millions,pump,program millions,3
85,machine,pumps,blood,pump,machine blood,3
86,plant,pumps,water,pump,plant water,3
87,compressor,pumped,air,pump,compressor air,3
88,program,pumped,millions,pump,program millions,3
89,plant,pumps,water,pump,plant water,3
90,machine,pumps,blood,pump,machine blood,3
91,workers,pumped,water,pump,workers water,3
92,side,pumps,blood,pump,side blood,3
93,compressor,pumps,air,pump,compressor air,3
94,windmill,pumped,water,pump,windmill water,3
95,program,pumped,millions,pump,program millions,3
96,act,pumps,gas,pump,act gas,2
97,lungs,pump,air,pump,lungs air,2
98,male,pumps,tail,pump,male tail,2
99,crews,pumped,water,pump,crews water,2
100,party,pumping,money,pump,party money,2
101,male,pumps,tail,pump,male tail,2
102,pair,pumps,lymph,pump,pair lymph,2
103,pair,pump,lymph,pump,pair lymph,2
104,pilot,pumped,bar,pump,pilot bar,2
105,heart,pumping,portions,pump,heart portions,2
106,station,pumped,water,pump,station water,2
107,pilot,pumped,bar,pump,pilot bar,2
108,building,pump,stations,pump,building stations,2
109,heart,pumping,portions,pump,heart portions,2
110,government,pumped,water,pump,government water,2
111,pipeline,pumps,gas,pump,pipeline gas,2
112,ram,pumped,water,pump,ram water,2
113,mills,pumping,water,pump,mills water,2
114,adults,pump,fluid,pump,adults fluid,2
115,engine,pumped,water,pump,engine water,2
116,adults,pump,fluid,pump,adults fluid,2
117,crews,pumped,water,pump,crews water,2
118,channels,pump,water,pump,channels water,2
119,party,pumped,money,pump,party money,2
120,act,pumps,gas,pump,act gas,2
121,pipeline,pumped,gas,pump,pipeline gas,2
122,wells,pump,water,pump,wells water,2
123,ram,pumped,water,pump,ram water,2
124,areas,pumped,wells,pump,areas wells,2
125,areas,pumped,wells,pump,areas wells,2
126,steam,pumped,water,pump,steam water,2
127,minimum,pump,capacity,pump,minimum capacity,2
128,minimum,pump,capacity,pump,minimum capacity,2
129,engine,pumped,water,pump,engine water,2
130,company,pumped,money,pump,company money,2
131,steam,pumped,water,pump,steam water,2
132,mills,pump,water,pump,mills water,2
133,complex,pump,house,pump,complex house,2
134,shark,pumps,blood,pump,shark blood,2
135,engines,pumped,water,pump,engines water,2
136,complex,pump,house,pump,complex house,2
137,engines,pumped,water,pump,engines water,2
138,people,pump,water,pump,people water,2
139,endothelium,pumps,water,pump,endothelium water,2
140,endothelium,pumps,water,pump,endothelium water,2
141,government,pumping,water,pump,government water,2
142,wells,pump,water,pump,wells water,2
143,lungs,pumped,air,pump,lungs air,2
144,building,pump,stations,pump,building stations,2
145,shark,pumps,blood,pump,shark blood,2
146,station,pumps,water,pump,station water,2
147,channels,pump,water,pump,channels water,2
148,all,pumping,water,pump,all water,2
149,all,pumping,water,pump,all water,2
150,company,pumped,money,pump,company money,2
151,people,pump,water,pump,people water,2
152,volunteers,pumped,water,pump,volunteers water,1
153,pumps,pump,fluids,pump,pumps fluids,1
154,membrane,pumps,fluid,pump,membrane fluid,1
155,glass,pumped,laser,pump,glass laser,1
156,pulses,pumps,blood,pump,pulses blood,1
157,helicopter,pumps,milk,pump,helicopter milk,1
158,outbuildings,pump,house,pump,outbuildings house,1
159,barns,pump,house,pump,barns house,1
160,treadmill,pumped,water,pump,treadmill water,1
161,cats,pump,grooves,pump,cats grooves,1
162,move,pump,clip,pump,move clip,1
163,rods,pump,failure,pump,rods failure,1
164,plant,pumps,turbines,pump,plant turbines,1
165,blast,pumps,air,pump,blast air,1
166,hearts,pump,hemolymph,pump,hearts hemolymph,1
167,device,pumps,stream,pump,device stream,1
168,contact,pump,manufacturers,pump,contact manufacturers,1
169,industry,pump,factory,pump,industry factory,1
170,generator,pumped,links,pump,generator links,1
171,contraction,pumps,blood,pump,contraction blood,1
172,group,pumped,dinghy,pump,group dinghy,1
173,filters,pump,house,pump,filters house,1
174,loss,pumps,feeling,pump,loss feeling,1
175,unit,pump,injectors,pump,unit injectors,1
176,city,pumps,groundwater,pump,city groundwater,1
177,activities,pumps,equipment,pump,activities equipment,1
178,crew,pump,water,pump,crew water,1
179,animal,pumps,water,pump,animal water,1
180,mother,pumped,gas,pump,mother gas,1
181,money,pumping,oil,pump,money oil,1
182,consumers,pump,gas,pump,consumers gas,1
183,construction,pumped,water,pump,construction water,1
184,customers,pump,gas,pump,customers gas,1
