,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,cyclist,raced,kilometre,race,cyclist kilometre,17
1,cyclist,raced,kilometre,race,cyclist kilometre,17
2,cyclist,raced,kilometre,race,cyclist kilometre,17
3,cyclist,raced,kilometre,race,cyclist kilometre,17
4,cyclist,raced,kilometre,race,cyclist kilometre,17
5,cyclist,raced,kilometre,race,cyclist kilometre,17
6,cyclist,raced,kilometre,race,cyclist kilometre,17
7,cyclist,raced,kilometre,race,cyclist kilometre,17
8,cyclist,raced,kilometre,race,cyclist kilometre,17
9,cyclist,raced,kilometre,race,cyclist kilometre,17
10,cyclist,raced,kilometre,race,cyclist kilometre,17
11,cyclist,raced,kilometre,race,cyclist kilometre,17
12,cyclist,raced,kilometre,race,cyclist kilometre,17
13,cyclist,raced,kilometre,race,cyclist kilometre,17
14,cyclist,raced,kilometre,race,cyclist kilometre,17
15,cyclist,raced,kilometre,race,cyclist kilometre,17
16,cyclist,raced,kilometre,race,cyclist kilometre,17
17,field,raced,way,race,field way,9
18,field,raced,way,race,field way,9
19,field,raced,way,race,field way,9
20,field,raced,way,race,field way,9
21,endurance,racing,debut,race,endurance debut,9
22,endurance,racing,debut,race,endurance debut,9
23,endurance,racing,debut,race,endurance debut,9
24,boats,racing,heats,race,boats heats,9
25,boats,racing,heats,race,boats heats,9
26,boats,racing,heats,race,boats heats,9
27,field,raced,way,race,field way,9
28,boats,racing,heats,race,boats heats,9
29,boats,racing,heats,race,boats heats,9
30,endurance,racing,debut,race,endurance debut,9
31,boats,racing,heats,race,boats heats,9
32,boats,racing,heats,race,boats heats,9
33,boats,racing,heats,race,boats heats,9
34,endurance,racing,debut,race,endurance debut,9
35,boats,racing,heats,race,boats heats,9
36,endurance,racing,debut,race,endurance debut,9
37,field,raced,way,race,field way,9
38,endurance,racing,debut,race,endurance debut,9
39,endurance,racing,debut,race,endurance debut,9
40,endurance,racing,debut,race,endurance debut,9
41,field,raced,way,race,field way,9
42,field,raced,way,race,field way,9
43,field,raced,way,race,field way,9
44,team,raced,cars,race,team cars,6
45,team,raced,cars,race,team cars,6
46,team,raced,car,race,team car,6
47,two,raced,freestyle,race,two freestyle,6
48,pair,raced,freestyle,race,pair freestyle,6
49,two,raced,freestyle,race,two freestyle,6
50,team,raced,car,race,team car,6
51,two,raced,freestyle,race,two freestyle,6
52,two,raced,freestyle,race,two freestyle,6
53,pair,raced,freestyle,race,pair freestyle,6
54,pair,raced,freestyle,race,pair freestyle,6
55,pair,raced,freestyle,race,pair freestyle,6
56,team,raced,cars,race,team cars,6
57,pair,raced,freestyle,race,pair freestyle,6
58,two,raced,freestyle,race,two freestyle,6
59,team,raced,car,race,team car,6
60,team,raced,car,race,team car,6
61,team,raced,car,race,team car,6
62,two,raced,freestyle,race,two freestyle,6
63,team,raced,cars,race,team cars,6
64,team,raced,cars,race,team cars,6
65,team,raced,car,race,team car,6
66,team,raced,cars,race,team cars,6
67,pair,raced,freestyle,race,pair freestyle,6
68,colts,raced,side,race,colts side,5
69,colts,raced,side,race,colts side,5
70,colts,raced,side,race,colts side,5
71,colts,raced,side,race,colts side,5
72,colts,raced,side,race,colts side,5
73,formula,racing,debut,race,formula debut,4
74,formula,racing,debut,race,formula debut,4
75,formula,racing,debut,race,formula debut,4
76,formula,racing,debut,race,formula debut,4
77,crew,raced,title,race,crew title,3
78,players,race,cars,race,players cars,3
79,teams,raced,team,race,teams team,3
80,teams,raced,team,race,teams team,3
81,cyclists,raced,cyclist,race,cyclists cyclist,3
82,player,races,opponents,race,player opponents,3
83,kart,racing,debut,race,kart debut,3
84,climbers,raced,head,race,climbers head,3
85,climbers,raced,head,race,climbers head,3
86,player,races,opponents,race,player opponents,3
87,player,racing,motorcycle,race,player motorcycle,3
88,player,races,one,race,player one,3
89,cyclists,raced,cyclist,race,cyclists cyclist,3
90,player,races,one,race,player one,3
91,crew,raced,title,race,crew title,3
92,player,races,one,race,player one,3
93,players,race,cars,race,players cars,3
94,crew,raced,title,race,crew title,3
95,player,races,opponents,race,player opponents,3
96,teams,raced,team,race,teams team,3
97,cyclists,raced,cyclist,race,cyclists cyclist,3
98,players,race,cars,race,players cars,3
99,climbers,raced,head,race,climbers head,3
100,pair,raced,side,race,pair side,3
101,pair,raced,side,race,pair side,3
102,pair,raced,side,race,pair side,3
103,player,racing,motorcycle,race,player motorcycle,3
104,player,racing,motorcycle,race,player motorcycle,3
105,kart,racing,debut,race,kart debut,3
106,kart,racing,debut,race,kart debut,3
107,horses,racing,distance,race,horses distance,2
108,all,racing,teams,race,all teams,2
109,all,racing,teams,race,all teams,2
110,player,races,team,race,player team,2
111,players,race,pieces,race,players pieces,2
112,reader,racing,page,race,reader page,2
113,reader,racing,page,race,reader page,2
114,player,races,car,race,player car,2
115,song,raced,charts,race,song charts,2
116,player,races,opponent,race,player opponent,2
117,crew,raced,bronze,race,crew bronze,2
118,player,races,vehicle,race,player vehicle,2
119,teams,raced,course,race,teams course,2
120,teams,raced,head,race,teams head,2
121,fillies,raced,side,race,fillies side,2
122,riders,raced,final,race,riders final,2
123,horses,raced,side,race,horses side,2
124,father,raced,models,race,father models,2
125,competitors,race,course,race,competitors course,2
126,horses,raced,head,race,horses head,2
127,player,races,cars,race,player cars,2
128,both,race,cars,race,both cars,2
129,team,raced,team,race,team team,2
130,player,races,laps,race,player laps,2
131,two,raced,cars,race,two cars,2
132,teams,raced,works,race,teams works,2
133,field,racing,side,race,field side,2
134,riders,raced,final,race,riders final,2
135,father,raced,horses,race,father horses,2
136,son,raced,cars,race,son cars,2
137,horse,racing,father,race,horse father,2
138,son,races,cars,race,son cars,2
139,field,raced,side,race,field side,2
140,player,races,cars,race,player cars,2
141,song,raced,charts,race,song charts,2
142,horse,racing,father,race,horse father,2
143,couple,raced,horses,race,couple horses,2
144,player,race,laps,race,player laps,2
145,player,races,team,race,player team,2
146,competitors,racing,pole,race,competitors pole,2
147,contender,raced,wall,race,contender wall,2
148,two,race,cars,race,two cars,2
149,teams,raced,head,race,teams head,2
150,quality,racing,criticism,race,quality criticism,2
151,teams,race,rafts,race,teams rafts,2
152,teams,race,rafts,race,teams rafts,2
153,player,races,opponent,race,player opponent,2
154,soldiers,raced,one,race,soldiers one,2
155,teams,raced,course,race,teams course,2
