,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,couple,raised,children,raise,couple children,124
1,couple,raised,children,raise,couple children,124
2,couple,raised,children,raise,couple children,124
3,couple,raised,children,raise,couple children,124
4,couple,raised,children,raise,couple children,124
5,couple,raised,children,raise,couple children,124
6,couple,raised,children,raise,couple children,124
7,couple,raised,children,raise,couple children,124
8,couple,raised,children,raise,couple children,124
9,couple,raised,children,raise,couple children,124
10,couple,raised,children,raise,couple children,124
11,couple,raised,children,raise,couple children,124
12,couple,raised,children,raise,couple children,124
13,couple,raised,children,raise,couple children,124
14,couple,raised,children,raise,couple children,124
15,couple,raised,children,raise,couple children,124
16,couple,raised,children,raise,couple children,124
17,couple,raised,children,raise,couple children,124
18,couple,raised,children,raise,couple children,124
19,couple,raised,children,raise,couple children,124
20,couple,raised,children,raise,couple children,124
21,couple,raised,children,raise,couple children,124
22,couple,raised,children,raise,couple children,124
23,couple,raised,children,raise,couple children,124
24,couple,raised,children,raise,couple children,124
25,couple,raised,children,raise,couple children,124
26,couple,raised,children,raise,couple children,124
27,couple,raised,children,raise,couple children,124
28,couple,raised,children,raise,couple children,124
29,couple,raised,children,raise,couple children,124
30,couple,raise,children,raise,couple children,124
31,couple,raised,children,raise,couple children,124
32,couple,raised,children,raise,couple children,124
33,couple,raised,children,raise,couple children,124
34,couple,raised,children,raise,couple children,124
35,couple,raised,children,raise,couple children,124
36,couple,raised,children,raise,couple children,124
37,couple,raised,children,raise,couple children,124
38,couple,raised,children,raise,couple children,124
39,couple,raised,children,raise,couple children,124
40,couple,raised,children,raise,couple children,124
41,couple,raised,children,raise,couple children,124
42,couple,raised,children,raise,couple children,124
43,couple,raised,children,raise,couple children,124
44,couple,raised,children,raise,couple children,124
45,couple,raise,children,raise,couple children,124
46,couple,raised,children,raise,couple children,124
47,couple,raised,children,raise,couple children,124
48,couple,raised,children,raise,couple children,124
49,couple,raised,children,raise,couple children,124
50,couple,raised,children,raise,couple children,124
51,couple,raised,children,raise,couple children,124
52,couple,raising,children,raise,couple children,124
53,couple,raised,children,raise,couple children,124
54,couple,raised,children,raise,couple children,124
55,couple,raised,children,raise,couple children,124
56,couple,raised,children,raise,couple children,124
57,couple,raised,children,raise,couple children,124
58,couple,raised,children,raise,couple children,124
59,couple,raised,children,raise,couple children,124
60,couple,raised,children,raise,couple children,124
61,couple,raised,children,raise,couple children,124
62,couple,raised,children,raise,couple children,124
63,couple,raised,children,raise,couple children,124
64,couple,raised,children,raise,couple children,124
65,couple,raised,children,raise,couple children,124
66,couple,raised,children,raise,couple children,124
67,couple,raised,children,raise,couple children,124
68,couple,raised,children,raise,couple children,124
69,couple,raised,children,raise,couple children,124
70,couple,raised,children,raise,couple children,124
71,couple,raised,children,raise,couple children,124
72,couple,raised,children,raise,couple children,124
73,couple,raised,children,raise,couple children,124
74,couple,raised,children,raise,couple children,124
75,couple,raised,children,raise,couple children,124
76,couple,raised,children,raise,couple children,124
77,couple,raised,children,raise,couple children,124
78,couple,raised,children,raise,couple children,124
79,couple,raised,children,raise,couple children,124
80,couple,raised,children,raise,couple children,124
81,couple,raised,children,raise,couple children,124
82,couple,raised,children,raise,couple children,124
83,couple,raised,children,raise,couple children,124
84,couple,raised,children,raise,couple children,124
85,couple,raised,children,raise,couple children,124
86,couple,raised,children,raise,couple children,124
87,couple,raised,children,raise,couple children,124
88,couple,raised,children,raise,couple children,124
89,couple,raised,children,raise,couple children,124
90,couple,raised,children,raise,couple children,124
91,couple,raised,children,raise,couple children,124
92,couple,raised,children,raise,couple children,124
93,couple,raise,children,raise,couple children,124
94,couple,raised,children,raise,couple children,124
95,couple,raises,children,raise,couple children,124
96,couple,raised,children,raise,couple children,124
97,couple,raised,children,raise,couple children,124
98,couple,raised,children,raise,couple children,124
99,couple,raised,children,raise,couple children,124
100,couple,raised,children,raise,couple children,124
101,couple,raised,children,raise,couple children,124
102,couple,raised,children,raise,couple children,124
103,couple,raised,children,raise,couple children,124
104,couple,raised,children,raise,couple children,124
105,couple,raise,children,raise,couple children,124
106,couple,raised,children,raise,couple children,124
107,couple,raised,children,raise,couple children,124
108,couple,raised,children,raise,couple children,124
109,couple,raised,children,raise,couple children,124
110,couple,raised,children,raise,couple children,124
111,couple,raised,children,raise,couple children,124
112,couple,raised,children,raise,couple children,124
113,couple,raised,children,raise,couple children,124
114,couple,raised,children,raise,couple children,124
115,couple,raised,children,raise,couple children,124
116,couple,raised,children,raise,couple children,124
117,couple,raised,children,raise,couple children,124
118,couple,raised,children,raise,couple children,124
119,couple,raised,children,raise,couple children,124
120,couple,raised,children,raise,couple children,124
121,couple,raised,children,raise,couple children,124
122,couple,raised,children,raise,couple children,124
123,couple,raised,children,raise,couple children,124
124,event,raises,money,raise,event money,74
125,event,raised,money,raise,event money,74
126,event,raised,money,raise,event money,74
127,event,raises,money,raise,event money,74
128,event,raises,money,raise,event money,74
129,event,raised,money,raise,event money,74
130,event,raises,money,raise,event money,74
131,event,raised,money,raise,event money,74
132,event,raised,money,raise,event money,74
133,event,raised,money,raise,event money,74
134,event,raised,money,raise,event money,74
135,event,raises,money,raise,event money,74
136,event,raised,money,raise,event money,74
137,event,raised,money,raise,event money,74
138,event,raises,money,raise,event money,74
139,event,raises,money,raise,event money,74
140,event,raises,money,raise,event money,74
141,event,raises,money,raise,event money,74
142,event,raises,money,raise,event money,74
143,event,raised,money,raise,event money,74
144,event,raise,money,raise,event money,74
145,event,raises,money,raise,event money,74
146,event,raised,money,raise,event money,74
147,event,raised,money,raise,event money,74
148,event,raises,money,raise,event money,74
149,event,raised,money,raise,event money,74
150,event,raises,money,raise,event money,74
151,event,raised,money,raise,event money,74
152,event,raises,money,raise,event money,74
153,event,raised,money,raise,event money,74
154,event,raises,money,raise,event money,74
155,event,raises,money,raise,event money,74
156,event,raised,money,raise,event money,74
157,event,raises,money,raise,event money,74
158,event,raised,money,raise,event money,74
159,event,raised,money,raise,event money,74
160,event,raises,money,raise,event money,74
161,event,raised,money,raise,event money,74
162,event,raised,money,raise,event money,74
163,event,raised,money,raise,event money,74
164,event,raised,money,raise,event money,74
165,event,raised,money,raise,event money,74
166,event,raises,money,raise,event money,74
167,event,raises,money,raise,event money,74
168,event,raised,money,raise,event money,74
169,event,raised,money,raise,event money,74
170,event,raised,money,raise,event money,74
171,event,raises,money,raise,event money,74
172,event,raises,money,raise,event money,74
173,event,raises,money,raise,event money,74
174,event,raises,money,raise,event money,74
175,event,raises,money,raise,event money,74
176,event,raised,money,raise,event money,74
177,event,raised,money,raise,event money,74
178,event,raised,money,raise,event money,74
179,event,raises,money,raise,event money,74
180,event,raises,money,raise,event money,74
181,event,raises,money,raise,event money,74
182,event,raised,money,raise,event money,74
183,event,raised,money,raise,event money,74
184,event,raises,money,raise,event money,74
185,event,raised,money,raise,event money,74
186,event,raises,money,raise,event money,74
187,event,raised,money,raise,event money,74
188,event,raises,money,raise,event money,74
189,event,raised,money,raise,event money,74
190,event,raises,money,raise,event money,74
191,event,raises,money,raise,event money,74
192,event,raised,money,raise,event money,74
193,event,raised,money,raise,event money,74
194,event,raises,money,raise,event money,74
195,event,raised,money,raise,event money,74
196,event,raised,money,raise,event money,74
197,event,raises,money,raise,event money,74
198,mother,raised,children,raise,mother children,65
199,mother,raised,children,raise,mother children,65
200,mother,raising,children,raise,mother children,65
201,mother,raised,children,raise,mother children,65
202,mother,raised,children,raise,mother children,65
203,mother,raised,children,raise,mother children,65
204,mother,raised,children,raise,mother children,65
205,mother,raised,children,raise,mother children,65
206,mother,raised,children,raise,mother children,65
207,mother,raise,children,raise,mother children,65
208,mother,raised,children,raise,mother children,65
209,mother,raised,children,raise,mother children,65
210,mother,raised,children,raise,mother children,65
211,mother,raised,children,raise,mother children,65
212,mother,raised,children,raise,mother children,65
213,mother,raised,children,raise,mother children,65
214,mother,raised,children,raise,mother children,65
215,mother,raised,children,raise,mother children,65
216,mother,raised,children,raise,mother children,65
217,mother,raised,children,raise,mother children,65
218,mother,raised,children,raise,mother children,65
219,mother,raised,children,raise,mother children,65
220,mother,raised,children,raise,mother children,65
221,mother,raised,children,raise,mother children,65
222,mother,raised,children,raise,mother children,65
223,mother,raised,children,raise,mother children,65
224,mother,raised,children,raise,mother children,65
225,mother,raised,children,raise,mother children,65
226,mother,raised,children,raise,mother children,65
227,mother,raised,children,raise,mother children,65
228,mother,raised,children,raise,mother children,65
229,mother,raised,children,raise,mother children,65
230,mother,raised,children,raise,mother children,65
231,mother,raised,children,raise,mother children,65
232,mother,raised,children,raise,mother children,65
233,mother,raise,children,raise,mother children,65
234,mother,raised,children,raise,mother children,65
235,mother,raised,children,raise,mother children,65
236,mother,raised,children,raise,mother children,65
237,mother,raised,children,raise,mother children,65
238,mother,raised,children,raise,mother children,65
239,mother,raised,children,raise,mother children,65
240,mother,raised,children,raise,mother children,65
241,mother,raised,children,raise,mother children,65
242,mother,raised,children,raise,mother children,65
243,mother,raised,children,raise,mother children,65
244,mother,raised,children,raise,mother children,65
245,mother,raised,children,raise,mother children,65
246,mother,raised,children,raise,mother children,65
247,mother,raised,children,raise,mother children,65
248,mother,raised,children,raise,mother children,65
249,mother,raised,children,raise,mother children,65
250,mother,raise,children,raise,mother children,65
251,mother,raised,children,raise,mother children,65
252,mother,raise,children,raise,mother children,65
253,mother,raised,children,raise,mother children,65
254,mother,raised,children,raise,mother children,65
255,mother,raised,children,raise,mother children,65
256,mother,raised,children,raise,mother children,65
257,mother,raised,children,raise,mother children,65
258,mother,raised,children,raise,mother children,65
259,mother,raised,children,raise,mother children,65
260,mother,raised,children,raise,mother children,65
261,mother,raised,children,raise,mother children,65
262,mother,raised,children,raise,mother children,65
263,council,raises,tax,raise,council tax,57
264,council,raises,tax,raise,council tax,57
265,council,raises,tax,raise,council tax,57
266,council,raises,tax,raise,council tax,57
267,council,raises,tax,raise,council tax,57
268,council,raises,tax,raise,council tax,57
269,council,raises,tax,raise,council tax,57
270,council,raises,tax,raise,council tax,57
271,council,raises,tax,raise,council tax,57
272,council,raises,tax,raise,council tax,57
273,council,raises,tax,raise,council tax,57
